UltraViolet,7704,38521
Scott Frantz for State Senate,4982,24910
Players Coalition,2465,12323
PragerU,1178,2945
NowThis Morning,971,4855
One Pennsylvania,635,3173
Committee to Elect Luke Thomas Cass County Circuit Judge,243,1214
Portside,233,1163
Alliance for Climate Education,168,839
Animal Matters,111,554
Brooks For Long Island,111,552
Kevin Gaither for Congress,94,471
Permian Basin Young Democrats,44,220
Traci Maxwell-WISD Pl.2,37,186
Perry Warren for State Representative,26,131
Representative Rebecca Dow,17,87
Independent Voter,17,84
Newday Impact Investing,13,66
Elect Lauren Odman for Dania Beach City Commission,12,59
Waukesha County Democratic Party,11,57
Maurahealey.exposed,7,36
Jon Tester,7,36
Mike Oliverio for Senate,7,33
Deb Patterson,6,30
Prairie Rivers Network,5,24
Davis College Republicans,1,7
Mayor Matt Hall,1,5
Anna Pletcher for District Attorney,0,646
15-40 Connection,0,428
Polar Society,0,353
D'Alessio Law Group,0,335
Steve Dutner For IL Secretary of State,0,202
Fight the New Drug,0,82
FrackFeed,0,62
Stevevonna For 2018 Adelanto City Council,0,57
Alliance for Michigan Power,0,43
Tony Rackauckas,0,13
Alexandria Ocasio-Cortez,0,5
