ACLU,35286,70571
Democrats,29025,72563
American Financial Advisory For A Better Future,11950,23899
Coalition to Protect Patient Safety,9601,19202
Fed of American Hospitals,9508,23771
Dave Yost,7467,14935
NO on 3,7367,18418
Charlie Kirk,7325,14650
NewsBusters.org,7088,14175
"Judge Steven Bailey, Ret. for Attorney General",6200,12400
Protect Freedom PAC,5758,14394
We Are The Mighty,5524,11048
Premium Care For Seniors,5000,9999
Backcountry Hunters & Anglers,4589,9177
The Nature Conservancy,4321,8641
Everybody Is For Amendment 2,4205,8411
Jeff Johnson,3962,7924
State Representative Bryan Avila,3630,7261
Voters In Charge,3366,16827
Yes On 793,3286,16432
Rick Scott Is Not For Florida,2608,5216
"Imprimis, a Publication of Hillsdale College",2595,12976
Bob Hugin,2527,12634
Tea Party Nation,2465,6162
Republican Party of Florida,2356,5890
NO on 105,2282,4564
America Fighting Back PAC,2264,11320
Concealed Online,2231,11156
Choose Me Not 3,2209,4417
Jack Bergman,2195,10973
American Bird Conservancy,2100,10502
Georgia Republican Party,2011,4022
Peter G. Peterson Foundation,1950,9752
Senate Majority PAC,1896,9482
AARP New Jersey,1890,9449
Demand More For Maine,1867,3735
"Denham Says, Denham Does",1853,3706
David McSweeney,1835,9173
If I Were Running for Senate In Pennsylvania,1806,9031
Jeff Merkley,1770,8849
Elite Tech News,1671,8357
Democratic Coalition Against Trump,1647,8236
Oklahoma Oil and Gas Association,1597,7987
Democratic Party of Georgia,1591,3182
Freedom Club,1522,7609
Sierra Club,1510,7550
Mike Hanna for State Representative,1473,2945
American AF,1453,2906
Mike DeWine,1424,7121
Marc Molinaro,1408,7039
Democratic Senatorial Campaign Committee (DSCC),1403,2805
Smoky Mountain Values,1292,6460
Janice McGeachin,1277,6383
No on Measure U Sacramento,1262,2524
Reform Austin,1224,2448
North Dakota Native Vote,1212,2424
Freedom for All Massachusetts,1153,2306
Pierce for AZ Mine Inspector,1087,2173
Safe Clean Water L.A.,1071,5354
Conor Lamb,1059,5296
Tom Leonard,1046,5232
Laura Kelly,1040,5201
Bob Gibbs for Congress,1024,2048
