PP Pennsylvania Advocates,329,822
etee,287,574
Oklahoma Health Action,258,516
Kim Reynolds,255,510
American Action News,225,563
Humane Society International,194,387
Stanford Health Care,182,911
Andrea Fischer Newman,177,355
Voices for Utah Children,169,337
Conservation Colorado,161,323
Dean Young for Alabama,148,296
Lindsey Graham,143,286
Janet Cruz,133,266
Delegate Christian Miele for State Senate,131,262
Jimmy Patronis,130,260
Chris J Cate,126,252
Mi Familia Vota,121,241
Kirsten Gillibrand,105,523
NewsBusters.org,99,199
Gus Bilirakis for Congress,92,183
Brian Kemp,84,167
America with Eric Bolling,76,379
Aftab Pureval,76,153
That's Just North Dakota,75,151
Senate Majority PAC,72,360
Women For Civility,66,132
Tony Evers,65,324
The Real Rob Grover,61,122
Indiana Secretary of State Connie Lawson,58,116
Ned Lamont,56,111
Washington State Democratic Party,51,254
dittymoji,50,99
Dianne Feinstein,48,96
Andrew Gillum,47,234
Susan Wild for Congress,47,93
End Citizens United,46,228
Meshon Rawls for Alachua County Judge,46,92
Flip It Blue,46,91
Arkansans for Jobs and Justice,45,89
Oakland County Board of Commissioners,44,219
PragerU,44,88
The Holy Tribune,42,85
Heidi Heitkamp,40,200
Arizonans 4 Affordable Electricity,40,100
David Trone,35,69
Michigan Republican Party,34,170
Planned Parenthood Action,34,67
AARP Oregon,34,67
Lucy VanMeter,32,65
Veterans and Affordable Housing Act,32,64
Just Vote No On 13,32,64
Yes Ready by Five,30,152
"Megan Thompson, Clay County Clerk",30,149
Kyrsten Sinema,29,143
Just Fix Our Roads 2018- Prop 463,28,142
DecideColorado,28,138
Elect Carolyn Long,28,55
Eastern Bank,27,135
James Mendrick For DuPage Sheriff,27,133
Military Officers Association of America (MOAA),27,55
"Judge Steven Bailey, Ret. for Attorney General",26,132
Louisiana Citizens for Job Creators,26,129
Tim Donnelly,26,128
Bill Nelson,25,126
Dan Feehan for Congress,25,124
Yes on 1 - Mainers for Home Care,25,49
David Garcia,24,122
Will Robinson,22,112
Justin Nelson,22,112
Geoff Duncan,22,112
Richard Cordray,22,111
International Rescue Committee,22,110
Dan Ankeles for Brunswick Town Council,22,110
State Representative Jay Case,22,109
American Financial Advisory For A Better Future,22,109
The Real Robyn Vining,22,44
Annie Rabbitt for Senate,22,43
Florida Campaign for Criminal Justice Reform,21,42
E. O. Wilson Biodiversity Foundation,21,42
Turning Point USA,20,99
Shareblue Media,20,98
Brennan Center for Justice at NYU Law,20,41
JD Wooten for NC Senate,20,40
Restoration PAC,20,39
Our Kids 1st - Our Schools Now,19,97
West Virginia Strong,19,95
Kevin Stitt for Governor,19,95
Kathaleen Wall for TX,19,94
Sierra Club,19,37
Democratic Attorneys General Association,18,92
Whatcom County Deserves Better,18,91
Protect Arizona Taxpayers,18,90
Respeta Mi Gente,17,87
Janice McGeachin,17,87
Mary Ann Sullivan for IPS,17,86
Elect John Curtis,17,83
Mission First,17,34
Jim McGovern,17,34
Care Voters of Minnesota,16,80
Marsy's Law for Wisconsin,16,78
Novin2018,16,32
Brodehl For County Commissioner,16,32
Jessica Ho 何鐘靈 for Supervisor,15,75
Fight Back,15,74
Solar Energy Today,15,73
Aaron Gladd for State Senate,15,73
Tactical Pro Supply,15,31
Stand for Children - Arizona,15,31
Laurie Pryor for State Representative,15,31
Paul Evans,14,70
Alamedans in Charge for a Fair and Affordable City,14,70
South King County Deserves Better,14,68
Kamala Harris,14,68
Eric Bolling,14,28
Tim Walberg,13,67
Integrity First PAC,13,67
JB Pritzker,13,66
Alaska Republican Party,13,66
NO on 3,13,64
Center for Arizona Policy Action,13,64
No On Prop 5,13,63
MN AFL-CIO,13,63
California Family Council,13,27
Federation for American Immigration Reform,13,26
Republicans for the Rule of Law,13,25
Karen Smythe for NYS Senate,13,25
Todd Novak for 51st Assembly District,12,61
Anthony Bonna,12,61
Grabien,12,60
Voters In Charge,12,59
Todd Kaminsky,12,59
Mike DeWine,12,58
Ryan Bowden - Alamance County Board of Education 2018,12,25
Yes On B: Build the Veterans Cemetery,12,24
Tom Steyer,12,24
Leslie Rutledge for Arkansas,12,24
Conor Lamb,12,24
Charlie McConkey,11,57
Better With Age,11,55
Ben Albritton,11,23
Jonathan Porter for Delegate,11,22
Donald J. Trump,11,22
Nick Lecong,11,21
Brendan Maroney for Monmouth County Freeholder,10,52
Texas Association of School Boards,10,50
Claire McCaskill,10,50
Janet Garrett for Congress,10,48
Healthy and Productive Michigan,10,48
Californians for Cost Containment,10,48
Miami Freedom Park PC,10,21
Craig DeThomasis for Alachua County Judge,10,21
Meghan Scoggins for TX House- District 28,10,20
Marc Lombardo,10,20
Jorge Pacheco Jr. for Oak Grove School Board,10,20
Blue Wave,10,20
Rebecca Bauer-Kahan for Assembly,10,19
Joda for TN House 30,10,19
Re-Elect Tom Murt for State Representative,9,47
Brandon Lofton,9,47
Your Trump Shop,9,45
Save Your Home Now,9,44
Keep Them Accountable,9,44
Democratic Senatorial Campaign Committee (DSCC),9,44
Ohioans for Fair Maps,9,43
Get the Facts on Anna Kaplan,9,43
Unite Alaska,9,19
Gell.com,9,19
Judicial Watch,9,18
Janelle Bynum,9,18
Human Rights Campaign,9,17
The Nature Conservancy,8,39
Angie Craig,8,39
Ohio Newswire,8,16
Judge Jimbo Stephens for Court of Appeal,8,16
United States Holocaust Memorial Museum,7,36
Tim Walz for Governor,7,36
Building a Stronger Nevada,7,36
Smart Health Choice,7,34
PLAN Action Fund,7,34
Progress NC Votes,7,33
Keith Ellison for Attorney General,7,33
Karin Eugenio for Imperial City Council,7,33
John J. McCann For Mayor of Hilton Head Island,7,33
Houston Gaines,7,33
"Elect Michael ""Mike"" Sobel for Mayor of Pompano Beach",7,33
Brian Murphy for Fort Mill School Board,7,33
"Arizona State Representative Regina E. Cobb, DDS",7,33
Stacey Abrams,7,15
No on 103,7,15
Everytown for Gun Safety,7,15
Vote in WA,7,14
Vote NO on the RISD TRE,7,14
Tanner Ainge,7,14
Reform Austin,7,14
Jeff Merkley,7,14
Fight For Reform,7,14
Ellen Diehl for Georgia HD 81,7,14
Kyle Brown,7,13
Voters - Not Politicians,6,32
Tim Ridge For Ward 2 Hilton Head Island Town Council,6,32
The Devil We Know,6,32
"Sarah Brown  For Our Home Town  Auburn, Alabama",6,32
Proud American Hunter,6,32
Murray Insurance Agency,6,32
Let's Flip Rural Nevada Blue,6,32
American Bird Conservancy,6,32
