Civiqs,50000
"Witkos 2018, John Vamos, Treasurer. Approved by Kevin Witkos.",10000
Will Haskell for CT,10000
"Save our Towns: Walsh 2018, Dianna Kulmacz, Treasurer. Approved by Dave Walsh.",10000
"Pat 2018, Danny Eddy, Treasurer. Approved by Pat Wilson Pheanious.",10000
"Oz 2018, Inc • Thomas J. Filomeno - Treasurer • Approved by Oz Griebel",10000
"Hatfield 2018. Loretta Chory, Treasurer. Approved by Susan Hatfield. ",10000
Fishbein for Connecticut,10000
"Diane Pagano for State Representative - Barbara Roberts, Treasurer - Approved by Diane Pagano",10000
Corey for Senate,10000
"Coderre 2018, Kathleen Jenkins, Treasurer Approved by David W. Coderre",10000
Change PAC. This message was made independent of any candidate or political party. Top donors are Republican Governors Association. Additional information about Change PAC may be found on the State Elections Enforcement Commission’s Internet website.,10000
"Bosak for Senate.  Rashmi Patel, Treasurer.  Approved by Gerald R. Bosak",10000
Alexandra Bergstein Committee,10000
" Heather Somers for State Senate, Constantine Antipas Treasurer, Approved by Heather Somers.",10000
"Ferguson 138, Andrew Wetmore, Treasurer.  Approved by Michael Ferguson.",9969
The Glastonbury Democratic Town Committee.,5000
"Phil Young for 120, Steve Taccogna, Treasurer.  Approved by Phil Young",5000
Ned for CT. Richard Smith Treasurer. Approved by Ned Lamont.,5000
"Monica for CT Senate - District 21, Kevin W. Kosty, Treasurer. Approved by Monica Tujak Brill",5000
Milford Democratic Town Committee.,5000
Michael Musa-Obregón,4523
the Democratic Women of Westport,1000
"the Committee to Elect McKenney for CT 37th District, Janet Griggs, Treasurer",1000
WomanPresident4USA,1000
SOLAR ENERGY TODAY,1000
"SECoast, Inc. A nonpartisan 501(c)(3) nonprofit devoted to issues of preservation, development and the environment in southern New England",1000
"Reyes 75 for Re-Election, Aaron Schrag, Treasurer, Approved by Geraldo Reyes Jr.",1000
PoliticaCT,1000
Northeast Charter Schools Network,1000
"Mitch for Newtown, John D. Godin, Treasurer, Approved by Mitch Bolinsky",1000
"Melissa Ziobron 2018. Laurie Miller, Treasurer Approved by Melissa Ziobron",1000
Medicare For All - CT,1000
"Marx for CT. Dianna Kulmacz, Treasurer. Approved by Martha Marx.",1000
"Lucy 2018, Patricia Marshock, Treasurer. Approved by Lucy Dathan.",1000
"Larson for Congress - Barry Feldman, Treasurer",1000
"Gennaro100th2018. Treasurer, Deborah Kleckowski. Approved by Anthony S. Gennaro.",1000
Friends of Rosa DeLauro,1000
"Friends of John-Michael, Joan Walker, Treasurer. Approved by John-Michael Parker.",1000
Flynn 2018,1000
"Dominic For Senate, Michele Berardo, Treasurer. Approved by Dominic Rapini ",1000
"Beth Bye 2018, Linda Levin Treasurer, Approved by Beth Bye.",1000
ACLU of Connecticut,1000
"Harry Ruppenicker Jr, Westbrook Republican Chairman",938
Friends of Chris Murphy,924
EMILY's List,885
MDTC,825
Freeman Ng,819
Penzeys,709
"McCaffrey For Probate Judge Committee. Jacki Tamayo, Treasurer. Approved by Carolyn McCaffrey.",513
SAGE,488
Andy Kim for Congress,268
"4Ocean, LLC",181
Teflon Film LLC,175
Armed American Supply,163
Barbara Lee Family Foundation,154
Conor Lamb for Congress,153
PragerU ,152
African Wildlife Foundation,122
Tom Woods,116
Keep and Bear,116
The Years Project,114
"AAF Nation, LLC",96
Marggie Castellano for Senate 2018,94
Science for Humans and Freedom Institute,92
Ryan Hampton,92
Citizens for Judge Martin,90
Proud Right Winger,88
National Domestic Workers Alliance,75
the Newseum,73
Elizabeth for MA,69
Retail Politics LLC,67
Federal Voting Assistance Program,61
World Animal Protection,58
Michael Bailey,57
the NRCC and not authorized by any candidate or candidate's committee.,55
Action Against Hunger ,53
PrintedKicks,48
Mitchell Hall and Sean Callahan,44
California Democratic Party,35
Chesapeake Bay Foundation,31
the Republican State Leadership Committee,30
Coffman for Congress 2018,30
Heidi for North Dakota,26
Author Events,26
Friends of Eric Roe,25
"Andrew Gillum, Democrat, for Governor",24
Be a Hero PAC. Not authorized by any candidate or candidate’s committee.,22
Committee to Elect Caccaviello District Attorney,21
City Journal,20
The Dude's Designs,19
News For Democracy,19
JVMI,19
the United States Holocaust Memorial Museum ,18
Bill Nelson for U.S. Senate,17
Alliance for Safety and Justice,16
Greenpeace USA,14
FreedomWorks for America. Not authorized by any candidate or candidate's committee.,14
Beto for Texas,14
Angie Craig for Congress,14
the DC Fiscal Policy Institute,13
Congressional Leadership Fund,13
"All electoral content on this account is prepared by the SEIU Minn State Council Political Fund, 2233 University Ave W, #422, St. Paul, MN 55114, as an independent expenditure, and is not approved by any candidate nor is any candidate responsible for its content.",13
"Will Robinson, Republican, for State Representative",12
USA for UNHCR,12
Hoover Institution,11
End Citizens United,11
Committee To Elect Paul Fullen,11
Planned Parenthood Action Fund.,10
"Larry Hogan for Governor, R. Christopher Rosenthal, Treasurer",10
Conservation International,10
2A4LIFE LLC,10
Rino Swamp,8
Greg Scharff for Open Space District Board 2018,8
Demand Justice,8
CRTV,8
,8
the Veterans of Foreign Wars (VFW),7
Concealed Online,7
Tim Walz for Governor,6
The Committee To Elect Lisa Ring,6
Colm Willis for Oregon,6
America Fighting Back PAC,6
Home Improvement Deal,5
the committee to elect Joshua Hiatt,4
the Bump Committee,4
Vote Yes! for Success,4
Downtown for Democracy,4
the Trump Make America Great Again Committee,2
the North Carolina Democratic Party and Ric Vandett for NC Senate.,2
the Committee to Elect Ed McBroom ,2
the North Carolina Democratic Party and Committee to Elect Jean Sivoli.,1
The Feeney Committee,1
Rick Green for Congress,1
Portside,1
Norgaard4AZ,1
Friends for Justin Jones,1
Energy Citizens,1
Citizens for JD Wooten,1
Beesponsible,1
the North Carolina Democratic Party and Love for NC.,0
the North Carolina Democratic Party and Garner for North Carolina.,0
the National Network of Abortion Funds,0
the Kathleen Clyde Committee,0
the Democratic National Committee,0
the DSCC,0
the Connecticut Business & Industry Association,0
"the Committee to Elect Jake Ellis - Sarah Poole, Treasurer",0
the ACLU,0
"Winning For Women, Inc.",0
Will Duff for Connecticut,0
WhyHunger,0
White Buffalo LLC,0
"Vote Colleen Ebacher, Hollis Mooney, Treasurer",0
Union Patriots,0
"Tony for Wisconsin. Connie Hutchison, Treasurer.",0
Tina Smith for Minnesota,0
"ThoughtFull Enterprises, Inc.",0
The Western Journal,0
The Leadership Conference on Civil and Human Rights ,0
The Collective PAC; not authorized by any candidate or any candidate's committee.,0
The Atlas Society,0
Tammy Baldwin for Senate,0
Swing Left. Not authorized by any candidate or candidate's committee.,0
Support The 2nd Amendment,0
"Stand for Children, Inc.",0
Stand Up America,0
"Stafstrom 2018, Approved by Steve Stafstrom, Gabriel Parisi, Tresurer",0
Sinema for Arizona,0
"Simasnki 2018, Mark Neumann Treasurer. Approved by Bill Simanski",0
Sharice for Congress,0
Sen. David Carlucci,0
Santos for Congress,0
"SMP, and not authorized by any candidate or candidate’s committee.",0
Rustic Edge Marketing,0
"Robert ""Bobby"" Olszewski, Republican for State House, District 44",0
Real Justice PAC and not authorized by any candidate or candidate's committee.,0
"Re-elect Carol Hall - 59th, Bart Giustina, Treasurer.  ",0
Planned Parenthood Federation of America,0
Pfizer,0
Peter Goselin,0
Perlmutter for Congress,0
Patriot Powered Products and Publications,0
Oxfam America,0
OuterGoods LLC,0
Oceana,0
Ocean Conservancy,0
No Kid Hungry,0
Need to Impeach,0
National Park Foundation,0
NRDC Action Fund,0
NRDC,0
NRA,0
"MoveOn.org Political Action, pol.moveon.org, not authorized by any candidate or candidate's committee.",0
"MoveOn.org Political Action, not authorized by any candidate or candidate's committee.",0
MoveOn.org Civic Action.,0
Montanans for Tester,0
Mikie Sherrill for Congress,0
Michelle Lapine McCabe 2018,0
Mercy Corps,0
Maura Healey Exposed,0
Maple Heights African American Gazette,0
Little Feminist Book Club,0
"Larry Groh Jr. for 51st District, Lauri Germain Treasurer. Approved by Larry Groh Jr.",0
"Kristopher Tramont, REALTOR®",0
Klean Kanteen,0
Kamala Harris for Senate,0
Jeff Merkley for Oregon,0
James Thompson for Kansas,0
Home Professionals,0
Heifer International,0
Hartford Foundation for Public Giving,0
"Green for the 55th, Scott Kaupin Treasurer. Approved by Robin Green.",0
Graziosi For CT,0
Gillibrand for Senate,0
GRITS for Trump ,0
"GLSEN, creating safe & LGBTQ-inclusive K-12 schools.",0
Friends of Mark Pinsley,0
"Friends of Jonathan Porter; Brenden Carlson, Treasurer",0
Friends of Elizabeth Esty,0
"Frantz for State Senate. Robert J. Oca, Treasurer. Approved by Scott Frantz.",0
Fipple,0
Everytown for Gun Safety Action Fund,0
Environmental Defense Fund,0
"Elect Tiffany Thiele for the 55th, Malcolm Leichter, Treasurer. Approved by Tiffany Thiele.",0
"Donald J. Trump for President, Inc.",0
Designs For Victory,0
Define American,0
"Dan Fontaine for the 90th, Peter Cunningham Treasurer. Approved by Dan Fontaine.",0
DCCC,0
"D'Amelio for Senate, Bryan Meek, Treasurer. Approved by Marc D’Amelio.",0
"Cromwell Republican Town Committee. Doug Sienna, Treasurer.",0
"Cristin McCarthy Vahey 2018, Eric Newman, Treasurer.  Approved by Cristin McCarthy Vahey",0
"Connie 2018, Paula Smith Treasurer, Approved by Connie Jagodzinski",0
"Citizens Congress Inc., a 501 C4 non-partisan, non-profit organizetion registered in the state of Florida.",0
"Christine Cohen 2018, William Bloss, Treasurer. Approved by Christine Cohen",0
CARE,0
Bredesen for Senate,0
Brady PAC,0
Blue Wave Voters,0
Baria for Mississippi,0
Animal Petitions,0
Animal Matters,0
Amnesty International USA,0
Alyse for Alaska,0
92nd Street Y,0
#VoteTogether,0
 Penguin Young Readers,0
