Stacey Abrams,1022000,2459980
Brian Kemp,641000,1604991
Powerpac GA,600000,1499997
Geoff Duncan,255992,794936
Knock The Vote,211000,683976
Color Of Change PAC,200001,399997
Marsy's Law for Georgia,200000,499999
Democratic Party of Georgia,170000,399996
Concealed Online,162644,482836
Georgia Shift,101000,294991
The Arc Georgia,96000,505848
We Built This,60000,151996
Elizabeth Warren,35138,249182
Geoffrey Cauble For GA,34000,112988
Civiqs,32108,160535
North Fulton Democrats,22000,110995
GUNVOTE,22000,79995
Houston Gaines,21000,104997
Everytown for Gun Safety,18000,45008
The Voter Participation Center,17494,111841
Deborah Gonzalez for GA State House Rep District 117,16000,65996
Latino Community Fund -LCF Georgia,16000,64997
Better With Age,15000,59998
Rob Woodall,14000,65979
Betsy Holland for Georgia,11000,57995
Alliance for Climate Education,11000,54998
The Meredith FX Fund,10939,57688
Charlie Bailey,10000,52996
Women For Civility,10000,49999
Vote Gary Black,10000,49999
The Holy Tribune,10000,49999
Ryan Graham for Georgia Public Service Commission,10000,49999
Georgia Alliance for Social Justice,10000,49999
Everytown for Lucy McBath,10000,49999
Cherokee Christian Schools,10000,49999
Voto Latino,10000,41987
Westside Future Fund,10000,19998
GALEO.org,9926,49631
Lisa Ring for Congress,8453,27900
"Access Reproductive Care-Southeast, Inc.",7000,327700
Smythe DuVal,7000,38989
Ginny Ehrhart for Georgia,5000,26993
Cherokee County Democratic Party,5000,10998
Josh McCall - McCall for All,5000,9999
Jessica For Georgia House 144,5000,9999
Ellen Diehl for Georgia HD 81,5000,9999
Bill Lightle for Georgia Senate District 16,4000,19996
Hotspot Shield,3589,7179
Alex Kaufman,3000,15996
Donald J. Trump,2810,35504
Your Trump Shop,2523,12615
Greg Palast,2000,12995
David Knight for State Representative,2000,12995
"The Urbina Law Firm, LLC",2000,9998
The BROWN Report,2000,9998
Georgia Farm Bureau,2000,9998
Advocacy For Action,2000,9998
League of Women Voters of the U.S.,1785,8959
Adam Jortner for Alabama Board of Education,1164,2327
Goods Unite Us,1051,2102
Jeff Jones,1000,7996
Julie Jordan for Georgia,1000,6997
Vote Terry Rogers,1000,5998
New Georgia Project,1000,5998
Greenlight the Gulch,1000,5998
Georgia Right to Life,1000,5998
Dine with Dems,1000,5998
Cedric King for GA State House Rep District 167,1000,5998
BulletROOF,1000,5998
Andy Clark for State Senate,1000,5998
Whiteside for Richmond County Board of Ed,1000,4999
United Tea Party of Georgia,1000,4999
Sierra Club - Georgia Chapter,1000,4999
Mun Larimer for President,1000,4999
Maggie's List,1000,4999
Gwinnett Right to Life,1000,4999
Gwinnett County Democratic Party,1000,4999
Chuck Eaton,1000,4999
CNY Fertility,1000,4999
Better Georgia,1000,4999
All On Georgia.com,1000,4999
All On Georgia - Evans,1000,4999
Vote Out Mike,996,4979
Trey Kelley for State House,988,5936
MoveOn,841,5173
Federal Voting Assistance Program - FVAP,665,3326
Finance Watchdogs,640,3233
Kamala Harris,594,16052
Save Our Schools,511,2558
Fight For Reform,510,2548
National Republican Congressional Committee,452,3174
MI Senate Republican Campaign Committee,383,865
Penguin Kids,311,1554
Teamsters Joint Council 10,295,590
Beto O'Rourke,277,1428
Giving Brush,266,538
Tactical Pro Supply,256,1279
Lebowski Lovers,253,1264
Flip It Blue,247,1237
Patrick Windhorst for State Representative,222,444
Democrats,218,1199
Dissent Pins,216,1078
Altamar with Peter Schechter and Muni Jensen,200,1001
Ben & Jerry's,200,458
"Something has to change, and NOW",192,384
Center for Biological Diversity,191,954
Heidi Heitkamp,186,934
Stand Up America,163,938
ACLU of Northern California,162,324
Facing History and Ourselves,159,319
No Kid Hungry,150,498
Great America PAC,146,292
Brady PAC,145,724
Smoky Mountain Values,127,635
Conservation International,108,216
PCCC - BoldProgressives.org,104,208
Benham for Mayor,102,508
Penzeys Spices,94,470
Judge Bob Vance for Chief Justice,92,457
Newseum,91,459
The Term Limit Revolution,91,453
World Wildlife Fund,91,182
UltimateStraw,89,178
National Network of Abortion Funds,79,1201
A Penny for Progress,59,138
ACLU,54,422
Making Every Vote Count,49,243
Bill Nelson,48,259
