PowerPAC Georgia,200000
"Marsy’s Law for Georgia, LLC Henry T Nicholas, Chair",200000
Kemp for Governor,200000
"Color of Change PAC, not authorized by any candidate or candidate’s committee. ",50000
the Democratic Party of Georgia. ,10000
We Built This,10000
News For Democracy,10000
Latino Community Fund (LCF Georgia),10000
Georgia Alliance for Social Justice,10000
Gary Black for Agriculture Commissioner,10000
"Everytown for Gun Safety Victory Fund, and not authorized by any candidate or candidate’s committee.",10000
Deborah Gonzalez for GA,10000
Cherokee Christian Schools,10000
Campaign to Elect Ryan Graham,10000
Alliance for Climate Education,10000
GALEO,9926
Westside Future Fund,5000
The Campaign to Elect Josh McCall,5000
"National Shooting Sports Foundation, Inc.",5000
Knock The Vote,5000
Jessica for Georgia,5000
Georgia Shift,5000
Friends of Geoff Cauble,5000
Diehl For Georgia,5000
Cherokee County Democratic Committee,5000
Hotspot Shield,3589
Adam Jortner for Alabama Board of Education,1164
"Goods Unite Us, Inc.",1051
the Committee to Elect Houston Gaines,1000
Vote Terry Rogers,1000
United Tea Party of Georgia,1000
"The Urbina Law Firm, LLC",1000
The Committee to Elect Bill Lightle,1000
The Committee To Elect Lisa Ring,1000
The Committee To Elect Cedric King,1000
Stacey Abrams for Governor,1000
Sierra Club - Georgia Chapter Political Action Committee,1000
Ronald Brown,1000
Mun Larimer,1000
"Maggie's List, a Political Action Committee",1000
Gwinnett Right to Life,1000
Gwinnett County Democratic Party,1000
Greg Palast,1000
Georgia Right to Life,1000
Georgia Farm Bureau,1000
Fulton County Democrats,1000
"Friends of Alex Kaufman, Inc.",1000
Everytown for Gun Safety Action Fund. Not authorized by any candidate or candidate’s committee.,1000
DuVal for Secretary of State,1000
Committee To Elect Tony Whiteside,1000
Chuck Eaton for Public Service Commission,1000
CNY Fertility,1000
Better Georgia ,1000
"AllOnGeorgia, LLC",1000
Advocacy For Action,1000
"Republicans for Dr. Butler, Inc.",996
Trey Kelley for State House,988
Federal Voting Assistance Program,665
Finance Watch Dogs,640
the League of Women Voters,552
End Citizens United Nonfederal,510
Your Trump Shop,507
Civiqs,496
 Penguin Young Readers,311
Teamsters Joint Council 10,295
Save Our Schools,262
Tactical Pro Supply,256
Lebowski Lovers,253
Retail Politics LLC,247
Citizens for Patrick Windhorst,222
DCCC,218
Dissent Pins,216
"Senate Republican Campaign Committee, P.O. Box 12023, Lansing, MI 48901. Not authorized by any candidate or candidate’s committee.",200
Altamar LLC,200
Chris Grisolia,192
Center for Biological Diversity,191
Heidi for North Dakota,171
ACLU of Northern California,162
Facing History and Ourselves,159
Great America PAC,146
Brady PAC,145
Conservation International,108
the Progressive Change Campaign Committee PAC (BoldProgressives.org) and not authorized by any candidate or candidate's committee. Contributions to the PCCC are not deductible as charitable contributions for federal income tax purposes.,104
Benham for Benton,102
Penzeys,94
Committee to Elect Judge Bob Vance,92
World Wildlife Fund,91
The Term Limit Revolution,91
UltimateStraw,89
Smoky Mountain Values PAC,66
Making Every Vote Count,49
the Republican Party of Florida.  Not authorized by any candidate or candidate's committee.,45
the North Carolina Democratic Party and Ric Vandett for NC Senate.,40
the FED UP! Coalition,39
the ACLU,37
2atees1,37
SpeakEasy Political,34
Craig Huey,34
TheBlaze,33
"Healthy Montana, Dr. Steven Bailey, Treasurer, PO Box 1614, Helena, MT 59624",33
Concealed Online,33
"AAF Nation, LLC",31
the Newseum,30
KYP2 - a grassroots PAC,30
CRTV,30
No Kid Hungry,29
Blue Wave Voters,29
"ASMDSS, Inc",29
NRDC Action Fund,27
The Nature Conservancy,26
McCaskill for Missouri,23
Friends of David Leland,23
Bill Nelson for U.S. Senate,23
Committee to Elect Soraya Diase Coffelt Governor,20
USA for UNHCR,19
O'Dorisio for Adams County,19
