"Linda Love and Mike Williams, PO Box 762 Kula, HI.  Published without the approval of the candidates.",10000
Honolulu County Republican Party. Not authorized by any candidate or candidate committee.,10000
Ron Curtis,5000
Civiqs,5000
"Pono Hawaiʻi Initiative, a 501(c)4. P.O. Box 871 Honolulu, HI 96808. Ad not approved or authorized by any candidate or candidate committee",1000
National Solar Rebate,1000
Kris Coffield,1000
Hawai`i Peace and Justice,1000
Friends of Kaleiaina,1000
Friends of Juno Ann Apalla,1000
Airbnb,1000
Maui Causes. Not approved by any candidate or committee ,999
" S.A.F.E. Sustainable Action Fund for the Environment, POB 790538, Paia HI 96779  Not approved or authorized by any political candidate or candidate committee. Sustainable Action Fund for the Environment, a 501(c)4. ",998
McCaskill for Missouri,838
Planned Parenthood Federation of America,542
Penzeys,454
Good Jobs Nation,247
Medals of America,194
PETA,186
Federal Voting Assistance Program,124
"4Ocean, LLC",106
Retail Politics LLC,101
Conservative Gear,86
PragerU ,75
Media Research Center,73
"MoveOn.org Political Action, not authorized by any candidate or candidate's committee.",63
The Nature Conservancy,51
World Animal Protection,50
Montanans for Tester,50
Gillibrand for Senate,48
"Zya, Inc. ",46
The Mackinac Center for Public Policy,46
Sierra Club,44
Convention of States Action,42
Jetties Bracelets,40
Pew Research Center,38
Sinclair Broadcast Group,34
Friends of Rosa DeLauro,34
"Democratic Midterm Victory Fund, 777 S. Figueroa Street | Suite 4050 | Los Angeles Ca 90017. Not Authorized By Any Candidate Or Candidate's Committee.",32
Firearms Policy Coalition,31
Bird + Stone ,28
Elizabeth for MA,27
"AAF Nation, LLC",27
Beesponsible,26
NRDC Action Fund,24
Friends of Chuck Thomsen,22
Planned Parenthood Action Fund.,21
PrintedKicks,17
Dean Phillips for Congress,17
Color Of Change,17
California Democratic Party,16
Truthout,11
Jeff Merkley for Oregon,11
FreedomWorks for America. Not authorized by any candidate or candidate's committee.,10
Progressive Turnout Project,9
OuterGoods LLC,8
End Citizens United,8
DTN/The Progressive Farmer.,8
Kamala Harris for Senate,7
Bill Nelson for U.S. Senate,7
Alexandria Ocasio-Cortez 2018,7
the Republican State Leadership Committee,6
Regina Cobb 2018 ,6
"ClearPath Action, Inc. Not authorized by any candidate or candidate's committee.",6
American Bird Conservancy,6
Need to Impeach,5
CRTV,5
the United States Holocaust Memorial Museum ,4
The Daily Wire,4
Swing Left. Not authorized by any candidate or candidate's committee.,4
Chris Rahlf for Assembly,4
the Trump Make America Great Again Committee,3
the ACLU,3
Keep and Bear,3
Jeremiah D. Williams ,3
Heidi for North Dakota,3
"Goods Unite Us, Inc.",3
Dissent Pins,3
"Allison Gilman for Broward County Court Judge, Group 19, Non Partisan",3
#VoteTogether,3
Stand Up America,2
Shareblue Media,2
"Donald J. Trump for President, Inc.",2
the North Carolina Democratic Party and Langley for NC House.,1
"Winning For Women, Inc.",1
Todd Litton for Congress,1
Portside,1
News For Democracy,1
Lesley for CU Regent,1
Ken King for State Representative,1
Arkansans for Jobs and Justice ,1
the North Carolina Democratic Party and Gail Young for North Carolina.,0
the National Network of Abortion Funds,0
the NRCC and not authorized by any candidate or candidate's committee.,0
the Institute for New Economic Thinking,0
the Democratic National Committee,0
the DSCC,0
and authorized by Janet Mills for Governor.,0
Vote Yes! for Success,0
Tina Smith for Minnesota,0
"ThoughtFull Enterprises, Inc.",0
Support The 2nd Amendment,0
Sinema for Arizona,0
Rebuild Maine PAC,0
Real Justice PAC and not authorized by any candidate or candidate's committee.,0
Oxfam America,0
Oceana,0
NRDC,0
"MoveOn.org Political Action, pol.moveon.org, not authorized by any candidate or candidate's committee.",0
MoveOn.org Civic Action.,0
Military History Working Group at the Hoover Institution,0
Mikie Sherrill for Congress,0
Mercy Corps,0
"Luetkemeyer for Senate Al Landes, Treasurer",0
Klean Kanteen,0
Keepsakes Plus,0
James Thompson for Kansas,0
JVMI,0
Instagram,0
Hoover Institution,0
Giving Brush LLC,0
Friends of Dana Balter,0
Fire Ted Cruz PAC,0
Environmental Defense Fund,0
"Democratic Party of Green County. Cathy Kuehl, Treasurer",0
DCCC,0
"DC Doris for Congress Committee Vicky Ganacias Borja, Treasurer P.O. Box 3060, Hagåtña, Guam 96932",0
Concealed Online,0
Civic Action Network,0
CARE,0
Brave Path Media LLC,0
Blue Wave Voters,0
Be a Hero PAC. Not authorized by any candidate or candidate’s committee.,0
Amnesty International USA,0
92nd Street Y,0
,0
