Idaho Freedom Foundation,25000,109997
Save Idaho Horse Racing,23756,147317
Janice McGeachin,22000,109996
Cindy for Schools,20000,69997
Steve Berch for Idaho,15000,59998
Swisher for Idaho,14000,70994
Cory Jane 4 Coeur d'Alene,11000,24997
Idaho DLCC,10000,49999
Backcountry Hunters & Anglers,9928,49639
David Nelson for Idaho,9636,26787
AARP Idaho,7000,19997
Idaho Education News,5000,26993
Idaho Resident Energy Savings,5000,10998
Lynn Luker for Idaho,5000,9999
Idaho Second Amendment Alliance,5000,9999
CWI Yes,5000,9999
Collum for LT Governor,3998,22984
Home Professionals,3000,19992
Doug Zenner Nez Perce County Commissioner,2000,12995
Viki Purdy for Idaho,2000,9998
Cheddar,1586,3966
Kalispel Tribe of Indians,1385,6926
ReBuild USA,1100,2749
Dan Hanks for Idaho,1000,6997
Senator Fred S. Martin,1000,5998
Sean Fay for Clerk,1000,5998
Shem Hanks For Idaho,1000,4999
Re-Elect Dotti For Coroner,1000,4999
Idaho Anti-Trafficking Coalition,1000,4999
Elect Cindy Riegel,1000,4999
Snake River Alliance,997,4982
National Republican Congressional Committee,802,2566
Elect Bob Heneage,794,3969
Comedy Central,729,1458
Donald J. Trump,655,5525
National Immigration Forum,614,3069
Elizabeth Warren,525,1086
Northwest Abortion Access Fund,387,1348
Jewish Voice Ministries International,361,883
Dissent Pins,361,723
"I Love You, America",360,719
Penzeys Spices,268,890
Kirsten Gillibrand,201,576
Heidi Heitkamp,191,386
American AF,184,766
PrintedKicks,139,694
United States Constitution,114,578
Republicans for the Rule of Law,101,415
Kamala Harris,100,961
End Citizens United,95,473
Concealed Online,90,311
Question PAC,78,390
4ocean,70,263
Tom Steyer,62,323
Students for Life of America,59,293
Stand Up America,59,174
Environmental Defense Fund,59,151
Blue Wave,52,389
Senate Majority PAC,48,203
EMILY's List,47,235
Federation for American Immigration Reform,47,94
Roscoe for Wyoming,43,214
Climate Facts,41,81
Beto O'Rourke,34,172
Your Trump Shop,33,164
Flip It Blue,29,147
Winning For Women,29,91
Be A Hero,28,162
Bill Nelson,28,144
Indivisible Guide,28,139
dittymoji,27,53
United for Medical Research,25,49
Fight For Reform,24,119
Congressional Leadership Fund,22,43
CARE,17,81
AARP Advocates,17,34
MoveOn,13,103
ACLU,12,99
The Western Journal,12,58
Brady PAC,12,24
Paul Bradley for State Senate,11,54
Kyrsten Sinema,11,54
Charlton for PA,10,51
Jason Reese for House District 83,10,49
E. O. Wilson Biodiversity Foundation,10,48
Ashleigh Aitken,10,21
CRTV Tonight with Gavin McInnes,9,67
America with Eric Bolling,9,47
PragerU,9,45
FloridaStrong,9,45
UnitedVoice.com,9,43
James Thompson for Kansas,8,75
Lisa Brown,8,55
Democratic Senatorial Campaign Committee (DSCC),8,50
Jeff Merkley,8,46
The Ben Shapiro Show,8,42
National Security Action,8,41
Trump 2020,7,36
Military Officers Association of America (MOAA),7,34
Everytown for Gun Safety,7,34
Heifer International,6,195
National Network of Abortion Funds,6,145
Kialo,6,31
Guardian Labs,6,29
Swing Left,5,25
Patriot Depot,5,25
Janet Garrett for Congress,5,25
Greenpeace USA,5,23
Support The 2nd Amendment,4,333
National Domestic Workers Alliance,4,20
Build With Strength,4,20
Better Medicare Alliance,4,20
No Kid Hungry,4,18
Left AF,4,7
Politicon,3,372
Kiana Maria Sears,3,17
Whatcom Wave,3,15
Kate Brophy McGee - State Senate,3,15
Oxfam,3,11
Mike Yin for WY House - HD16,3,7
Catholic Relief Services,2,38
Our Flag Our Country,2,11
Chris Murphy,2,11
Denyc Boles for HD 19,2,9
Elect 435,1,7
Mayor Matt Hall,1,6
Jon Tester,1,6
Finance Watchdogs,1,5
Peter Cownie,1,3
The Wilderness Society,1,2
MedicareSupplement.com,0,5994
Rebecca For Idaho,0,2997
Oceana,0,1294
NRDC,0,1001
BJ Swanson for Latah County Treasurer,0,999
Reclaim Idaho,0,952
NARAL Pro-Choice America,0,333
FrackFeed,0,333
Tony Evers,0,125
Tina Smith,0,123
Mikie Sherrill,0,110
Terryl Warner - District 1,0,52
David Baria for Mississippi,0,40
Tammy Baldwin,0,38
Power In Cooperation,0,33
NRDC Action Fund,0,29
Land Conservation Assistance Network,0,29
African Wildlife Foundation,0,23
Mercy Corps,0,21
Armed American Supply,0,19
National Popular Vote dot com,0,15
Klean Kanteen,0,15
Gavin Newsom,0,15
Patriot Powered Products,0,12
Conservative Tribune,0,12
National Democratic Redistricting Committee,0,11
HomeGrown Tees,0,10
Democratic Party,0,10
Americans for Farmers & Families,0,10
Ocean Helper,0,9
Lebowski Lovers,0,9
Civic Action Network,0,9
Sharice for Congress,0,8
Population Connection,0,8
Human Coalition,0,8
Phil Bredesen,0,7
In the Woods with Phil,0,7
BreakPoint,0,7
Shield Republic,0,6
Dana Balter for Congress,0,6
Sierra Club,0,5
Putting Women In Their Place,0,5
Fipple,0,4
South Dakotans for Progress,0,3
Disrupt Aging,0,3
Trump Is Wack,0,2
Restore the Mississippi River Delta,0,2
North Dakota Dem-NPL - District 12/29,0,2
Jonathan Porter for Delegate,0,2
Jamie McLeod-Skinner for Oregon,0,2
Giffords,0,2
Eric Eliason for Congress,0,2
Texans for Natural Gas,0,1
