JB Pritzker,1158000,3887768
Fed of American Hospitals,400000,999998
IL-14 Get the Facts,315916,848582
FreedomWorks,226000,485992
Illinois Policy,215000,560996
Illinois Working Together,200000,499999
Save Your Home Now,160550,773706
Rodney Davis,151000,575986
Mike Bost,129374,488877
Republican State Leadership Committee,125345,311721
Fight Back,86000,354988
Elect John Curtis,65000,309993
Illinois Family Institute,62000,159996
Tyler R. Edmonds,61000,309988
Solar Energy Today,51000,254994
Peter Roskam,41000,196983
Illinois Farm Bureau,31999,130986
The Coalition for a Better Illinois 6th,30000,149997
Rachelle Aud Crowe for Senate,30000,120995
Committee to Elect Luke Thomas Cass County Circuit Judge,30000,104991
McHenry YES,28000,130988
A Better Illinois,26000,99991
Mark Batinick for State Representative,25000,109997
Barrett Davie for Illinois Senate,21000,105996
Paul Stoddard for State Representative: IL-70,21000,78992
Better With Age,20000,99998
Gregg Johnson for State Senate,17000,70995
Andrew Chesney for State Representative- 89th District,17000,69996
Dustin Heuerman for Sheriff,16000,67994
Moving Danville Forward,16000,65996
Justin Hanson for Congress,16000,64997
SEIU Healthcare Illinois & Indiana,15811,65049
Illinois Education Association,15000,59998
Solar Rebate,14000,39994
Dan Cronin,13000,75976
Dr. Jay Kinzler,12000,60996
Seth McMillan for State Senate,12000,30995
Dillon Clark for State Representative,11000,58994
John C. Ackerman for Tazewell County Clerk,11000,55997
Gary Seyring For Judge,11000,54998
ELI talks,10994,54968
Citizens for Independent Judges - Illinois 20th Judicial Circuit,10000,51997
State Representative Avery Bourne,10000,50998
James Mendrick For DuPage Sheriff,10000,50998
Alliance for Climate Education,10000,50998
St. Clair County IL Democrats,10000,49999
Randy Hultgren,10000,49999
Mayor David Gonzalez,10000,49999
Jim Dodge for IL Treasurer 2018,10000,49999
Democratic Party of Henry County,10000,49999
David McSweeney,10000,49999
Citizens for Jesse White,10000,49999
Dick Barr for Lake County Board Dist. 3,10000,35993
Charters for Change,10000,21996
Elect Judge John Sanders,10000,19998
Debbie Ming-Mendoza For County Clerk,10000,19998
"I Love You, America",9998,24995
Drugs as Weapons Against Us: The CIA War on Musicians and Activists,9247,46234
Seth Lewis For State Senate,9000,29995
Lauren Underwood for Congress,8999,31991
Martin Tully for DuPage County Board - District 3,8000,24996
Holly Kim for Lake County Treasurer,6000,38985
Tom Demmer,6000,15997
Patients Rising Now,6000,14998
New Lenox Professional Firefighters Local 5097,6000,14998
Megan Moore for District 15,6000,14998
Tony McCombie,5000,24995
Not My Lawyer,5000,24995
Dorothy Brown for Mayor,5000,12993
Illinois Citizens for Ethics - Political Action Committee,5000,10998
Dupage Young Republicans,5000,10998
Re-Elect Alderman Tom Tunney,5000,9999
NRDC,5000,9999
Mary for Illinois,5000,9999
Just Say No to Northpoint,5000,9999
Judge Heinz Rudolf for Circuit Judge,5000,9999
Jim Root for Sheriff,5000,9999
Jason Helland,5000,9999
JD Barter for Sheriff,5000,9999
Elect E. Ryan Hall for Judge,5000,9999
Citizens for Linda Hudson 8th Ward Aldermanic Candidate,5000,9999
Circuit Judge Jeff MacKay,5000,9999
Angie Bodine For State Rep - Angie4IL,5000,9999
Elect Mark Rabe Circuit Judge,4999,10995
Kevin Gaither for Congress,4995,24969
Color Of Change,4881,9761
The Voter Participation Center,4568,42368
John Legere,4497,8994
Friends of Jason Jones,4383,8764
Sean Morrison for Cook County Commissioner,4000,23992
Personal PAC,4000,20995
Laura Ellman For Senate,4000,19996
4ocean,3352,7650
IL CleanJobs,3000,16995
Macon County Democrats,3000,15996
Rick Lesser,3000,14997
Jake Castanza,3000,14997
Citizens for Hammond,3000,14997
Donald J. Trump,2691,34938
Penzeys Spices,2674,5347
Bruce Rauner,2000,19988
Steve Dutner For IL Secretary of State,2000,17990
Save Harley Clarke,2000,9998
People for Carlos,2000,9998
Jen Gong-Gershowitz for State Representative,2000,9998
Janice Schakowsky,2000,9998
DeKalb County Illinois Democratic Party,2000,9998
Denise Anita Hill,1995,17962
Majestic Madison,1726,8630
United States Constitution,1721,3442
National Republican Congressional Committee,1674,4640
The Boeing Company,1163,5815
The Leadership Conference on Civil and Human Rights,1047,4508
Tom Steyer,1027,5137
Bond County Democratic Central Committee,1000,7996
Ald. Edward M. Burke,1000,7996
Ryan FitzSimmons For LCA Board,1000,6939
Pharmacists United for Truth and Transparency,1000,5998
Elect Amy Grant,1000,5998
Dave Seiler for 107th,1000,5998
Chris Guy,1000,5998
Andrew Lopinot for County Treasurer,1000,5998
Vote Judge Carey Gill,1000,4999
Vermilion County Republicans,1000,4999
VOTE Mary FitzGerald Ozog Democrat for DuPage County Board District 4,1000,4999
Tony DelGiorno,1000,4999
TCHfor48,1000,4999
Steve Webb For Senate,1000,4999
Stephanie Kifowit,1000,4999
Stephanie Helmuth Republican Candidate for Moultrie County Treasurer,1000,4999
Senator Martin A. Sandoval,1000,4999
Prairie Rivers Network,1000,4999
Peter Janko State Central Committeeman 14th Congressional District,1000,4999
Nick Hyde for State Representative- 89th District,1000,4999
Moultrie County Republicans,1000,4999
Matt Ward for Tazewell County Board,1000,4999
Kevin Hoerner for Judge,1000,4999
Keith Ogle for Will County Board District 2,1000,4999
John Curran for State Senate,1000,4999
Jim Reilly for Will County Sheriff,1000,4999
Illinois Family Action,1000,4999
Greg Hart,1000,4999
Geneva Township Republican Central Committee,1000,4999
Ed Gallagher for County Board,1000,4999
Democratic Party of Williamson County,1000,4999
Democratic Citizens Of Berwyn,1000,4999
"David Ormsby, Inc.",1000,4999
Dan Caulkins for Illinois State Representative,1000,4999
Citizens for Karina Villa,1000,4999
Chicago Socialist Alternative,1000,4999
Chicago Community Bond Fund,1000,4999
Chicago Committee Against War and Racism,1000,4999
Brian Godlewski - Tinley Park,1000,4999
Brian Fengel for Peoria County Sheriff,1000,4999
Blaine Wilhour for State Representative 107th District,1000,4999
Alderman Roberto Maldonado,1000,4999
Adam Kinzinger,1000,4999
Charles Brandon Brown for Jackson County Board Dist. 2,861,4304
James Futrell - Madison County Board,838,4190
Joe Donnelly,790,3327
Planned Parenthood Action,603,2492
"The Law Offices of Vaughan de Kirby, A.P.C.",591,2957
"Plea for a change, the Michael Bell shooting",580,2899
The Nature Conservancy,527,2085
Exploiting America,503,2514
PragerU,499,2003
MoveOn,438,7809
Swing Left,429,2444
Kirsten Gillibrand,425,2248
Moms Demand Action for Gun Sense in America,395,1977
Janet Garrett for Congress,365,1825
Flip It Blue,356,1780
Klean Kanteen,353,10138
American AF,344,1759
Scott County Democrats,338,1689
Proud Right Winger,326,1631
Kamala Harris,323,27451
Elect Rogers Kirk Jr.,317,1584
Marggie Castellano for State Senate 36th District,304,607
DefendArizona,303,605
Concealed Online,294,2245
Climate Facts,282,1412
