Working For Us,2053000,6215571
Joe Donnelly,1439493,3904355
Sleeping Joe,973911,2619767
Mexico Joe,950000,1999991
Indiana Republican Party,471000,1204994
NumbersUSA,200000,499999
Indiana AFL CIO,112000,259995
Senator Ron Grooms,78037,156073
Indiana Secretary of State Connie Lawson,48292,96582
Community Health Network,30000,110985
Trey Hollingsworth,24954,109786
NAACP Legal Defense Fund,24170,48340
Hatfield For Commissioner,20000,99998
Dee Thornton for Congress,20000,69997
Ryan Ballard for County Council District 1,15000,59998
Human Rights Campaign,10006,50029
CUSTY for Duneland School Board,10000,52996
Solar Energy Today,10000,49999
National Wildlife Federation Action Fund,10000,49999
Anna for Indiana,10000,49999
Lisa Dullum for County Council,6000,14998
John Springer For Sullivan County,5000,13929
Hoosier Environmental Council,5000,10998
Patton for Judge,5000,9999
Mayor Tim Haak,5000,9999
CWS,5000,9999
Conservative Tribune,3526,7592
ReBuild USA,3344,6688
Right to Life of Southwest Indiana,2850,14246
Donald J. Trump,2672,25991
ACLU,2593,6209
Giving Brush,2566,5147
Between the Scenes,2323,5283
The Leadership Conference on Civil and Human Rights,2296,4592
Center for Biological Diversity,2093,4691
Zay for State Senate,2000,9998
Vicky Woeste for Tippecanoe County Clerk,2000,9998
Katie Morgan for School Board,2000,9998
Indiana Environmental Reporter,2000,9998
Darrell Auxier for Judge,2000,9998
AM 560 The Answer,1724,8622
Judicial Watch,1488,3821
Backcountry Hunters & Anglers,1391,2782
Heidi Heitkamp,1163,2659
Shafer Leadership Academy,1000,7996
Thomas TANK Harris for Silver Creek Twp TRUSTee,1000,6997
Sheriff Frank Loop,1000,5998
Sharon Tucker for Council,1000,5998
Michele for IPS,1000,5998
John Aguilera for Indiana,1000,5998
Jesse Harper For Center Township Trustee,1000,5998
Howard County Democratic Party,1000,5998
Elect Benyousky Trustee,1000,5998
Dale Nowlin for State Rep,1000,5998
Aimee Rivera Cole for District 37,1000,5998
Planned Parenthood Advocates of Indiana and Kentucky,1000,5912
Veronica Pejril for Greencastle Township Advisory Board,1000,4999
Tony Adrian for Perry Trustee,1000,4999
Tim Jeffers for State Representative,1000,4999
Sullivan County Indiana News,1000,4999
Solar Rebate,1000,4999
"Ryan Browning for Cass County, IN Commissioner",1000,4999
Randy Thornburg for Posey County Commissioner,1000,4999
Patty Pickens for County Auditor,1000,4999
Pam Buchanan for Judge,1000,4999
NRDC,1000,4999
Kevin Patterson,1000,4999
Kate Wiltz for Monroe County Council,1000,4999
Hermann for Prosecutor,1000,4999
Harrison County Young Republicans,1000,4999
Co-ops Vote,1000,4999
Clyde Myers for Indiana,1000,4999
Brock for Indiana,1000,4999
Blue Monday,1000,4999
Amie Neiling for House District 32,1000,4999
18 for 18,926,5502
RSCC,923,1845
Zimbio,915,1829
Adam Cole for Switzerland County School Board,811,4054
Arkansans for Jobs and Justice,798,1596
Anna Caballero for Senate,721,1585
Kyrsten Sinema,719,1470
American AF,319,1609
Southern Poverty Law Center,281,1406
John R Lott Jr,273,1366
"Imprimis, a Publication of Hillsdale College",273,1366
DownsizeDC.org,270,1351
Concealed Online,262,1541
Penguin Kids,262,1309
PragerU,224,1120
VoteTogether,201,1286
Kamala Harris,197,7037
Elizabeth Warren,170,849
Personal Liberty,166,332
National Alliance for Public Charter Schools,161,807
Swing Left,159,2865
Proud American Hunter,152,304
PrintedKicks,146,368
Color Of Change,140,700
Kirsten Gillibrand,127,637
Al Muratsuchi for Assembly,119,237
NARAL Pro-Choice America,118,236
Goods Unite Us,98,196
Claire McCaskill,93,325
Be A Hero,91,318
Carl DeMaio,90,180
Approved By Citizens,87,174
Political Icons,75,149
Floyd’s Fork Democratic Club,65,325
Support The 2nd Amendment,64,1943
Progressive Turnout Project,63,126
Corazon Coqui,59,118
National Republican Congressional Committee,54,1631
