NumbersUSA,200000
Kansas Health Foundation,200000
Paul Davis for Kansas,199094
"Yoder for Congress, Inc.",100000
Per Aspera Policy Inc,50000
ACLU of Kansas,50000
"Laura Kelly for Kansas, David Toland, Treasurer",10000
"Kansans for LaTurner, Doug Hill, Treasurer",10000
"Jason Osterhaus for Johnson County Commissioner; Amy Guerich, Treasurer.",10000
"Hoffman for Senate, Rod Hoffman, Treasurer.",10000
"Hodge for Kansas. Mike Llamas, Treasurer",10000
"Hilderbrand for Kansas, Myra Frazier, Treasurer",10000
"Duxler for Sedgwick County, Janelle King, Treasurer",10000
DoSomething,10000
Congressional Leadership Fund,10000
"Brian McClendon for Kansas Committee, Sandy Praeger, Treasurer.",10000
"the Douglas County Democratic Party, Jim Beach Treasurer",5000
"Schmidt for Attorney General, Inc., Gary C. Allerheiligen, Treasurer",5000
"Owen Donohoe for State Representative, Owen Donohoe, Treasurer",5000
"Hanna For KS, Mary Williams-Tresurer",5000
Finley for House 43,5000
McCaskill for Missouri,1607
Great America PAC,1113
Ron Roller,1000
Pines International,1000
News For Democracy,1000
NRDC,1000
Kansas Leadership Center,1000
Kansas Electric Cooperatives ,1000
John W. Carlin,1000
James Thompson for Kansas,1000
Jack Bower For Atchison County Commissioner ,1000
"Gerrett Morris for State Representative, Janice Morris, Treasurer.",1000
"Eileen For Kansas, Doni Mooberry, Treasurer",1000
Debbie Deere for State Representative,1000
"Cynthia Smith Campaign, Janis C. Bunker, Treasurer",1000
"Cruse for Sedgwick County, Prism Carnal, Treasurer",1000
"Committee to Elect Serena Schermoly for Mayor, Treasurer Shelly Trewolla",1000
"Barbara K. Wasinger, Candidate               Robert L. Wolf, Treasurer",1000
Alliance for a Healthy Kansas,1000
"The Bluestem Fund P.O. Box 2481 Topeka, KS 66601",940
Progressive Turnout Project,917
G.I. Jobs Magazine,832
Penzeys,823
the League of Women Voters,789
The Leadership Conference on Civil and Human Rights ,760
Media Research Center,746
Jeff Merkley for Oregon,614
the Republican State Leadership Committee,474
The Nature Conservancy,445
Jay Ruderman,402
Republican Senate Campaign Committee,350
EMILY's List,349
Patients Against Bradshaw Amendment Formally Known As Find The Cures Political Action Committee,248
Nick Josefowitz for Supervisor 2018,219
Schuring for Ohio,170
"Phil Glynn for Mayor, Jon Otto, Treasurer.",144
The Years Project,132
Convention of States Action,127
World Animal Protection,109
Tammy for Illinois,107
Your Trump Shop,89
"Angela Thomas For Mo. State Representative District 160 Dr Kent Farnsworth, Treasurer",86
