Robert F. Wright,43011
Ryan Mosley for State Representative,10000
Robert Jennings,10000
National Wildlife Federation Action Fund,10000
KYI -grassroots powered UCC,10000
"Jason Nemes Campaign, Jennifer Barber Treasurer",10000
Human Rights Campaign,10000
Friends of Judge Zalla,10000
Debbie Vescio,10000
Dan Bentley for State Representative,10000
Andy Barr for Congress,10000
the Campaign Fund of Kevin Neal,5000
Tom Buford for State Senate,5000
The Commonwealth Policy Center,5000
SOLAR ENERGY TODAY,5000
Louisville-Jefferson County Democratic Party,5000
"John Riley, Candidate",5000
Jeff Wilson for Sheriff,5000
Dorsey Ridley for State Senate,5000
"The Committee to Elect Emily Digenis for Judge, Hunter C. Sattich, Treasurer",4510
Point Source Youth,4507
Heidi for North Dakota,1299
Media Research Center,1093
"write-in Bonnie Wheeler for Sheriff, Nannette Smallwood Treasurer",1000
the committee to elect Melinda Gillum Dalton,1000
the committee to elect Leslie McCarty Daviess County Clerk ,1000
candidate,1000
by Elect Gaines for Sheriff,1000
"William E. Woods, Republican Candidate for Governor of Kentucky",1000
Tyler Johnson for City Commissioner,1000
The Committee to Elect Kelli Kearney,1000
The Campaign to Elect Christian Motley,1000
The Campaign Fund of RB McKenzie,1000
Steven Elder for Mayor,1000
Steve Kay for Council,1000
Stephanie King-Logsdon for Circuit Court Clerk,1000
Shepard for Council,1000
Seth Hall for Congress,1000
Ronald Devrick for Commissioner,1000
Ramsey Flynn for City Commissioner,1000
Preston Worley for 7th District Council,1000
NRDC,1000
Morgan Eaves for State Representative ,1000
Mike Wilson for State Senate,1000
Mica for Judge Campaign Committee,1000
McKenzie Cantrell for State Representative,1000
Matt Deneen Candidate for Elizabethtown City Council,1000
Malcolm Cherry for State Representative ,1000
Lacresha Gibson,1000
Kentucky Voices for Health,1000
"Judge Nick Burlew Campaign 1024 Griffith Ave Owensboro, KY 42301 Andy Roberts, Treasurer",1000
Heritage Action for America and not authorized by any candidate or candidate’s committee,1000
Hank4KY,1000
Franklin County Democratic Party,1000
Eric E. Whisman,1000
Emily Ferguson for State Representative,1000
Eddie Jones for McCracken County Commissioner,1000
Denise Gray for Kentucky,1000
Committee to Keep Judge Gentry,1000
Committee to Elect Rob Wiederstein,1000
Committee to Elect Linda Dixon Bullock,1000
Committee To Elect Mark Lee,1000
Charles Arnold,1000
Campaign to Elect Annie O'Connell for Jefferson County Circuit Judge,1000
Campaign Fund For Vincent Gwin,1000
Campaign Fund For Calen Studler,1000
Campaign For Stephanie Compton for Ky Senate,1000
Brett Hightower,1000
Amy Pike,1000
Adam O'Nan,1000
Federal Voting Assistance Program,953
Monica Meredith,922
STEPHENS 2018,882
Guthrie for Congress,873
Rick Rand for State Representative,826
Committee to Elect Judge Darryl Lavery,816
"Ohio Value Voters, Inc.",806
George Barnett Christian County Republican Party,776
Republican Senate Campaign Committee,667
Citizens for Fischer,583
"Andrew Gillum, Democrat, for Governor",526
Justin Fortner for Commonwealth Attorney,486
"Senate Republican Campaign Committee, P.O. Box 12023, Lansing, MI 48901. Not authorized by any candidate or candidate’s committee.",409
Jeff Merkley for Oregon,291
Darrell Auxier,287
Concealed Online,271
Humane Society International,237
 Penguin Young Readers,221
Judicial Watch,211
We Are The Mighty,181
Candidate,155
Sullo & Sullo Attorneys at Law,136
"Wolf PAC. This message has been authorized by Wolf PAC, 6230 Wilshire Blvd Suite 140, Los Angeles, CA 90048, David Koller, Treasurer. This message has not been authorized or approved by any candidate, candidate's committee, or ballot issue committee.",132
The Leadership Conference on Civil and Human Rights ,123
The Atlas Society,116
Friends of Brigid Kelly,106
The Ruderman Family Foundation,101
California Democratic Party,101
No Kid Hungry,94
FRIENDS OF SCHUMER,72
NARAL Pro-Choice America,71
DCCC,63
"4Ocean, LLC",59
World Wildlife Fund,57
Beto for Texas,57
Organization United for Respect,46
Brady PAC,44
Florida Strong Action PAC independently of any candidate.,41
UltimateStraw,37
The Nature Conservancy,32
Conservative Daily,30
CAS Political Action Committee,29
Build With Strength,29
the Trump Make America Great Again Committee,26
NRSC,26
FreedomWorks for America. Not authorized by any candidate or candidate's committee.,23
Daniel Webster for Congress,22
McCaskill for Missouri,21
"Kuebler for EMWD Director 2018, Re-Elect",21
the National Democratic Redistricting Committee,20
Proud Right Winger,20
NRDC Action Fund,18
Animal Petitions,18
Ammar Campa-Najjar for Congress.,18
PrintedKicks,16
"Donald J. Trump for President, Inc.",16
Come Back O,15
TheBlaze,14
Fipple,14
Military Officers Association of America (MOAA),13
"Judge David Farr Campaign, Elizabeth J. Farr, Treasurer, PMB 269, 5300 N. Braeswood – 4, Houston, TX 77096. In Voluntary Compliance with the Judicial Campaign Fairness Act. Any portrayals of Judge Farr in military uniform are to give biographical information. They ARE NOT an endorsements by the U.S. Army or Texas Army National Guard.",13
Everytown for Gun Safety Action Fund,13
USA for UNHCR,12
Tax March,12
Texans for Natural Gas,11
"Maria Markhasin-Weekes for Broward County Circuit Court Judge, Group 46, Non Partisan",11
"Will Robinson, Republican, for State Representative",6
Protect Our Winters Action Fund,6
Planned Parenthood Action Fund.,6
Friends of Gary,6
"the KRAUT FOR WESTPORT Committee, Gabriel Sasson, Treasurer. Approved by Greg Kraut.",5
"MoveOn.org Political Action, not authorized by any candidate or candidate's committee.",5
Kanew For Congress,5
MJ for Texas,4
"ClearPath Action, Inc. Not authorized by any candidate or candidate's committee.",4
Adam Schiff for Congress,4
Summerville for Laramie,3
Mary Jane Caylor for City Council,3
"Anthony Bonna, Republican, for St. Lucie County Commission - District 2",3
AFGE,3
Tim Walz for Governor,2
Portside,2
"Luetkemeyer for Senate Al Landes, Treasurer",2
Indivisible Action,2
Alicia Scott Georgia Forward Campaign Committee,2
Upton for All of Us.,1
THE MIKE BOST FOR CONGRESS COMMITTEE,1
Stitt for Governor 2018,1
News For Democracy,1
Need to Impeach,1
Kate Brophy McGee AZ - Senate,1
Ferkinhoff2018,1
the North Carolina Democratic Party and Kuppers for Senate.,0
the National Network of Abortion Funds,0
the NRCC and not authorized by any candidate or candidate's committee.,0
the Kathleen Clyde Committee,0
the Democratic National Committee,0
the DSCC,0
the Campbell County Republican Party,0
the ACLU,0
reelectsheriffmikelowell,0
"Zya, Inc. ",0
"Winning For Women, Inc.",0
White Buffalo LLC,0
Voters Decide,0
Turning Point USA,0
Trump 2020,0
Tom Steyer,0
Tina Smith for Minnesota,0
"ThoughtFull Enterprises, Inc.",0
Thomas Fox,0
The Innocence Project,0
The Epoch Times,0
The Democratic Coalition,0
The Committee to Elect Dennis Potvin,0
The Collective PAC; not authorized by any candidate or any candidate's committee.,0
The Campaign Fund of Jennifer Reynolds,0
"Terri Stanley, Campaign treasurer",0
Terri Branham Clark ,0
T-Mobile,0
Swing Left. Not authorized by any candidate or candidate's committee.,0
Support The 2nd Amendment,0
Stand Up America,0
Science for Humans and Freedom Institute,0
Save the Redwoods League,0
Rustic Edge Marketing,0
Rowan County Democratic Party,0
"Robert ""Bobby"" Olszewski, Republican for State House, District 44",0
Robbie Smither,0
Real Justice PAC and not authorized by any candidate or candidate's committee.,0
Rachel Ratliff Campaign Fund,0
RAGA Action Fund,0
Planned Parenthood Federation of America,0
Paula Setser-Kissick for Kentucky Senate,0
Patti Minter for Kentucky,0
Pat Banks for State Representative Campaign,0
Oceana,0
Ocean Helper,0
Ocean Conservancy,0
Newsom for California Governor 2018,0
National Park Foundation,0
NRA,0
"MoveOn.org Political Action, pol.moveon.org, not authorized by any candidate or candidate's committee.",0
"Momentum Appalachia, LLC",0
Military History Working Group at the Hoover Institution,0
Mercy Corps,0
McConnell Senate Committee,0
Mary J. Orange For Circuit Court Clerk,0
"Marsy’s Law for Kentucky, LLC",0
Maple Heights African American Gazette,0
MIchael Case,0
Liles Taylor for Magistrate,0
Laura White Brown for Morehead Mayor,0
Larry Jeffers,0
Klean Kanteen,0
Kentucky Family Values,0
Keep and Bear,0
Kamala Harris for Senate,0
KYP2 - a grassroots PAC,0
Josh Calloway for State Representative,0
Jennifer Scott McGlone,0
Jason McCraw campaign fund,0
Janet Booth Re-Election Committee,0
Heifer International,0
Greg Pohlgeers for Fort Mitchell City Council,0
Giving Brush LLC,0
Gillibrand for Senate,0
George Barnett for Magistrate,0
Friends of Steve Mentzer,0
Friends of Louise Valentine,0
Friends of Kevin Gaither,0
"Friends of Jonathan Porter; Brenden Carlson, Treasurer",0
Faith Johnson for DA,0
End Citizens United,0
