Protect Freedom PAC and not authorized by any candidate or candidate’s committee.,100000
"Our Next America, Inc.",100000
Likewise,100000
Rachel's Action Network,50000
DCCC. (202) 863-1500 . Not authorized by any candidate or candidate’s committee.,49986
"With Honor Fund, Inc.",49971
and Authorized by the Candidate,10000
"Rosen for Senate, Treasurer Melissa Osborne",10000
"Jeff Timberlake - Michelle Brown, Treasurer.",10000
Integrity First PAC,10000
Hayes For Maine,10000
Farrin for Senate,10000
DoSomething,10000
Dan Ankeles for Brunswick Town Council,10000
Americans for Limited Government,10000
News For Democracy,9998
Pingree for Congress,9952
Grohman for Congress,9913
Senator Rebecca Millett,5000
Re-Elect Chipman for Senate,5000
Protect Our Care Maine,5000
Matt Irwin for Aroostook County Sheriff,5000
AARP Maine State Office,5000
Committee to Elect Jared Golden,4996
NAACP Legal Defense Fund,3016
World Mercury Project,1263
the committee to elect Joshua Hiatt,1000
the candidate,1000
"the Maine Republican Party, 9 Higgins Street, Augusta, Maine. Not paid for or authorized by any candidate.",1000
and authorized by Janet Mills for Governor.,1000
THE ANGUS KING FOR U.S. SENATE CAMPAIGN,1000
Priorities USA Action. Not paid for or authorized by any candidate.,1000
Pouliot for Senate,1000
"Paid and Authorized by Crystal Canney For Senate, Ed Suslovic Treasurer ",1000
Noah Cobb Election Committee,1000
"Mainers for Homecare; 565 Congress Street, Suite 200; Portland, ME 04101",1000
Jon Torsch for Portland,1000
Hayes for Maine,1000
"Friends of Dave Durrell, Maynard Charron Treasurer",1000
Derek Maine's Conservative Blog,1000
Demand Justice,1000
"Charles Hawkins, Travis Connolly - Treasurer",1000
Brunelle for Portland,1000
Aroostook County Democratic Committee ,1000
Independent Women's Voice,830
DCCC,642
Comedy Central,612
Concealed Online,472
Herd on the Hill supporter contributions,373
Friends of Jim Beard,198
Sierra Club,143
The Democratic Coalition,109
Future Now Fund,107
NARAL Pro-Choice America,95
McCaskill for Missouri,72
 Penguin Young Readers,63
National Domestic Workers Alliance,60
Yale Environment 360,59
The Nature Conservancy,54
The Western Journal,47
"Political advertisement, paid for and approved by Joe Gruters, Republican for Florida State Senate, District 23",42
E.O. Wilson Biodiversity Foundation,40
Gillibrand for Senate,39
