"Friends of Christian Miele | Treasurer: Richard ""Maynard"" Thurfield",100000
"Robin Ficker Campaign Fund, Amy Ginther, Treasurer",50000
"Friends of Kathy Szeliga, Colleen Dunlap, Treasurer",50000
 American Family Voices.,47929
Backcountry Hunters & Anglers,24833
The Mackinac Center for Public Policy,10000
"The Calvin Ball Team, Roger Barnes, Treasurer",10000
SOLAR ENERGY TODAY,10000
"Marc Elrich for County Executive, Dale Tibbitts, Treasurer",10000
"Giangrande for Senate; Philip Liotta, Treasurer      ",10000
"Friends of Robin L. Grammer Jr., Kathy Pietruszka, Treasurer",10000
"Friends of Nino Mangione. Lawrence Hineline, Treasurer.",10000
"Friends of J.B. Jennings, Lauren Fowler, Treasurer",10000
"Friends of Dawn Myers, Cynthia Dooley Treasurer",10000
DoSomething,10000
Citizens for Thomas Walsh,10000
"By Authority: Maryland House Democratic Caucus Committee; Gail E. Smith, Treasurer.",10000
Animal Advocates of Howard County,10000
AARP Maryland,10000
"Citizens for Jesse A Peed for Senate, Kathryn J Peed Treasurer",9964
"Committee to Elect Allan Kittleman; Bradley Myers, Treasurer",9957
"authority:  Loker, Roberta for House of Delegates,Keith Loker, Treasurer",9328
"Vote Colleen Ebacher, Hollis Mooney, Treasurer",5000
"Larry Hogan for Governor, R. Christopher Rosenthal, Treasurer",5000
"Friends of Paul Corderman, treasurer Michael Weiss ",5000
"Friends of Joe Parsley, Cyndi Schaff, Treasurer",5000
"Friends of James Kitchin; Lauren Morgan, Treasurer",5000
Friends of Brian Marcos,5000
Friends of Amanda Fiedler; Samuel Long Treasurer,5000
"Authority: Harvey Jacobs For Maryland. Marjorie Kling, Treasurer.",4986
Irene Gonzalez,4743
Mavis Taintor,2818
Federal Voting Assistance Program,1846
T-Mobile,1634
Comedy Central,1395
Hulu,1129
Committee to Elect Rob Davidson,1057
"the Fire Fighters of Frederick County for collective bargaining PAC, Christopher Mutchler, Treasurer.",1000
Voters for Eric Colvin,1000
"Vote Schleifer, Hillel Soclof, Treasurer ",1000
"The Baltimore Post, LLC",1000
Seth Bernard for City Council,1000
Scott E's Blog,1000
Mike Lee for Baltimore County Council District 2,1000
Makeda Scott for Board of Education,1000
"Lisa Jarosinski for District 2, Sharon Buntman, Treasurer",1000
"Laura Price for County Council, Jean C Everngam, Treasurer",1000
"Friends to Elect Sarah Lacey, Jacqueline A. Brooks, treas.",1000
Friends to Elect Patty Ewing,1000
Friends of Wes Adams,1000
"Friends of Steve Johnson, Julie Johnson Treasurer",1000
"Friends of Ryan Nawrocki, Amanda Williams, Treasurer",1000
"Friends of Robert Leonard, Michael Brown, Treasurer",1000
"Friends of Nic Kipke. Judy Glinka, Treasurer.",1000
Friends of Katie Fry Hester,1000
"Friends of Joe Hooe - Patrick O'Malley, Treasurer",1000
Friends of Izzy Patoka ,1000
"Friends of Buddy Staigerwald, Auth:  M. Martino,Treasurer",1000
"Friends of Alice Cain, Jenni Rooney, Treasurer",1000
"Friends for Karen Simpson, Donna Flaharty, Treasurer",1000
"David Trone For Congress, Inc. ",1000
"Citizens for Matt Morgan, Kathleen Morgan Treasurer",1000
"By Authority: Anne Colt Leitess for State's Attorney, John A. Potthast, Treasurer",1000
"By Authority of Beth Swoap, Treasurer",1000
"By  Authority : Friends of Felicia Folarin, Treasurer William Olukoya",1000
American Civil Liberties Union of Maryland,1000
" Emily Shank for Delegate, Richard V. Boswell, Treasurer",1000
Amie Hoeber for Congress,981
"Frederick County Democratic Central Commitee (FCDCC), Treasurer, Tony Soltero",972
Seth Moulton for Congress,961
Citizens for Tony Chmelik; Treasurer Julie Glovier,906
Citizens for Robinson,897
Great America PAC,827
Steve Snell for PA House Committee,822
"Kristina M. Caudle, Treasurer, Citizens for Bernard Semler",629
Committee to Elect Soraya Diase Coffelt Governor,613
"Friends of John Barr (Thomas Newcomer, Treasurer)",480
"Authority DelMonte For 1C, Charles Shelquist, Treasurer.",451
US~Observer,427
CHI St. Joseph Children's Health,281
Linda Willard for Delegate,268
Citizens for Gary Howell,267
Brady PAC,262
World Animal Protection,206
Oxfam America,196
The Nature Conservancy,187
"4Ocean, LLC",185
Our Revolution Arlington,169
"AAF Nation, LLC",155
Republicans for the Rule of Law,149
Teflon Film LLC,145
UnidosUS,137
Beto for Texas,122
Proud Right Winger,108
Jeff Merkley for Oregon,101
"Andrew Gillum, Democrat, for Governor",100
the Newseum,94
Committee to Elect Emily Best,92
Mic,91
NARAL Pro-Choice America,72
Comstock for Congress,69
American Bird Conservancy,66
Capital Research Center,65
Alliance for Safety and Justice,58
Mission First VA,57
"National Shooting Sports Foundation, Inc.",56
The Nib,55
Energy Citizens,55
the Republican State Leadership Committee,50
Citizens for JD Wooten,49
Boyd Corbin for Mayor of Wilton Manors,48
Black Republican Caucus of Florida. Not Authorized By Any Candidate Or Candidate's Committee.,47
Dr. Kim Schrier for Congress,44
Red Zone PAC,36
Affordable Housing Now Yes on Props 1 & 2 Coalition,36
Circa,35
CARE,35
Making Every Vote Count,33
"Debra Bellanti, Democrat for State Representative District 60.",32
IVN News,31
"MoveOn.org Political Action, not authorized by any candidate or candidate's committee.",29
CREDO Mobile,27
OuterGoods LLC,25
Elizabeth for MA,24
"Kathy Lewis, Democrat, for Florida State Senate District 20",23
Viking Books,22
Arkansans for Jobs and Justice ,22
Center for Biological Diversity,20
Planned Parenthood Federation of America,19
Planned Parenthood Action Fund.,19
"Frantz for State Senate. Robert J. Oca, Treasurer. Approved by Scott Frantz.",19
Shope for House 2018,18
NARAL Pro-Choice Virginia,18
MJ for Texas,18
LifeSiteNews,14
"Donald J. Trump for President, Inc.",14
Common Defense / Beyond the Choir Action Fund and not authorized by any candidate or candidate's committee,14
Parks Project,13
TheBlaze,12
