Jay Gonzalez,1808000,4976806
Freedom for All Massachusetts,1031000,2607978
Coalition to Protect Patient Safety,837000,1770988
Eastern Bank,670000,1499990
Safe Patient Limits Save Lives,200949,404743
Geoff Diehl,111000,335979
Peter Tedeschi for Congress,65714,180343
Rick Green,61000,208967
John Flores for State Senate,60000,149998
Auditor Suzanne Bump,54876,293304
Daniel Fishman for Auditor,50000,99999
Elizabeth Warren,46000,294876
Jim McGovern,35000,160995
Maura Healey,27000,127967
Support the Marlborough Airport Redevelopment Project,20000,99998
Blake Rubin For District Attorney,20000,99998
Patients For Affordable Drugs Action,15000,59998
Boston Rescue Mission,14281,57012
AARP MA,11000,54998
Heidi Heitkamp,10899,27309
Richard Neal,10000,49999
My Pay My Say,10000,49999
DoSomething.org,10000,49999
Americans for Peace and Tolerance,8629,17256
Carole Fiola,8000,29991
Paul DePalo,8000,26994
Patrick O'Connor,7000,23993
Joe Espinola For State Senate,6000,15997
Pina Prinzivalli for State Representative,5000,10998
Mayor Brian Arrigo,5000,9999
Marc Lombardo,5000,9999
Alexandria Ocasio-Cortez,4584,9166
Penzeys Spices,2728,5455
Comedy Central,2011,4022
Sarah Hewins,2000,9998
Patients Rising Now,2000,9998
Julie Hall,2000,9998
Cape Cod Women for Change,2000,9998
Allin Frawley For State Representative,2000,9998
Vote for Madhavi,1989,9943
NARAL Pro-Choice America,1658,3316
"Martha Marx For CT State Senate, District 20",1462,3667
Donald J. Trump,1064,13455
PragerU,1048,2503
Joe Kennedy III,1000,19984
Opt Out Newton,1000,6997
Maurahealey.exposed,1000,6997
Dr. Katie McBrine for State Senate,1000,6997
Elect Paul J. Fullen,1000,5998
State Senator Mike Barrett,1000,4999
Scholar Athletes,1000,4999
Relay Power,1000,4999
Regulate Cape Cod,1000,4999
PHENOM (Public Higher Education Network of Massachusetts),1000,4999
Kinnon For Malden,1000,4999
Jobs First IE PAC,1000,4999
Dan Rizzo for Revere,1000,4999
City Council President Orlando Ramos,926,4631
Ryan Losco for State Representative,854,4269
Allison Werder for State Representative,746,3730
Synthisophy,705,3527
National Domestic Workers Alliance,698,1420
USA for UNHCR,666,2927
Goods Unite Us,585,2925
Kamala Harris,489,22929
National Republican Congressional Committee,462,3470
The Boeing Company,453,2264
Stand Up America,440,2377
ACLU,381,2146
League of Women Voters of the U.S.,349,1745
CARE,339,2919
Everytown for Gun Safety,269,1345
Winning For Women,261,1307
Topic,258,1288
Angie Craig,233,465
Planned Parenthood,219,439
Nine Line Apparel,192,961
Modern Hero,188,942
Giving Brush,188,406
Tactical Pro Supply,177,884
NowThis Morning,162,811
E. O. Wilson Biodiversity Foundation,154,308
John Catsimatidis,149,744
Concealed Online,143,452
Sandro Galea,125,734
Republicans for the Rule of Law,125,626
Indivisible Guide,117,651
Klean Kanteen,116,11550
If I Were Running for Senate In Pennsylvania,116,579
Melanie4NHSenate,106,528
Claire for Senate,105,524
Manveer for Fairfield City Council,85,170
Oxfam,84,422
Federal Voting Assistance Program - FVAP,81,404
American AF,77,155
Democratic Senatorial Campaign Committee (DSCC),75,382
Sister District Project,75,373
OAF Nation,75,150
The Nib,74,372
Watson Institute for International and Public Affairs,74,371
Chris Murphy,61,326
MoveOn,59,533
Dice,57,287
Penguin Kids,53,269
National Democratic Redistricting Committee,50,284
Left AF,46,230
Family Survival,46,92
FloridaStrong,43,213
Americas Society/Council of the Americas,42,209
Players Coalition,38,189
Republican State Leadership Committee,38,75
World Wildlife Fund,37,186
Planned Parenthood Action,37,185
The Collective PAC,32,161
National Health Law Program (NHeLP),31,153
Modern Medicaid Alliance,30,61
