Andrea Fischer Newman,799000,2030985
Michigan Republican Party,784987,2048882
Healthy and Productive Michigan,610000,1249997
Oakland County Board of Commissioners,370000,1699958
America First Action,356000,1505524
American Potential,222000,633984
NumbersUSA,200000,499999
Michigan Prosperity Project,200000,499999
Elissa Slotkin for Congress,178000,516984
Tom Leonard,132000,359993
Michigan Wildlife Council,123849,445679
Everytown for Gun Safety,112038,444110
Human Rights Campaign,89005,328002
Garnet Lewis for State Senate,85000,403977
Tim Walberg,74694,358465
The Fighting for Families Fund,74000,341986
Jack Bergman,69912,289622
Vote Poppy,60000,301992
Help For Flint,60000,149998
Promote the Vote MI,51000,104998
Macomb Families First,50000,100998
Solar Energy Today,42000,209994
Fight for $15,40000,199996
Tom Steyer,36155,190308
Yes Ready by Five,35000,160995
Our Flag Our Country,30991,154952
Better With Age,29992,89979
Paul Mitchell for Congress,24976,110882
Fred Upton,18968,86828
Dennis Brewer for Circuit Court Judge,17000,69996
Cathy Albro,16000,38992
Kevin Daley for State Senate,14000,41992
Darrin Camilleri,12550,65021
GUNVOTE,11000,57995
Alliance for Climate Education,11000,54998
Voters - Not Politicians,11000,50934
Weak Ends at Bernies,10000,49999
Vote Dan O’Neil,10000,49999
Sara Spencer-Noggle for Isabella County Probate Judge,10000,49999
Michelle Deatrick,10000,49999
Eric Sabin For State Representative 85th District,10000,49999
Bill Schuette,10000,49999
Eunice for Clinton County Commissioner,10000,19998
Cahalan for Judge,10000,19998
PragerU,7411,18446
Scott Dianda,7000,19997
Lisa Sinclair for Macomb County Clerk,7000,19997
Women For Civility,6999,19994
Michigan Capitol Confidential,6000,29994
"Julia Pulver, RN for Michigan Senate District 15",6000,17995
Scott Noto For Judge - Kent County Circuit Court,6000,15997
Joanne Galloway for State Representative,6000,14998
Conservative Tribune,5413,12009
League of Women Voters of the U.S.,5354,13591
Point Source Youth,5000,9999
Michigan Voice,5000,9999
Make Michigan Great Again,5000,9999
Erik Stone for Presque Isle Probate Judge 2018,5000,9999
Detroit Regional Chamber,4992,9984
Donald J. Trump,4958,39767
Michigan Democratic Party,4500,9340
Renee Watson for State Senate,4000,19996
Judge Keith Hunt,4000,19996
Comedy Central,3775,7550
Judicial Watch,3160,7407
Future Now USA,3105,15778
"Sarah Schulz - Candidate for State Rep, Michigan 98",3000,14997
Heritage Action for America,3000,14997
ACLU,2597,5766
Vote Yes for PARC,2000,12995
Dearborn Heights 48125 East,2000,11996
Lapeer County Prosecutor Mike Sharkey,2000,10997
Kristina Drake for Livingston County Commission D8,2000,10997
Ken Horn for Michigan State Senate,2000,10997
Elect Patricia Camarena-Rose Barbary For Berrien County,2000,10997
Yates for EGR School Board,2000,9998
The #Wild4Whitmer Unofficial Street Team 2018,2000,9998
Phil Skaggs,2000,9998
Patients Rising Now,2000,9998
Niles Niemuth,2000,9998
Make It Commissioner Danielle McCluskey,2000,9998
Committee to Elect Stuart Black Isabella County Probate Judge,2000,9998
Brad Wever for DeWitt School Board,2000,9998
Ayanna Neal for Lansing Judge,2000,9998
Amanda Brand,2000,9998
Chuck Schumer D-NY,1875,3751
Elizabeth Warren,1836,4923
AARP Nevada,1502,3005
dittymoji,1402,2803
The Leadership Conference on Civil and Human Rights,1363,2871
Fass Fuel Systems,1194,2388
Gongwer News Service Michigan,1000,9994
Rob Davidson for Congress,1000,7996
Yes 4 M-TEC,1000,6997
Representative Larry Inman,1000,6997
Say No To PARC,1000,5998
Re- Elect Paul Kolin for Bloomfield Hills School Board 2018,1000,5998
Noel Garcia for East Lansing School Board,1000,5998
Model D,1000,5998
Maureen Martin for Livingston,1000,5998
Mark P. Ludwig,1000,5998
Jacob Straley,1000,5998
Grant Carlson,1000,5998
Comden for State Senator,1000,5998
Bob Smith for Kent County Commissioner,1000,5998
Vote Donna Lasinski,1000,4999
Tracie Tomak for District Judge,1000,4999
Steve Carra for County Commissioner,1000,4999
Progressive Democratic Women's Caucus,1000,4999
Mike Herrera Johnson,1000,4999
Michigan Environmental Council,1000,4999
Marlene Webster for County Commissioner District 1,1000,4999
Mark Bignell,1000,4999
Larry King for Prosecutor,1000,4999
Kimberly Klein for Grandville School Board,1000,4999
Kelly Breen for MI State Representative - District #38,1000,4999
Judge Debra Nance - 46th District Court,1000,4999
Josh Linkner,1000,4999
Jim Haadsma for State Representative,1000,4999
Jeff Pemberton,1000,4999
Jacob Hilliker for Bay County Road Commission,1000,4999
Grajek for Battle Creek Public,1000,4999
Ernie Whiteside for State Representative,1000,4999
Eightyfive Miles,1000,4999
Democratic Coalition Against Trump,1000,4999
David Barberi For Prosecutor,1000,4999
Carl Hilton for Allendale Board of Education,1000,4999
Beth Griffin,1000,4999
Ben Eastman for Barry County Commissioner,1000,4999
Andrea Geralds,1000,4999
Alberta Griffin for 61st District Michigan State Representative,1000,4999
105.9 kiss-fm,1000,4999
Bob Romps for State Representative,945,4723
National Republican Congressional Committee,873,5309
Players Coalition,712,3563
"South County Democratic Club, Berrien County, Michigan",587,3272
Oceana,568,2915
Dropkick Memes,533,1674
RSCC,456,912
Stand Up America,452,3341
Concealed Online,422,2462
"Imprimis, a Publication of Hillsdale College",406,2028
4ocean,388,1938
Senate Majority PAC,386,1929
PrintedKicks,369,1865
Republican State Leadership Committee,369,1845
The Free Patriot,366,1829
45th President Donald J. Trump,354,1772
Ryan Hampton,347,1732
The Western Journal,339,1694
Southern Poverty Law Center,294,1470
Kamala Harris,293,12006
Civiqs,288,1439
Kirsten Gillibrand,281,1466
Kyrsten Sinema,275,1397
NORML,274,1369
Joe Gruters,243,1215
Claire McCaskill,242,1232
End Citizens United,236,1224
Tammy Baldwin,231,1214
Blue Wave,216,669
Scott Walker,212,424
Winning For Women,191,1893
Planned Parenthood Action,182,492
One of Us Films,178,889
World Wildlife Fund,175,349
DefendArizona,172,344
AARP Member Benefits,161,321
America with Eric Bolling,148,372
World Animal Protection USA,136,271
Wisconsin Right to Life,131,653
MoveOn,110,11376
Jacob Turk for Congress,102,508
Local Majority,101,1141
Crime Survivors for Safety and Justice,101,503
Democratic Senatorial Campaign Committee (DSCC),100,540
Klean Kanteen,87,8665
USA for UNHCR,80,400
Pfizer,66,470
Environmental Voter Project,66,328
WHO is John Brooks?,57,285
Progress NC Votes,53,267
Swing Left,52,1046
Congressional Leadership Fund,51,255
Making Every Vote Count,48,239
NRSC,48,238
Joe Kennedy III,46,230
Tax March,45,225
Toxic-Free Future,42,85
SeeHer,41,204
The Collective PAC,36,180
NRDC,35,1442
Heidi Heitkamp,33,352
The Ben Shapiro Show,32,161
The Andrew Klavan Show,32,160
Movement Voter Project,30,150
Trump 2020,30,149
American AF,28,1209
Headline Shirts,28,139
Shield Republic,27,216
Patriot Depot,27,137
Tony Evers,25,126
Sierra Club,25,124
THE TRUMP NETWORK,24,121
Oklahomans Against 793,24,49
CARE,20,370
MJ for Texas,19,93
FrackFeed,19,93
VoteYes4Success,14,70
Sharon Guidi 4 Pa House 40,14,27
State Representative Jay Case,13,66
Left AF,13,66
Lesley for CU Regent,13,26
Donald A. Douglas for Ottawa County Commissioner,12,60
Gesslein & Luttrell for Monmouth County Freeholder,10,20
Jill Norgaard for AZ House,9,18
"Nick Josefowitz for Supervisor, San Francisco, District 2",9,17
New York Republican State Committee,8,42
Joe Donnelly,8,41
Rhonda Cole Schandevel,7,37
Andy Kim for Congress,6,29
Cort VanOstran for Congress,5,104
NO on 105,5,10
Bob Casey,4,22
Josh Harder,4,21
Christine Pellegrino for NY Assembly District 9,4,21
Riveters Collective,4,20
