Alliance for a Better Minnesota,3456000,7910939
Jeff Johnson,1018000,2076912
Tim Walz for Governor,755000,2554933
Elevate MN,577000,1421969
Keith Ellison for Attorney General,349947,1399617
American Straw Poll,210000,549998
Our Lives Our Vote,123000,284992
Tina Smith,100000,387594
Erik Paulsen,100000,199999
Collin Peterson,99367,198733
Dean Phillips for Congress,96000,389982
Minnesota Values,49919,101836
MN AFL-CIO,40000,200995
Women For Civility,37022,134040
Minnesota Issues That Matter,36000,134994
Angie Craig,35986,121947
Yes for MPLS Kids,34000,141990
Kim Spears for House,33000,164994
The Voter Participation Center,29567,118071
Minnesotans for a Smoke-Free Generation,26000,114996
Right Now USA Superpac,24973,109875
The Holy Tribune,24622,86554
Dan Feehan for Congress,20980,105895
Liberty Justice Center,20000,99998
Josh Welter for Governor,20000,99998
Bob Fletcher for Ramsey County Sheriff,20000,99998
Laurie Pryor for State Representative,20000,40995
Center of the American Experiment,18000,59990
Dr. Alice Mann for MN House,16000,65996
National Loan Programs,16000,64997
Everytown for Gun Safety,15039,78167
Irene Fernando for Hennepin County Commissioner - District 2,14000,41992
Tyrel Clark for House,12000,59997
State Representative Dennis Smith,12000,59997
Better With Age,10009,20051
Solar Energy Today,10000,49999
Rep. Bob Vogel,10000,49999
Minnesota Department of Health,10000,49999
Keep Them Accountable,10000,49999
Julie Blaha for State Auditor,10000,49999
DoSomething.org,10000,49999
Cannon River Civic Center,10000,49999
Adam Yang for Judge,10000,49999
AARP MN,10000,49999
Our Flag Our Country,10000,49997
Friends of the Mississippi River,9645,48226
Roz Peterson,8787,44934
Heidi Heitkamp,8023,19939
MPR News,7000,20996
Peter McLaughlin,7000,19997
Pam Myhra for State Auditor,6000,14998
John Howe for MN Secretary of State,6000,14998
Betty McCollum for Congress,6000,14998
Paul Reinke for Oakdale,5000,11997
Peterson for Shakopee School Board,5000,9999
PG for EP,5000,9999
Minnesota House DFL Campaign,5000,9999
Madalynn Gerold,5000,9999
Friends for Grabowska,5000,9999
Freedom Club,5000,9999
Dave Lislegard For MN House 6B,4000,19996
ACLU,3813,9848
Olmsted County GOP,3000,15996
Liftable Engagement Services,3000,15996
Melissa Kopachek for Janesville City Council,3000,14997
Heather Edelson for MN House,3000,14997
ReBuild USA,2920,7301
American AF,2681,5503
Donald J. Trump,2597,22887
Conservative Tribune,2585,5201
Beto O'Rourke,2129,4767
Tarryl Clark for Commissioner,2000,13994
Lauren Crandall,2000,11996
Ruth Richardson for House 52B,2000,10997
Robert Bierman for State Representative,2000,10997
Tom Cherney for Hastings City Council,2000,9998
Stefanie Jaquette for North Mankato City Council,2000,9998
Minneapolis Public Housing Authority,2000,9998
MN350: Building a Climate Movement in Minnesota,2000,9998
Bill Mars: Mayor of Shakopee,2000,9998
Barbara Dröher Kline for 20A,2000,9998
Land Stewardship Project,1993,9960
Planned Parenthood Action,1957,4947
Jim Swenson for North Branch Mayor,1848,9236
Medals Of America,1347,2693
Protect Our Care,1259,6295
PragerU,1085,2169
National Republican Congressional Committee,1016,2961
Jim Hagedorn,1000,11992
Erik Mortensen For House,1000,7996
Tanya Simons for Osseo School Board,1000,6997
DFL in Olmsted County,1000,6997
Representative Steve Green District 2B,1000,5998
Woodbury MN Budget,1000,4999
Wayne Groff for Roseville,1000,4999
WCCO Radio,1000,4999
Transform Minnesota,1000,4999
Tina Riehle For Stillwater School Board,1000,4999
The Marvelous Patric,1000,4999
Steve Simon for Secretary of State,1000,4999
Steve Morris - Woodbury City Council Candidate,1000,4999
Stephen Browning for State Representative,1000,4999
Scott Goddard for Crow Wing County Sheriff,1000,4999
Ron Case for Mayor,1000,4999
Re-elect Zehnder Fischer,1000,4999
Re-Elect Kevin Campbell for Clay County Commission - District 4,1000,4999
Re-Elect Judge Arlene Asencio Perkkio,1000,4999
Phil Windschitl for Farmington City Council,1000,4999
Patty Acomb for MN State Representative,1000,4999
PERM,1000,4999
Mixed Blood Theatre Company,1000,4999
Minnesota Young Republicans,1000,4999
Minnesota Center for Environmental Advocacy,1000,4999
Kristy Kjos for County Attorney 2018,1000,4999
Jim Newberger for US Senate,1000,4999
Jason Kwiat for School Board,1000,4999
Jamie Mahlberg for MN House 25A,1000,4999
Ilhan Omar for Congress,1000,4999
Ian Todd for Congress,1000,4999
Ian Oundo,1000,4999
Gail Kulp for MN House,1000,4999
Fowler For Sheriff,1000,4999
Fischer for Representative,1000,4999
Donzel Leggett,1000,4999
Charlie Warner for Assembly,842,4210
Jeff Peterson for MN House 32B,830,4149
Invisible Innocence,708,3539
North Dakotans for Citizen Voting,656,3279
RSCC,572,1145
FEE,542,2434
Elizabeth Warren,496,2193
The Leadership Conference on Civil and Human Rights,403,2018
Penzeys Spices,310,1552
Rep. Joshua A. Boschee,236,1182
Swing Left,232,1553
End Citizens United,232,1160
Republican State Leadership Committee,229,1143
Concealed Online,198,549
Pug Media Productions,197,985
Stand Up America,195,1142
The Nib,185,926
PrintedKicks,184,923
Proud Right Winger,157,314
Winning For Women,154,971
Dennis Evenson For SD Senate  District 4,145,727
Pursuit,139,294
Turning Point USA,135,317
Civiqs,133,682
Kamala Harris,130,12646
National Domestic Workers Alliance,126,286
dittymoji,124,619
No Kid Hungry,117,440
PolicyEd,107,215
Between the Scenes,93,467
CARE,88,684
Kayla for Iowa,80,439
Kialo,79,158
Your Trump Shop,73,147
America with Eric Bolling,69,138
Mic Dispatch,65,130
Abby Finkenauer for Congress,59,117
Anna Caballero for Senate,55,274
Corazon Coqui,49,121
Brian Kroshus for North Dakota,48,96
Paul Bradley for State Senate,47,235
Patients For Affordable Drugs Action,45,225
"Vernon County Democratic Party, Wisconsin",44,221
Kimberly Faith - Author,44,221
Oxfam,41,204
Tony Evers,40,255
Josh Haeder for State Treasurer,35,177
Kirsten Gillibrand,34,296
USA for UNHCR,29,145
Senator John Albers,27,54
The News and Why It Matters,26,130
Crime Survivors for Safety and Justice,25,125
Shaun King,24,219
Be A Hero,24,131
United States Holocaust Memorial Museum,24,119
Marsy's Law for Wisconsin,23,113
Support The 2nd Amendment,21,391
45th President Donald J. Trump,21,105
National Democratic Redistricting Committee,20,209
Chuck Schumer D-NY,20,100
American Values PAC,20,39
Oceana,19,962
Howstuffworks,19,97
Flip Wyoming,19,97
Rob Davidson for Congress,19,96
Claire McCaskill,19,95
Trump on Earth,17,87
World Wildlife Fund,17,84
Environmental Defense Fund,15,73
Denormalizers,15,72
Power In Cooperation,14,83
David Baria for Mississippi,14,77
Brandon Medenwald,14,69
Shareblue Media,14,32
Finance Watchdogs,13,67
Ocean Helper,12,60
CRTV Tonight with Gavin McInnes,12,60
Science for Humans and Freedom Institute,11,53
Every State For Israel,10,50
Chris Murphy,9,24
Military Officers Association of America (MOAA),8,123
Skippack Township Supervisor Nick Fountain,8,40
LevinTV,8,38
JJ for JP,8,15
TraffickingMatters,7,37
Stop Mandatory Vaccination,7,37
Tony McCombie,7,35
Allan Kittleman,7,35
Players Coalition,7,33
FreedomWorks,7,33
Ryan Nawrocki for Baltimore County Council,6,32
Forward Thinking Politics,5,25
2atees1,4,22
Lesley for CU Regent,4,21
Representative Steve Mentzer,4,18
Texans for Natural Gas,3,214
Kathy Hoffman,3,16
Chesapeake Bay Foundation,3,15
Fentrice For Florida House District 63,3,14
Left AF,3,13
Yes on Measure A for Rocklin Parks,2,11
Vote Bobby O,2,9
Portside,2,9
Kellogg for NC House,2,9
IL-14 Get the Facts,2,8
Ginger Garner for NC Senate,2,8
Heritage Action for America,2,4
Carl DeMaio,2,4
"Philly Women Rally, Inc.",1,6
Elect Judge Victoria McKay Kennison for Circuit Court Judge,1,5
Congressional Leadership Fund,0,12987
Time To Vote On Climate,0,8991
MoveOn,0,7486
Askov Finlayson,0,6993
Karen Branden for MN House,0,3996
Drew Christensen,0,3996
Chuck Schauss for Wright County Commissioner,0,3996
Raeanne Danielowski for Sherburne County Commissioner District 2,0,2997
Minnetrista governance blog,0,2997
Democratic Party,0,2910
SD36 MNGOP,0,1998
Marla Vagts for MN House 58B,0,1998
Mark for NL-S,0,1998
Maresh For House,0,1998
Larry Sorensen for STMA School Board,0,1998
George Marin for Mayor,0,1998
Detroit Lakes Area League of Women Voters,0,1998
Delane Wetterlin for District 112 School Board,0,1998
Brenda Elmer for Moorhead Mayor,0,1998
Anthony Hilden for Farmington School Board,0,1998
Heifer International,0,1925
Ocean Conservancy,0,1332
Gavin Newsom,0,1042
NRDC,0,1016
Re-Elect Jamie Becker-Finn for State Rep,0,999
Peggy Scott for MN House,0,999
Nick Stay for Mayor,0,999
MinneMinds,0,999
Michelle Volk For City Council,0,999
Mark Haase for Hennepin County Attorney,0,999
Marcus Almon for Ramsey County Judge,0,999
Maggie's List,0,999
Judy Black For Victoria City Council,0,999
Jeff Merkley,0,999
Indivisible Guide,0,999
Elect Braun for Woodbury,0,999
Defenders of Wildlife,0,999
Dallas Pierson,0,999
Curtis Peters For Mayor,0,999
Conservation Minnesota,0,999
Connie Bernardy,0,999
CD3 Republicans,0,999
Association for Accessible Medicines,0,999
American Jewish World,0,999
American 50,0,999
Care Voters of Minnesota,0,814
Lessons from Military History,0,594
National Network of Abortion Funds,0,511
Nation.com,0,500
VoteTogether,0,292
oneKaway,0,200
Klean Kanteen,0,145
Tammy Baldwin,0,143
Blue Wave,0,127
Save the Redwoods League,0,106
Sharice for Congress,0,89
I Am An Immigrant,0,83
ASMDSS,0,71
NRDC Action Fund,0,66
Giving Brush,0,66
Phil Bredesen,0,62
Armed American Supply,0,60
Tax March,0,56
LifeDaily,0,56
Cory Ann Ellis,0,56
Planned Parenthood Advocates of Michigan,0,53
Local Majority,0,51
Cory Booker,0,50
James Thompson for Kansas,0,40
Bill Nelson,0,38
Resist Trump's agenda,0,37
PETA (People for the Ethical Treatment of Animals),0,36
American Jewish World Service - AJWS,0,34
Flip It Blue,0,27
Christine Hallquist,0,27
WPA Intelligence,0,26
Coverage of the Trump Presidency by The Epoch Times,0,24
Conservation International,0,24
Patriot Depot,0,23
The Western Journal,0,20
Democrats,0,20
Muslim Legal Fund of America,0,19
Politicon,0,18
BreakPoint,0,18
Unminced Words,0,16
United States Constitution,0,16
Shield Republic,0,16
National Farmers Union,0,15
Lupe Valdez,0,11
Innocence Project,0,11
Steve Dutner For IL Secretary of State,0,10
Speech Moves,0,10
NRA - National Rifle Association of America,0,10
Disrupt Aging,0,10
World of Children,0,9
Pfizer,0,9
Kyrsten Sinema,0,9
Kathleen Clyde,0,9
Energy Citizens,0,8
Change The Date,0,7
The Collective PAC,0,6
Putting Women In Their Place,0,6
Jim Dodge for IL Treasurer 2018,0,5
Who Stole the American Dream?,0,4
HomeGrown Tees,0,4
Tim Bjorkman,0,3
Committee to Rebuild Maine's Middle Class,0,3
VoteYes4Success,0,2
