Fed of American Hospitals,530000,1249992
Middle Class Missouri,500000,999995
Working For Us,233000,537988
NumbersUSA,200000,499999
Senate Leadership Fund,75000,209996
Tony Luetkemeyer,52989,114974
Jim Murphy for Missouri's 94th House District,50000,99999
Tom Steyer,49000,208969
Cort VanOstran for Congress,44999,189961
Renee Hoagenson for Congress,40987,164911
Gibbs For Judge,40000,199996
Claire McCaskill,35285,160898
Rob Vescovo,32000,159995
Citizens for Raymond Lampert,31000,154996
Better With Age,30015,150027
Protect MO Families,25000,109997
Gaylin for Judge,21000,104997
Women For Civility,20003,100014
The Voter Participation Center,16511,95109
Keep Judge Devine,16000,64997
Robert Butler for Senate,16000,34996
John Parker,14000,70994
The Missouri Plan,14000,69995
DK Hirner for Cole County Prosecutor,13000,66994
Charlie Norr,11000,54998
Solar Rebate,11000,25996
Riggs For Missouri,10732,53656
Trisha Stefanski For Jefferson County Prosecutor 2018,10000,50998
Bob Dixon,10000,50998
Vote for Your Library,10000,49999
The Holy Tribune,10000,49999
Sandy Crawford,10000,49999
Missouri Farm Bureau,10000,49999
Michael for Missouri,10000,49999
Likewise,10000,49999
Jon Patterson for State Representative,10000,49999
Friends of Peggy McGaugh,10000,49999
Elect Paul Woody,10000,49999
Jacob Turk for Congress,9999,19996
Dan Hegeman,9898,49488
Color Of Change,8664,43317
Judge Jim Cooksey,7000,19997
Instagram,6390,12780
CNSNews.com,5656,14139
The Western Journal,5202,28396
Jeff Munzinger,5000,26993
Tom Lovell for Missouri Dist. 35,5000,9999
Our Flag Our Country,5000,9999
"Law Office of Jessica Piedra, LLC",5000,9999
Hillary Shields,5000,9999
Citizens for a Better Butler County,5000,9999
Teresa Bingham,4996,9991
ACLU,3433,7522
NewsBusters.org,2943,5886
United States Constitution,2884,5767
Donald J. Trump,2261,30715
Judge Heinz Rudolf for Circuit Judge,2098,10691
GRAM,2000,12995
Kevin Corlew,2000,10997
Heritage Action for America,2000,10995
Sonya Murray Anderson,2000,9998
Saint Francois County Republican Central Committee,2000,9998
Judicial Watch,1612,4139
etee,1320,3300
Between the Scenes,1142,2284
Jeff Coleman,1000,6997
Bergland For Missouri,1000,6997
Lisa Buhr for Callaway,1000,5998
World Bird Sanctuary,1000,4999
St. Louis County GOP,1000,4999
Sarah Mills for State Representative,1000,4999
Sara Lampe for Greene County,1000,4999
Representative Jean Evans,1000,4999
Patients Against Bradshaw,1000,4999
Niles for Wildwood,1000,4999
Nathan Kelsaw for Dent County Associate Circuit Judge,1000,4999
Mike Walter for MO 95,1000,4999
Mike Revis,1000,4999
Matt Michel for State Representative of District 153,1000,4999
Kent Haden for State Representative,1000,4999
Joe Frese For Missouri State Representative,1000,4999
Independent Voter,1000,4999
Eric Zahnd,1000,4999
David Park - Park4Platte,1000,4999
Craig Fishel for State Representative - 136,1000,4999
Committee to Elect Tim Fitch,1000,4999
Burkemper for Justice,1000,4999
Boone County Republicans,1000,4999
Bier Station,1000,4999
Amanda Oesch for Scott County Prosecuting Attorney,991,4955
Planned Parenthood Action,898,1842
Swing Left,876,2102
Congressional Leadership Fund,788,2772
Mike Bost,788,2607
Energy Citizens,776,2425
FM NewsTalk 97.1,722,3609
G.I. Jobs Magazine,522,1044
Wes Sherrod for Saline County Board,487,974
Elect Madison County Circuit Judge David W. Dugan,392,1960
