Civiqs,136000,366991
Marsha Fangmeyer for Legislature,40000,199996
Danner For Nebraska,24000,89984
Donald J. Trump,22231,142042
Energy Citizens,22000,100985
Scott Winkler,10000,49999
DoSomething.org,10000,49999
State Senator Adam Morfeld,10000,19998
Vote Matt Schulte,5000,9999
Tom Brandt for Legislature,5000,9999
Re-Elect Senator Laura Ebke for Legislature,2000,11996
State Senator Matt Hansen,2000,9998
Jim Begley for MUD Board,2000,9998
That's Just North Dakota,1344,2687
ACLU,1007,2589
"Brenda Hansen For Clay County, NE Assessor",1000,5998
NRDC,1000,5005
Nebraska Corn Board,1000,4999
Lancaster County Republican Party,1000,4999
Doug Oertwich for Legislature,1000,4999
Bold Nebraska,1000,4999
Bob Krist for Governor,1000,4999
Alex McKiernan for Norris Public Power Board,1000,4999
Conservative Gear,809,1618
Elizabeth Warren,754,1679
Penzeys Spices,690,1380
Swing Left,665,1388
PragerU,544,1520
4ocean,490,1041
My Pay My Say,470,940
The Fighting Forces,442,884
International Rescue Committee,408,815
Bloomsbury Publishing USA,189,377
Concealed Online,131,555
American AF,109,549
National Republican Congressional Committee,93,1082
Judicial Watch,91,454
National Domestic Workers Alliance,72,144
American Financial Advisory For A Better Future,69,347
Kamala Harris,66,596
The Nature Conservancy,53,261
VoteTogether,49,280
Planned Parenthood,47,251
Stand Up America,39,127
Planned Parenthood Action,38,90
Georgia Republican Party,34,68
Karen McCormick for Congress,30,138
Marggie Castellano for State Senate 36th District,27,53
Sierra Club,26,51
Rugged Roots,25,126
Center for Biological Diversity,25,126
Beto O'Rourke,24,65
Oxfam,22,72
John-Michael Parker for State Representative,19,95
dittymoji,18,36
Kirsten Gillibrand,17,35
Jennifer Reynolds For 11th,16,31
Support The 2nd Amendment,15,216
Maria Weekes For Judge,15,75
MoveOn,14,43
Topix Rewind,13,71
Color Of Change,12,58
American Values PAC,12,58
Winning For Women,11,364
Center for Reproductive Rights,11,63
The Leadership Conference on Civil and Human Rights,11,54
American Bird Conservancy,11,54
The Lone Liberal Republican,11,53
Louder with Crowder,11,53
Ivory Ella,10,57
Democratic Senatorial Campaign Committee (DSCC),10,57
Bill Nelson,10,45
2atees1,9,50
NARAL Pro-Choice America,9,46
NPR's Latino USA,9,44
Conor Lamb,9,17
Jon Tester,8,42
Everytown for Gun Safety,8,42
Conservative Tribune,8,41
Savehoot,8,40
Andrew Yang for President 2020,8,40
Chesapeake Bay Foundation,8,38
Science for Humans and Freedom Institute,7,188
Ocean Helper,7,39
The Western Journal,7,36
Exclusive Apparel,7,36
Indivisible Guide,6,39
UltimateStraw,6,29
Patriot Depot,6,29
Giffords,6,29
Heidi Heitkamp,6,28
Jewish Voice Ministries International,5,26
Claire McCaskill,4,22
PCCC - BoldProgressives.org,4,20
Access Fund,4,20
USA for UNHCR,4,19
Larry Hogan,4,7
Congressional Leadership Fund,3,14
Brett Parker for Kansas,3,5
Dana Balter for Congress,2,25
Elect Judge Victoria McKay Kennison for Circuit Court Judge,2,10
Voters - Not Politicians,2,9
Shareblue Media,2,9
Texans for Natural Gas,2,8
T.J. Shope,2,8
Campbell For NC Senate,1,7
Joe Cunningham,1,6
Vote Bobby O,1,5
Human Rights Campaign,1,4
Mikie Sherrill,1,3
"Judge Steven Bailey, Ret. for Attorney General",1,2
MedicareSupplement.com,0,15984
Erik Servellon for Learning Community,0,1998
Williams For OPPD,0,1982
Heartland Workers Center,0,1598
Democratic Party,0,1377
Oceana,0,1185
Maggie's List,0,999
National Network of Abortion Funds,0,150
I Am An Immigrant,0,148
Lessons from Military History,0,67
Power In Cooperation,0,58
32BJ SEIU,0,43
Maple Heights African American Gazette,0,36
Coverage of the Trump Presidency by The Epoch Times,0,32
In the Woods with Phil,0,28
Kentucky Family Values,0,27
TrustedBest,0,25
Pfizer,0,23
Heifer International,0,20
NRDC Action Fund,0,19
Democrats,0,19
PETA (People for the Ethical Treatment of Animals),0,17
Flip Wyoming,0,16
TAS Apparel,0,15
Jarratt Applewhite for District 50,0,12
CARE,0,12
United States Constitution,0,10
The Right Way,0,10
Sarasota citizen Martin Hyde,0,10
National Park Foundation,0,10
Guardian Labs,0,10
Eric Bolling,0,10
Boredom Therapy,0,10
Gavin Newsom,0,9
FTC PAC,0,8
Catholic Relief Services,0,8
Adrian Plank for the 47th,0,8
ThoughtFull,0,7
Representative Dylan Roberts,0,7
NRA - National Rifle Association of America,0,7
Jordan Chariton,0,7
Giving Brush,0,7
Brady PAC,0,6
Shield Republic,0,5
Mercy Corps,0,5
Kenneth Mejia for Congress,0,5
World Wildlife Fund,0,4
Military Officers Association of America (MOAA),0,4
End Citizens United,0,4
America's Reality TV Show,0,4
Tina Smith,0,3
Kyrsten Sinema,0,3
Americans for Farmers & Families,0,3
Jonathan Porter for Delegate,0,2
Janet Garrett for Congress,0,2
David Baria for Mississippi,0,2
American Jewish World Service - AJWS,0,2
Chris Murphy,0,1
Facebook,0,0
