Bob Hugin,942000,2111987
With Honor,600000,1199998
Mikie Sherrill,495567,1239915
Andy Kim for Congress,246423,589104
Shamelessly Corrupt Menendez,209838,449672
Everytown for Gun Safety,91032,353111
Better With Age,59870,299341
Women For Civility,50308,251533
The Yerman Group,30882,61763
Home Improvement Deals,29000,102989
Grossman for Congress,27969,126864
Rutgers AAUP-AFT,26433,52865
New Jersey League of Conservation Voters,21000,104997
Garden State Equality,20000,99998
New Jersey Education Association,17000,69996
Bonevich Dias & Dorato for Howell Council,15989,34943
The Holy Tribune,15169,60655
Leonard Lance Wrong for New Jersey,14928,60714
John McCann,14844,59341
ReThink Energy NJ,11000,116927
Our Flag Our Country,10041,50081
PennEast Pipeline,10000,49999
New Jersey Working Families Alliance,10000,49999
New Brunswick Democrats,10000,49999
My Pay My Say,10000,49999
DoSomething.org,10000,49999
"City of Newark, NJ - City Hall",10000,49999
AARP New Jersey,10000,49999
East Brunswick 2018,10000,20997
Brendan Maroney for Monmouth County Freeholder,9836,49178
Heidi Heitkamp,9179,23860
Campaign for Ramsey,9000,29995
Sussex Gop,8800,31779
Burlington County Watchdog,8510,42550
Paterson Education First,8000,24996
Voters Decide,6965,27866
PIX 11,6339,31692
The Real Ravitz,6000,14998
Freeholder Assad Akhter,6000,14998
Lynne McClintock & Cullen McAuliffe for Hunterdon County Freeholder,5997,14990
New Jersey Democratic State Committee,5990,46914
Musa-Obregon & Associates NYC Criminal & Immigration Lawyers,5624,24749
Polar Society,5558,14550
Concealed Online,5321,13471
Claire McCaskill,5223,13057
Summit Republicans,5000,10998
Middlesex County Democratic Organization,5000,10998
Howell Township NJ Democrats,5000,10998
"Spango, Fishman & Freda for Roseland Mayor & Council",5000,9999
Montgomery Township Republicans,5000,9999
Curreri and Zatkowsky for Freeholder,4992,9983
More MonmouthMusings,4954,9908
Solar Energy Today,4819,25089
Donald J. Trump,4148,32371
"Save Our Schools: Wright, Schulz, Le for Union BOE",4000,19996
Dan Quart,3412,17058
For Our Future Pennsylvania,3375,16876
Elizabeth Warren,3166,6430
Mussab Ali for JCBOE,3000,14997
Heritage Action for America,3000,14997
Josh Gottheimer for Congress,2998,33958
The Atlas Society,2955,14773
PragerU,2884,7153
National Republican Congressional Committee,2760,9387
New Yorkers for Justice,2207,11035
FreeLaura2018,2187,10933
Intelligence Squared US,2069,10345
Nautilus Offshore Wind,2000,11996
Independents for ONE Roseland,2000,11996
All Our Kids - McGuirk for Board of Education,2000,11996
Nocito and Ravitz for Voorhees,2000,10997
Garwood Republican Party,2000,10997
Vote Experience For Randolph,2000,9998
Russo Richmond & Walsh for Howell Council,2000,9998
Ridgewood NJ Happenings,2000,9998
DeCastro and Stemberger - Democrats for Salem County Freeholder,2000,9998
Cumiskey DeSarno for NP Council,2000,9998
Anesh Bengivenga Wolak,2000,9998
Fava for Passaic County Clerk,1976,9878
Citizens for a Secure and Safe America,1838,4856
New Jersey Organizing Project,1702,8507
Brennan Center for Justice at NYU Law,1092,2183
Councilman & Mayoral Candidate William Fahoury,1000,10993
Angie for Mayor; Yellin & Medeiros for Berkeley Heights Township Council,1000,7996
Parents Against Recreational Cannabis,1000,6997
"Woodstown Republican Committee, 2018",1000,5998
"Woodruff, D'Aquila & Greco for Berkeley Heights",1000,5998
United for Change,1000,5998
"Re-Elect Stern, Nazir & Peng for Piscataway BOE",1000,5998
Ed Masker - All About Alloway,1000,5998
"Curbelo, Murphy & Shaw for Allendale",1000,5998
Cliffs Dems - Tsabari & Song for Englewood Cliffs Council 2018,1000,5998
Timothy A. Priano,1000,4999
The Committee to Elect Vincent J. Costanza,1000,4999
South Plainfield Democratic Party,1000,4999
Passaic County Democrats,1000,4999
Montgomery Democratic Organization,1000,4999
Michele Dale for Mayor of West Milford Township,1000,4999
Mayor Richard LaBarbiera,1000,4999
Joe Signorello for Mayor,1000,4999
Jennifer Moore for Haddon Heights Borough Council,1000,4999
Evesham Lower Tax Team,1000,4999
"Elect Anderson, DeSalvo & Eddy",1000,4999
Education Matters JC,1000,4999
Don Rodgers & Russ Kelly for Pt. Pleasant Beach Council,1000,4999
Cutrone for Fair Lawn Council,1000,4999
Charter Strong,1000,4999
BettyLou DeCroce,1000,4999
Atlantic County Young Republicans,1000,4999
Lipani-Skobo for Hillsborough NJ Township Committee 2018,993,4962
