Protect Freedom PAC,400000,999998
Mick Rich,250000,499996
Fed of American Hospitals,70000,319992
Voto Latino,25000,135982
New Mexico Opinion Survey,21000,91990
NRCC IE,17976,46935
Solar Energy Today,16000,36994
Melanie Stansbury for NM,13000,69991
Susana Martinez,11000,54998
Our Western Values,11000,54998
Home Professionals,11000,54998
A. Blair Dunn for New Mexico,11000,54998
TeacherFreedom,11000,24997
Tim Lewis for House District 60,10000,49999
The Holy Tribune,10000,49999
AARP New Mexico,10000,49999
Women For Civility,9998,19993
Better With Age,9993,49964
Martin Heinrich,8000,24996
The Wilderness Society,5987,14958
Heritage Action for America,5982,14954
Judge Emil Kiehne for New Mexico Court of Appeals,5602,30999
Daniel Gallegos for NM Court of Appeals Judge,5000,9999
Keep Them Accountable,4998,9994
New Mexico Oil & Gas,3000,19992
Mark McDonald for NM State Representative,3000,14997
Concealed Online,2744,6996
Representative Rebecca Dow,2000,9998
New Mexico Voices for Children,2000,9998
"I Love You, America",1346,3364
Democratic Party of New Mexico,1000,7996
Young Democrats of Valencia County,1000,4999
Planned Parenthood Votes New Mexico,1000,4999
Justin Garcia for Sandoval County Magistrate Judge,1000,4999
Independent Voter,1000,4999
Christie Humphrey for Sandoval County Assessor,1000,4999
National Domestic Workers Alliance,839,1689
Arizona Democratic Legislative Campaign Committee,800,3999
Federal Voting Assistance Program - FVAP,622,1551
Heidi Heitkamp,547,1094
Donald J. Trump,426,5661
American AF,178,895
Penzeys Spices,161,806
National Republican Congressional Committee,154,1758
ACLU,97,563
The Nature Conservancy,95,476
Kamala Harris,88,4535
Airline Passengers for Justice,87,434
Lebowski Lovers,81,404
The Leadership Conference on Civil and Human Rights,76,306
Lora Kay Morrow for Alabama House District 2,73,365
Erase The Hate,72,362
Bill Nelson,66,330
UPROXX News,59,296
"Imprimis, a Publication of Hillsdale College",59,295
Elite Tech News,54,272
Union Patriots,54,270
America Fighting Back PAC,52,260
Center for Biological Diversity,51,148
Blue Wave,50,228
Local Majority,49,243
End Citizens United,49,98
Dianne Feinstein,48,96
International Rescue Committee,46,232
MoveOn,45,253
Conservative Tribune,45,250
Mike Coffman,45,226
Beto O'Rourke,45,225
United States Constitution,44,230
Conor Lamb,44,87
Penguin Kids,39,78
E. O. Wilson Biodiversity Foundation,37,74
World of Children,36,71
Howstuffworks,36,71
Republican State Leadership Committee,32,65
Planned Parenthood,29,177
American Bird Conservancy,28,57
Marsha Holland,26,52
4ocean,25,51
We are mitú,18,90
Jetties Bracelets,16,33
Mikie Sherrill,15,78
Stand Up America,14,96
Movement for a People's Party,14,70
Online University of the Left,13,67
The Collective PAC,13,66
45th President Donald J. Trump,13,66
NRDC,12,2056
Lesley for CU Regent,12,46
FloridaStrong,11,55
BreakPoint,11,54
Dr. Kim Schrier,10,55
Gell.com,10,49
National Democratic Redistricting Committee,9,57
United States Holocaust Memorial Museum,9,49
Oceana,8,464
Planned Parenthood Action,8,40
ACLU of Northern California,8,38
Ocean Helper,6,34
UnitedVoice.com,6,31
Amnesty International USA,6,30
No Kid Hungry,5,40
Finance Watchdogs,5,24
Bobby Kuppers for NC Senate,5,10
Turning Point USA,4,21
The Andrew Klavan Show,4,21
FrackFeed,4,21
Russian America TV,4,8
Klean Kanteen,3,39
Ron DiNicola for Congress,3,17
Linda Koop,3,14
James Thompson for Kansas,3,14
"Philly Women Rally, Inc.",3,13
Mary Jane Caylor for City Council,3,13
Denyc Boles for HD 19,2,11
Human Rights Campaign,2,5
Madison County Republicans,2,4
Boston Rescue Mission,2,3
Kyrsten Sinema,1,16
Chris Murphy,1,10
Janet Mills,1,9
Jonathan Porter for Delegate,1,7
Bali Necklaces,1,7
Vote Tristen,1,6
FreedomWorks,1,6
Portside,1,4
Cort VanOstran for Congress,1,3
Power In Cooperation,0,8102
MedicareSupplement.com,0,5994
Jarratt Applewhite for District 50,0,3546
Democratic Party of Los Alamos County,0,1998
Support The 2nd Amendment,0,1117
Swing Left,0,1057
Protect Greater Chaco,0,999
Peoples Progressive Media,0,999
New Mexico Local News,0,999
Mayna Myers for Magistrate,0,999
John L. Jones,0,999
Janice for Congress 2018,0,999
Committee to Elect Elizabeth Allen for Municipal Judge,0,999
Democratic Party,0,654
I Am An Immigrant,0,555
National Network of Abortion Funds,0,255
Save the Redwoods League,0,148
Planned Parenthood Advocates of Michigan,0,132
Politicon,0,118
Tammy Baldwin,0,117
Winning For Women,0,108
Tina Smith,0,40
Ocean Conservancy,0,37
Mercy Corps,0,37
Environmental Defense Fund,0,33
Kanew for Congress,0,29
Be A Hero,0,29
PrintedKicks,0,26
American Jewish World Service - AJWS,0,26
