NumbersUSA,200000
Reform Fargo,50000
Mac Schneider for North Dakota,50000
National Association for Gun Rights PAC,10000
Judicial Crisis Network ,10000
"Friends of Kylie Oversen, Arvin Kvasager, Chair",10000
The North Dakota Republican Party,5000
Schwartzenberger4Sheriff & Gary Schwartzenberger,5000
North Dakota Student Association,5000
Canright for Sheriff,5000
"Schneider for Sheriff Committee, Erica Weisser,Treasurer",1000
Protect Our Care,1000
Perry Miller for ND Senate,1000
NRDC,1000
ND District 23 Dem-NPL Candidates,1000
Medenwald for North Dakota,1000
Holmberg For Senate,1000
Friends of Phyllis Johnson,1000
"Emineth for North Dakota, Andrea Toman, Treasurer",1000
District 1 Republicans,1000
Brandon Fischer,1000
Al Carlson for ND House District 41,1000
Sorvaag for Senate,984
Friends of Brian Kroshus,984
Xcel Energy,344
Likewise,254
The Western Journal,251
Charlie Kirk,245
"AAF Nation, LLC",76
Hulu,62
"ASMDSS, Inc",59
T-Mobile,52
Comedy Central,38
Humane Society International,37
Flaccavento for Congress,37
Turning Point USA,34
Medals of America,33
Conservative Gear,32
Federal Voting Assistance Program,28
Hillsdale College,27
Keep and Bear,26
Hello Resistance,26
USA for UNHCR,25
"4Ocean, LLC",22
End Citizens United,18
Military Spouse,16
Digitize.Life,16
Bird + Stone ,15
the Newseum,14
Firearms Policy Coalition,13
the NRCC and not authorized by any candidate or candidate's committee.,12
Stand Up America,11
JVMI,10
"Healthy Montana, Dr. Steven Bailey, Treasurer, PO Box 1614, Helena, MT 59624",10
FreeLaura2018,10
"the Keith Ellison for Attorney General committee, PO Box 80824, Minneapolis, MN 55408",7
Giffords PAC,7
Aldis Browne,7
The Daily Wire,6
Right Now USA,6
PrintedKicks,5
Bill Nelson for U.S. Senate,5
Alyse Galvin,5
Students for Life of America,4
"Donald J. Trump for President, Inc.",4
Conor Lamb for Congress,4
Concealed Online,4
the National Network of Abortion Funds,3
MoveOn.org Civic Action.,3
"Matt Willhite, Democrat for Florida House",3
Kamala Harris for Senate,3
James Thompson for Kansas,3
"Hatfield 2018. Loretta Chory, Treasurer. Approved by Susan Hatfield. ",3
Environmental Defense Fund,3
CARE,3
Arts & Culture Coalition of Pierce County,3
Amy Spetner Doughty,3
the National Democratic Redistricting Committee,2
the ACLU,2
World Wildlife Fund,2
"Winning For Women, Inc.",2
"Votesane LLC, a nonpartisan US political marketplace listing ALL federal candidates.",2
Planned Parenthood Action Fund.,2
NowThis,2
McCaskill for Missouri,2
Home Improvement Deal,2
Greenpeace USA,2
Great America Alliance,2
Gell,2
America Fighting Back PAC,2
"Alan Maio, Republican, for Sarasota County Commission.",2
the Progressive Change Campaign Committee PAC (BoldProgressives.org) and not authorized by any candidate or candidate's committee. Contributions to the PCCC are not deductible as charitable contributions for federal income tax purposes.,1
the North Carolina Democratic Party and Bobbie Richardson for NC House.,1
"the KRAUT FOR WESTPORT Committee, Gabriel Sasson, Treasurer. Approved by Greg Kraut.",1
"Tony for Wisconsin. Connie Hutchison, Treasurer.",1
Sarasota Citizen Martin Hyde,1
"SMP, and not authorized by any candidate or candidate’s committee.",1
Rita Lucido for Texas Senate,1
Michael Bailey,1
Marggie Castellano for Senate 2018,1
Joe Cunningham for Congress,1
Jacobin magazine,1
Friends of Devon Conley for Mountain View Whisman SD 2018. FPPC# 1411638,1
Florida Strong Action PAC independently of any candidate.,1
Elizabeth for MA,1
Elect Kathy Hoffman for Superintendent; Authorized by Kathy Hoffman,1
"David Smith, Republican, for State Representative",1
Conservation International,1
Congressional Leadership Fund,1
Blue Wave Voters,1
Angie Craig for Congress,1
the Trump Make America Great Again Committee,0
the Democratic National Committee,0
the DSCC,0
"Vawnita Hovet Best, Candidate",0
Tina Smith for Minnesota,0
"ThoughtFull Enterprises, Inc.",0
Thompson for Attorney General ,0
The Nature Conservancy,0
Texans for Natural Gas,0
Support The 2nd Amendment,0
St. Martin's Press,0
Sharice for Congress,0
Scamazon,0
"Ryan Rauschenberger for Tax Commissioner, Peter Stenehjem Treasurer ",0
Planned Parenthood Federation of America,0
Pfizer,0
Oceana,0
Ocean Helper,0
Ocean Conservancy,0
"North Dakotans for Citizen Voting, Gary Emineth, Chairman",0
North Dakota Democratic-NPL,0
Newsom for California Governor 2018,0
Need to Impeach,0
National Rural Electric Association,0
NRDC Action Fund,0
ND xPlains,0
"MoveOn.org Political Action, pol.moveon.org, not authorized by any candidate or candidate's committee.",0
"MoveOn.org Political Action, not authorized by any candidate or candidate's committee.",0
Monuments For All,0
"Missourians For Mike Cierpiot, Fran Baker Treasurer.",0
Military History Working Group at the Hoover Institution,0
Mikie Sherrill for Congress,0
"Maria Markhasin-Weekes for Broward County Circuit Court Judge, Group 46, Non Partisan",0
Luther for Teton County,0
Klean Kanteen,0
Kenneth Mejia for Congress,0
Johnson for Governor,0
International Crane Foundation,0
Indivisible Action,0
Heidi for North Dakota,0
Giving Brush LLC,0
Gillibrand for Senate,0
"Friends to Elect Haley - John Botsford, Treasurer",0
FreedomWorks,0
Fire Ted Cruz PAC,0
Fipple,0
Everytown for Gun Safety Action Fund,0
Energy Citizens,0
Dr. Kim Schrier for Congress,0
District 41 Republicans,0
Conservative Tribune,0
ConocoPhillips Company,0
Capital Research Center,0
CRTV,0
Be a Hero PAC. Not authorized by any candidate or candidate’s committee.,0
Armed American Supply,0
"Arizona Democratic Legislative Campaign Committee, a project of the Arizona Democratic Party. Not authorized by any candidate or candidates campaign committee.",0
Anita Casalina,0
Animal Matters,0
American Gas Association,0
 Penguin Young Readers,0
,0
