OK Health Action,100000
Stitt for Governor 2018,50000
the Oklahoma Council of Public Affairs,10000
"Yes On 793, Inc. 4 NE 10th St #434 OKC, OK 73104 (405)510-7946",10000
The Foundation for Oklahoma City Public Schools,10000
Oklahoma State Treasurer's Office,10000
Oklahoma Oil & Gas Association,10000
Friends of Daniel Manuel 2018,10000
the Committee to Elect Heather Coyle for District Judge 2018,5000
Trish Ranson for House 34 2018,5000
Opportunity Scholarship Fund,5000
KWTV News 9,5000
Jason Nichols for Congress,5000
Friends of Darrell Moore 2018,5000
Friends of Carrie Blumert 2018,5000
Chris Sloan for District Judge 2018 Fund,5000
Authorized and paid for by Kevin McDugle for State House District 12,5000
Keep Judge Hladik 2018,4996
Judicial Watch,1789
Keep and Bear,1082
The Nib,1058
and authorized by Ryan Pitts for Judge 2018,1000
Together Oklahoma,1000
THE COMMITTEE TO KEEP JUDGE PAUL WOODWARD - 2018,1000
Reddick For Council 2018,1000
Oklahomans for Anthony 2018.,1000
Oklahoma Attorneys Mutual Insurance Company,1000
Mickey Dollens ,1000
John Yeutter for State Auditor and Inspector,1000
Jeffers for House 2018,1000
Grego for House 2018 ,1000
Gilpin for Congress 2018.,1000
"Friends to Elect Natalie Mai District Judge, Dist. 7, Ofc. 5, 2018",1000
Friends of Tom Sawyer 2018,1000
Friends of Smith for DA 2018,1000
Fobbs for Insurance Commissioner 2018,1000
Dwight Tanner Jr,1000
Dennis Dugger for House 2018,1000
Dems for Governor and Unlimited PAC.,1000
Dems for Governor an Unlimited PAC,1000
Committee to Elect Dick Tannery for DA,1000
Carly for 67 2018,1000
Brad Boles 2018,1000
Bell for Norman 2018,1000
Chris Moore for Mayor,999
"4Ocean, LLC",665
News For Democracy,353
Concealed Carry Inc,266
Need to Impeach,221
Ammar Campa-Najjar for Congress.,217
The Nature Conservancy,199
Justice Jason Boatright Campaign,195
"AAF Nation, LLC",171
Federal Voting Assistance Program,166
The Western Journal,156
the Newseum,148
Your Trump Shop,148
 Penguin Young Readers,102
Normals Are Pissed,97
Firearms Policy Coalition,93
Vericool Inc,90
Penzeys,90
End Citizens United,82
NARAL Pro-Choice America,80
Gell,71
Turning Point USA,70
McCaskill for Missouri,63
"K3A, LLC, not authorized by any candidate or candidates committee",62
Gillibrand for Senate,56
Bobby Hill,53
"SMP, and not authorized by any candidate or candidate’s committee.",51
Finance Watch Dogs,47
Denise for Arkansas,45
"Voters Not Politicians | PO Box 8362 Grand Rapids, MI 49518",39
Robin Lundstrum for State Representative,30
the ACLU Foundation,28
The Doug LaMalfa Committee,28
Planned Parenthood Action Fund.,28
the NRCC and not authorized by any candidate or candidate's committee.,27
Let Africa Live,27
Florida Strong Action PAC independently of any candidate.,25
Trump 2020,24
Rainforest Action Network,23
"Political advertisement, paid for and approved by Joe Gruters, Republican for Florida State Senate, District 23",23
,23
The Daily Wire,22
USA for UNHCR,21
Sunjeev Bery.,19
"Anthony Bonna, Republican, for St. Lucie County Commission - District 2",18
Concealed Online,17
Candidate,16
E.O. Wilson Biodiversity Foundation,15
Giving Brush LLC,14
three American friends who care,13
PowerLabs,12
JVMI,12
The Dude's Designs,11
Swing Left. Not authorized by any candidate or candidate's committee.,11
Kyle Mullica for HD 34,11
Arthur Winter,11
Sinema for Arizona,10
Progress NC Action IE PAC,10
Mercy Corps,8
Janet Garrett for Congress,8
Greenpeace USA,8
Defenders of Wildlife,8
the ACLU,7
Dylan Roberts for Colorado,7
Movement Voter Project,6
Andrew Yang,6
ACLU of Northern California,6
the DSCC,5
Washington Speakers Bureau,5
NRDC,5
Planned Parenthood Federation of America,4
Norgaard4AZ,4
Mikie Sherrill for Congress,4
Bill Nelson for U.S. Senate,4
Friends of Devon Conley for Mountain View Whisman SD 2018. FPPC# 1411638,3
FreedomWorks for America. Not authorized by any candidate or candidate's committee.,3
"Allison Gilman for Broward County Court Judge, Group 19, Non Partisan",3
Oxfam America,2
"Maria Markhasin-Weekes for Broward County Circuit Court Judge, Group 46, Non Partisan",2
Mannion for State Senate,2
James Thompson for Kansas,2
Human Rights Campaign,2
Friends of Nick Hyde,2
Chesapeake Bay Foundation,2
Science for Humans and Freedom Institute,1
Heidi for North Dakota,1
Giffords PAC,1
Friends of Chris Murphy,1
the Trump Make America Great Again Committee,0
the National Network of Abortion Funds,0
the National Democratic Redistricting Committee,0
the Democratic National Committee,0
the Committee to Elect Dave Crutchfield Judge 2018,0
and authorized by Janet Mills for Governor.,0
"Zya, Inc. ",0
Zoë Bands,0
Zane Chenault For Washington County Treasurer,0
"Winning For Women, Inc.",0
WPA Intelligence,0
"Tony for Wisconsin. Connie Hutchison, Treasurer.",0
Tina Smith for Minnesota,0
The Oklahoma Call for Reproductive Justice,0
The Epoch Times,0
The Collective PAC; not authorized by any candidate or any candidate's committee.,0
Texans for Natural Gas,0
TZ Insurance Solutions,0
T.J. Marti for State House 2018,0
Supporters of Oraynab Jwayyed 2018,0
Supporters of Brett Butner for Associate District Judge 2018,0
Support The 2nd Amendment,0
Steven Buccini for State House,0
Stand Up America,0
Sierra Club,0
Sharice for Congress,0
San Mateo County Republican Party,0
Rustic Edge Marketing,0
Real Justice PAC and not authorized by any candidate or candidate's committee.,0
PrintedKicks,0
Practically Republican,0
Phone2Action,0
Pfizer,0
Patriot Powered Products and Publications,0
Patriot Depot,0
Oklahoma Second Amendment Association,0
Oklahoma FAIRtax Inc,0
Oceana,0
Ocean Helper,0
No Kid Hungry,0
National Rural Electric Association,0
NRDC Action Fund,0
"MoveOn.org Political Action, pol.moveon.org, not authorized by any candidate or candidate's committee.",0
MoveOn.org Civic Action.,0
Military Officers Association of America (MOAA),0
Military History Working Group at the Hoover Institution,0
Mike Duffy for District Judge,0
Lupe Valdez for Governor,0
Linda Wade 4OK State Senate Fund 2018,0
Klean Kanteen,0
Kamala Harris for Senate,0
Jan Dailey,0
James For OKC 2019,0
Jackie Speier for Congress,0
Instagram,0
IVN News,0
Heifer International,0
Great Financial Workshops,0
Great America Alliance,0
Friends of Todd Blackburn 2018,0
Friends of Meloyde Blancett 2018,0
Friends of Marty Quinn Senate 2018,0
Friends of LaVelle Compton for House District 90,0
"Friends of Jonathan Porter; Brenden Carlson, Treasurer",0
Friends of Jacobi Crowley,0
Florida Republican Senatorial Campaign Committee,0
Fire Ted Cruz PAC,0
Eversmeyer and Guerrero for Township Committee,0
Energy Citizens,0
Elizabeth for MA,0
Dr. Amanda Kemp,0
"Donald J. Trump for President, Inc.",0
Diehl for U.S. Senate,0
Define American,0
DCCC,0
Cort Vanostran for Congress,0
Conservative Tribune,0
Conservation International,0
ConocoPhillips Company,0
Committee to Elect Thomas Salisbury District Judge 2018,0
"ClearPath Action, Inc. Not authorized by any candidate or candidate's committee.",0
"Christine for Vermont, P.O. Box 1328, Morrisville, VT 05661",0
CRTV,0
CARE,0
Buck for Colorado,0
Brian Hill for the House 2018 HD47,0
Bredesen for Senate,0
Brave Path Media LLC,0
Bonebreak 2018,0
Blue Wave Voters,0
Blake Shipley for Judge,0
Be a Hero PAC. Not authorized by any candidate or candidate’s committee.,0
Be Conscious. Be Kind.,0
Armed American Supply,0
"Applewhite District 50 Campaign Committee, Jarratt Applewhite, Treasurer",0
Andy Kim for Congress,0
"Andrew Gillum, Democrat, for Governor",0
American Jewish World Service,0
"Alan Maio, Republican, for Sarasota County Commission.",0
 The Committee to Elect Fred Dorrell 2018,0
 Keith Greene,0
