No on 103,452000,1032984
NO on 105,400000,1049992
No Cuts to Care: No on Measure 106,201000,504998
Defend Oregon,200000,499999
Kate Brown,153000,658946
Julie Parrish for Oregon District 37,95000,309994
Yes on Measure 106,70000,320991
Yes for Affordable Housing,42000,183989
Southern Oregon Priorities,40000,199996
State of Safety,36000,164995
Paul Evans,35000,134990
Vote Crier For Marion County,34000,127984
Looking Out For Lori,20000,101996
Susan McLain,20000,99998
Opt Out Today,20000,99998
Selma Pierce,16000,64997
Alex Poythress for Medford City Council,12000,29996
Oregon AFL-CIO,11000,54998
Joe Buck for Metro,11000,25996
AARP Oregon,10994,54967
US~Observer,10000,49999
Kevin Cameron for Marion County,10000,49999
DoSomething.org,10000,49999
Chrissy for Oregon,10000,49999
Janelle Bynum,10000,21996
Vote NO JVille Meals Tax,10000,19998
Northwest Abortion Access Fund,6064,18626
Alek Skarlatos for County Commissioner,6000,22990
Rep. Jeff Helfrich,6000,18849
Colm Willis,6000,17954
Casey Kulla for Yamhill County Commissioner,6000,16996
Stan Pulliam for Mayor of Sandy,6000,14998
Scott Learn,6000,14998
Northwest Hazelnut Company,6000,14998
Home Professionals,6000,14998
Children First for Oregon,6000,14998
Klamath River Renewal Corporation,5461,22335
Steve Dickson for Medford,5000,30989
Deb Patterson,5000,25994
SEIU Local 49,5000,10998
Warnock4Oregon,5000,9999
VOTE YES For Oregon City Schools - Measure 3-545,5000,9999
Katy for Coos,5000,9999
Democrats,4313,10781
Washington State Democratic Party,3585,7170
Progressive Turnout Project,3103,6206
Flip 4 Clackamas,3000,19992
Solar Rebate,3000,17994
Between the Scenes,2109,4218
"UpClose with Peter Sage, political insights and commentary",2000,11996
Mark Meek,2000,9998
Emerge Oregon,2000,9998
Eddy4Gresham,2000,9998
Alyssa McConnel for Douglas County Commissioner,2000,9998
Claire McCaskill,1739,3582
Donald J. Trump,1309,7407
NRDC,1031,5153
Teri Grier for Oregon,1000,6997
Ryan C. Johnson For Gresham City Council position  4,1000,6997
Oregon Wildlands,1000,6997
James Cook for Deschutes,1000,5998
Charles Kochlacs for Judge,1000,5998
Tualatin Life,1000,4999
Sal Peralta,1000,4999
Representative Pam Marsh,1000,4999
Rachel's Action Network,1000,4999
Oregon Forests Forever,1000,4999
Oregon Center for Public Policy (OCPP),1000,4999
"Marion County, Oregon",1000,4999
Lanita Witt for County Commissioner,1000,4999
Jerred Taylor for State Representative,1000,4999
Cooper for Fairview,1000,4999
Christine Lewis for Metro,1000,4999
Adam Schwend for Tillamook County Commissioner,999,4994
Jamie McLeod-Skinner for Oregon,997,5982
Oregon Food Bank,946,4731
Flip It Blue,872,1815
Oregon Executive Club,768,3838
Loretta Smith,760,4563
Judicial Watch,739,1866
American AF,682,1449
Kamala Harris,532,20119
Kirsten Gillibrand,500,2051
Graham Phalen for Wahkiakum County Sheriff,370,1850
The Committee to Defend the President,324,811
Goods Unite Us,297,1489
ACLU,283,1065
"Judge Steven Bailey, Ret. for Attorney General",282,565
Be A Hero,270,1369
Concealed Online,253,1339
Earth Guardians,247,1235
Independent Voter,244,1218
Klean Kanteen,236,8292
Democratic Senatorial Campaign Committee (DSCC),234,1177
Restore the Mississippi River Delta,202,1009
The Nib,202,1007
Planned Parenthood Action,199,514
MJ for Texas,175,877
National Domestic Workers Alliance,160,320
Marggie Castellano for State Senate 36th District,156,781
Republican State Leadership Committee,156,337
Pi Yoga Pants,155,777
Tactical Pro Supply,152,762
Swing Left,149,2303
Oceana,148,3855
Ben Shapiro,147,733
Bioneers,146,728
Senate Majority PAC,141,282
American Financial Advisory For A Better Future,118,611
DTN/The Progressive Farmer,109,547
World Mercury Project,108,217
Your Trump Shop,105,524
FrackFeed,99,496
PowerLabs,94,188
Idaho DLCC,90,180
America Fighting Back PAC,90,180
UltimateStraw,88,177
Jewish Voice Ministries International,78,156
Facing History and Ourselves,74,171
War Against Racism,66,330
New Yorkers Together,47,93
Federal Voting Assistance Program - FVAP,45,226
Mikie Sherrill,44,217
Indivisible Guide,38,190
Question PAC,38,188
The Wilderness Society,36,203
Conservation International,36,181
Premium Care For Seniors,36,72
Anthony Bonna,34,169
Bill Nelson,30,222
Politicon,28,853
CARE,28,242
SDSU WEST,28,141
