Seth Magaziner,231000,619979
Sheldon Whitehouse,188491,538435
Gina Raimondo,101000,204998
Civiqs,37000,170993
Rebecca Schiff,16000,88984
Representative Nick Mattiello,15000,44993
Solar Rebate,5000,9999
Sean O'Leary for East Greenwich,5000,9999
Rhode Island Coalition Against Domestic Violence (RICADV),5000,9999
Friends of Justine Caldwell,5000,9999
VoteTogether,2827,5654
Charlestown Citizens Alliance,2000,10997
Auditor Suzanne Bump,1986,9919
Uprise RI,1000,4999
Michael Geary for Rhode Island House 38,1000,4999
Lammis Vargas for Council,1000,4999
Joshua Luis Pereira for Ward 2,1000,4999
J Brier for Barrington Council,1000,4999
Allan Fung,1000,4999
Americans for Peace and Tolerance,978,4891
Patricia Morgan,948,4739
The Harvard Crimson,836,4178
PragerU,492,1372
ACLU,448,1122
Donald J. Trump,361,3939
Concealed Online,359,799
Swing Left,245,539
National Republican Congressional Committee,243,1028
World Wildlife Fund,237,498
Penzeys Spices,231,544
John Legere,195,390
Heidi Heitkamp,194,389
Claire McCaskill,178,357
Jeff Merkley,142,283
Peter Tedeschi for Congress,138,276
Oxfam,114,270
Klean Kanteen,100,574
Tactical Pro Supply,98,197
Ron Miscavige Blog,82,164
Conor Lamb,78,391
Democratic Senatorial Campaign Committee (DSCC),59,255
Kamala Harris,53,4994
Chuck Schumer D-NY,49,245
Chris Murphy,46,141
Penguin Kids,44,218
Human Coalition,44,88
Jetties Bracelets,43,215
NARAL Pro-Choice America,42,211
Democrats,36,181
Center for Biological Diversity,33,66
Stand Up America,32,125
Between the Scenes,31,155
Catholic Relief Services,27,55
The Nature Conservancy,25,64
Planned Parenthood,23,45
Dissent Pins,22,45
Headline Shirts,22,44
Greenpeace USA,20,56
Finance Watchdogs,20,41
Ryan Hampton,20,40
Family Survival,19,93
United States Constitution,17,90
The Wilderness Society,17,35
Build With Strength,17,34
Jewish Voice Ministries International,16,83
Joe Gruters,16,82
CARE,16,51
Nine Line Apparel,14,80
Energy Citizens,12,59
MoveOn,11,233
Tom Steyer,9,45
Bill Nelson,9,45
Ivory Ella,9,43
Judicial Watch,9,18
Giffords,8,16
RSCC,7,36
"Nick Josefowitz for Supervisor, San Francisco, District 2",7,36
National Park Foundation,7,34
Maria Weekes For Judge,7,17
USA for UNHCR,6,46
National Domestic Workers Alliance,6,30
Your Trump Shop,5,27
League of Women Voters of the U.S.,5,26
Marggie Castellano for State Senate 36th District,5,25
Planned Parenthood Action,5,23
MJ for Texas,5,23
Facing History and Ourselves,4,22
2atees1,4,21
Stefanie Kingsley,4,20
Re-Elect Senator Sean Bowie,4,19
The Collective PAC,4,18
Tony Evers,4,8
Kirsten Gillibrand,3,19
Progressive Southern Theologians,3,17
Progress NC Votes,3,17
The Western Journal,3,16
Elizabeth Esty,3,15
Tim Walz for Governor,3,14
Washington Senate Democratic Campaign,3,13
"Arizona State Representative Regina E. Cobb, DDS",3,11
Lesley for CU Regent,3,8
Anthony Bonna,3,7
Armed American Supply,2,13
Online University of the Left,2,10
Jill Norgaard for AZ House,2,10
Elizabeth Warren,2,10
NRSC,2,8
Jim Crawford for Alaska State Senate,2,5
Know Colorado,2,4
American AF,1,19
We Can Solve This,1,5
JD and Kate Industries,1,5
Gesslein & Luttrell for Monmouth County Freeholder,1,5
Voters - Not Politicians,1,3
MedicareSupplement.com,0,4995
NRDC,0,2089
Stephanie Canter for South Kingstown School Committee,0,999
Michael Steiner for State Rep,0,999
Joe Solomon for Mayor,0,999
Jessica Vega for City Council Ward 5,0,999
Indivisible RI,0,999
Elect David Norton - Mayor of Pawtucket,0,999
Andrew Benn for Bristol Warren Regional School Committee,0,999
Al Gizzarelli for Smithfield,0,999
Senator Richard J. Ross,0,481
Synthisophy,0,333
Democratic Party,0,191
National Network of Abortion Funds,0,148
Gavin Newsom,0,111
Allen Waters for U.S. Senate,0,94
Support The 2nd Amendment,0,55
Sharice for Congress,0,49
FTC PAC,0,27
Oceana,0,25
No Kid Hungry,0,25
Patriot Powered Products,0,20
James Thompson for Kansas,0,20
Jason Haeseler For Florida House,0,15
Shaun King,0,13
Tina Smith,0,12
NRDC Action Fund,0,12
Melissa Cross Vocal Studio,0,12
End Citizens United,0,10
Environmental Defense Fund,0,8
American Jewish World Service - AJWS,0,8
David Baria for Mississippi,0,7
Winning For Women,0,6
Power In Cooperation,0,6
Bird + Stone,0,6
ThoughtFull,0,5
Pfizer,0,5
Lupe Valdez,0,4
Overworked Moms,0,3
Blue Wave,0,3
Rick Green,0,2
PETA (People for the Ethical Treatment of Animals),0,2
Craig Huey,0,2
ClearPath Action Fund,0,2
Our Kids 1st - Our Schools Now,0,1
