Beto O'Rourke,3005813,8604171
Reform Austin,1453000,3842947
Concealed Online,1380634,2855272
NumbersUSA,600000,1499997
The Afiya Center,350000,799997
MJ for Texas,323000,986646
Progress Texas,310000,650992
Will Hurd,290000,699992
Dan Patrick,236000,865983
Rita Lucido for Texas State Senate District 17,200000,399998
James Talarico,167000,647967
Greg Abbott,116000,310961
GUNVOTE,112000,364985
Crush Cruz,110000,249998
Texans for Natural Gas,104805,421841
Downtown for Democracy,104000,328980
Texas Medicaid Works,100000,199999
Voto Latino,76000,364971
NRCC IE,62024,261088
We Built This,60000,151996
Gina Ortiz Jones for Congress,59000,178978
Clarissa Silva for Justice,55000,109998
Vote Yes RRISD Bond,51000,104998
Faith Johnson For District Attorney,50000,254990
Dallas Votes 4 Kids,50000,219994
Support The Court TX,50000,100998
Let Us Vote Austin,50000,99999
Better With Age,40004,200015
Women For Civility,40000,199996
Tom Steyer,40000,194999
Linda Garcia for Judge,33000,164994
Home Professionals,32000,161993
"Re-Elect Justice Patricia O. Alvarez, Fourth Court of Appeals",28000,112966
Justin Nelson,24737,109683
Kathaleen Wall for TX,23000,115994
Secure San Antonio's Future,23000,114966
Representative Matt Shaheen,22000,81993
The Texas Monitor,22000,80994
Republican Party of Texas,22000,80994
Integrity First PAC,21000,74996
Between the Scenes,20171,50427
The Holy Tribune,20000,99998
Suzanne Smith for Texas,20000,99998
All For Them,20000,99998
Letty Garcia for ECISD School Board Place 3,19000,81992
Dan Flynn for Texas House District 2,18000,76993
Partnership for Texas,18000,45993
Restore Affordable Water,17000,71994
Invested Texas,17000,69996
"Judge Jason Garrahan, County Court #4",17000,39995
Texas Association of School Boards,16000,64997
"Cynthia Flores for Texas State Rep, District 52",16000,64997
Focus Texas,15998,80971
Judge David Farr,15998,64993
Judge Bill Gravell,15000,59998
Dan Crenshaw,14988,56950
Dropkick Memes,13864,27727
Aislynn4Mayor,13000,34995
"I Love You, America",12735,31838
National Association of Home Builders,12103,24207
Justice Nora Longoria,12000,59997
Donald J. Trump,11467,122411
Omar Kadir for Treasurer,11000,57995
Vote For Abilene Kids,11000,55997
Texas GOP Vote,11000,54998
Mark Tippetts for Texas Governor,11000,54998
Mark Keough For County Judge,11000,54998
Empower Texans,11000,54998
Chika Anyiam Campaign for Judge,11000,54998
Brandon Creighton,11000,54998
Alliance for Climate Education,11000,54998
Back The Canyon ISD Bond,11000,39993
Vote NO on the RISD TRE,11000,24997
The Boeing Company,10209,20418
Cheddar,10006,20012
"Dolli4Judge, 189th Civil District Court, Harris County, Texas - Democrat",10000,50998
Michael Quinn Sullivan,10000,49999
Michael McCaul for Texas,10000,49999
Lincoln-Goldfinch Law,10000,49999
Jonathan Stickland,10000,49999
Jimmy Blacklock Campaign,10000,49999
Hurd's Hypocrisy,10000,49999
Fernando Mancías for Judge of the 93rd District Court,10000,49999
Dwayne Bohac,10000,49999
Dr. Marte Martinez for City Council Dist. 6,10000,49999
"City of Cedar Park, Texas-City Government",10000,49999
"Brandey Batey for City Council, At-Large",10000,49999
Paul Workman,10000,38990
Linsey Fagan for Texas,10000,22995
"Mitch Templeton for 172nd District Judge, Jefferson County",10000,20997
"ALLEN WELLS for Splendora ISD Board Of Trustees, Pos. 5",10000,20997
Texas Nationalist Movement,10000,19998
Miguel Suazo for Texas Land Commissioner,10000,19998
Justice Elizabeth Lang Miers,9850,49251
J.M. Lozano,9068,45337
Texas Public Policy Foundation,9000,52621
Samuel Williams for Congress,9000,34990
The Buffalo Tree Festival,6991,20950
Pastors for Texas Children,6000,16996
Kellen Sweny,6000,16996
State Representative Ina Minjarez,6000,14998
"Maureen Kursh Reister for Justice of the Peace, Denton County, Pct 2",6000,14998
Crissy Perez,6000,14998
Federal Voting Assistance Program - FVAP,5110,10220
Our Flag Our Country,5011,10053
Vicente Gonzalez for U.S. Congress,5000,26993
Jay Stittleburg for Montgomery County Judge - TX,5000,24995
Joe Gonzales for District Attorney,5000,11997
Rick Allen for McLennan County Judge,5000,10998
Michael Trost Midland City Council At-Large,5000,10998
FRIENDS OF CECIL BELL JR.,5000,10998
Albert Roberts for Tarrant County District Attorney,5000,10998
The Trey Blocker Show,5000,9999
Sean Hicks Keller City Council Place 2,5000,9999
"R. Bruce Rieser, The Woodlands Township Director, Position 4",5000,9999
Precinct 0104 Chairperson Linda Bell Robinson,5000,9999
Michael Shawn Kelly for District 150,5000,9999
Meghan Scoggins for TX House- District 28,5000,9999
Kuper Sotheby's International Realty,5000,9999
Jessica for Wilco,5000,9999
Helen Petry Stowe for Judge - Bexar County Court 1,5000,9999
"David Azad for Collin County Commissioner, Pct. 3",5000,9999
Eric Holguin for U.S. Congress,4994,9986
Senior Enrollment Center,4304,21519
Lupe Valdez,4000,25990
Mayor John Thomaides,4000,20995
ACLU of Texas,3999,20991
We The People ORG,3531,7061
Defending Donald,3509,17544
Mi Familia Vota,3454,17272
MoveOn,3376,24815
Senate Majority PAC,3126,6532
Vote for ECISD,3000,16995
Judge Mary Roman,3000,16995
TechBloc,3000,14997
Lorie Burch for Congress - TX-3,3000,14997
C-Farar,3000,14997
4ocean,2202,11011
National Republican Congressional Committee,2154,16142
New Braunfels ISD Unicorn Action PAC,2000,13994
Fred Infortunio,2000,12995
Texans For Dade,2000,11996
Tanya Garrison for the 157th Judicial District Court,2000,11996
Adam Milasincic for Texas State Representative,2000,11996
"Matthew Pillado, PLLC",2000,10997
"Dominga ""Minga"" Vela for Edinburg School Board Place 1",2000,10997
Angie Chen Button for Texas,2000,10997
Traci Maxwell-WISD Pl.2,2000,9998
Texas SD 17 Democrats,2000,9998
Smartwool,2000,9998
STEER,2000,9998
Republican Women of Brazos Valley PAC,2000,9998
Paul Thurman,2000,9998
"John ""Hawk"" Hawkins for 268th District Court",2000,9998
Deanna Maria Metzger,2000,9998
Danielle Weston for Round Rock ISD Board of Trustees Place 3,2000,9998
"Christians In Public Service, Inc.",2000,9998
Beth Llewellyn McLaughlin,2000,9998
United States Constitution,1497,7484
Penzeys Spices,1373,6865
America Fighting Back PAC,1311,6554
Power In Cooperation,1244,12341
Heidi Heitkamp,1104,5654
Klean Kanteen,1096,21915
Winning For Women,1052,5648
Americans for Peace and Tolerance,1047,5237
Action Against Hunger USA,1029,4409
FTC PAC,1000,45967
Judge Ernie Aliseda for Chief Justice 13th Court of Appeals,1000,8995
Cory Vessa for RRISD Board of Trustees Place 4,1000,7996
Shirley Layton for Texas State Senate,1000,6997
Lane Gulledge for Tarkington School Board Position 1,1000,6997
Amit for District 3,1000,6997
Vish for City Council District 6,1000,5998
The Laughing Jackass,1000,5998
Swing Left TX-32,1000,5998
Re Elect Bob Hebert - Fort Bend County Judge,1000,5998
Organization for American Values - OFAV,1000,5998
Judge Catherine Evans,1000,5998
Jolt Texas,1000,5998
"Healthy Hospital, Healthy Community.",1000,5998
Clinic Access Support Network,1000,5998
Benjamin Eldredge for Kendall County Commissioner,1000,5998
Armando Rodriguez Canutillo Board of Trustees,1000,5998
Normals Are Pissed,1000,5791
World Animal Protection USA,1000,4999
Webb County Judge Tano E. Tijerina,1000,4999
Vision America,1000,4999
Van Taylor,1000,4999
TrendChat with Brian Bledsoe,1000,4999
The Black Women's PAC,1000,4999
Texas Alliance for Life,1000,4999
Sheriff Leaks,1000,4999
"Sabino ""Pio"" Renteria for Austin City Council, District 3",1000,4999
Ryan Guillen,1000,4999
Ron Wright for Congress,1000,4999
Richardson Democrats,1000,4999
Republican Party of Navarro County,1000,4999
Permian Basin Young Democrats,1000,4999
Palo Pinto County Democratic Club,1000,4999
Oscar Kazen,1000,4999
National Popular Vote dot com,1000,4999
Montgomery County Gazette,1000,4999
Mike Balderas for ECISD School Board Place 2,1000,4999
Meyerland Democrats,1000,4999
Lorena Perez McGill,1000,4999
Linda Koop,1000,4999
Lance Gooden,1000,4999
"Kasey Redus for Williamson County Commissioner, Precinct 2",1000,4999
Kara Zartler,1000,4999
Julie Oliver,1000,4999
Julie Luton For All Texans,1000,4999
"Julie Countiss for Justice, 1st Court of Appeals, Pl. 7",1000,4999
