Real VT News,26000,84995
Don Turner Jr. for VT Lieutenant Governor,19000,55857
Karl Anderson for Rutland County Probate Judge,4224,8448
Christina Rainville for State’s Attorney,3942,7883
Brad Peacock for U.S. Senate,3000,15996
Let's Grow Kids,2000,9998
Goslant for House,2000,9998
NRDC,1014,5069
Rutland County Democrats,1000,10893
"Avram Patt for State Representative, Lamoille-Washington District",1000,7996
Solar Rebate,1000,5998
Corey Parent,1000,5998
True North Reports,1000,4999
State Representative Jim Harrison,1000,4999
Randy Gray for Vermont,1000,4999
Ben Jickling,1000,4999
Heidi Heitkamp,814,1985
Vermont State Labor Council AFL CIO,717,4584
ACLU,475,1196
Beto O'Rourke,395,790
Planned Parenthood Action,292,584
Concealed Online,145,296
ReBuild USA,132,263
David Holden 2018,117,234
MoveOn,108,526
Kamala Harris,101,2065
Donald J. Trump,93,1415
Peter G. Peterson Foundation,90,180
National Popular Vote dot com,69,343
4ocean,64,318
Kirsten Gillibrand,61,1305
Klean Kanteen,60,4335
End Citizens United,58,311
Auditor Suzanne Bump,45,231
Elise Stefanik,41,82
Gus Bilirakis for Congress,39,78
Strong Women Society,37,187
Blue Wave,36,182
Bill Bolton for Senate,36,180
Penguin Kids,33,130
World Wildlife Fund,29,69
John Legere,29,59
Proud American Hunter,28,56
Conor Lamb,25,124
USA for UNHCR,24,121
John-Michael Parker for State Representative,24,64
"I Love You, America",23,113
Elect Carolyn Long,23,47
No Kid Hungry,20,112
American AF,20,99
The Nature Conservancy,20,41
CRTV Tonight with Gavin McInnes,19,99
Senator Jim Tedisco,19,95
E. O. Wilson Biodiversity Foundation,18,36
dittymoji,16,82
New Yorkers Together,16,33
Catholic Relief Services,16,33
Stand Up America,15,286
Proud Right Winger,15,30
Chris Murphy,14,72
Elizabeth Warren,14,71
Planned Parenthood,14,68
The Holy Tribune,14,27
Your Trump Shop,13,67
PragerU,13,66
Liftable Engagement Services,13,63
The Ripon Society,13,25
RSCC,11,57
Dianne Feinstein,10,19
Rosa DeLauro,9,45
Airport Workers United,9,18
Heifer International,8,1067
Claire McCaskill,8,40
Kenneth Mejia for Congress,7,37
WhyHunger,7,36
Skippack Township Supervisor Nick Fountain,7,35
Bill Nelson,7,35
Project NOW,7,34
Be A Hero,6,75
National Republican Congressional Committee,6,36
Everytown for Gun Safety,6,29
National Association of Manufacturers,6,11
Fighting for our future,6,11
Oxfam,5,54
Military Spouse,5,9
CARE,4,224
Oceana,4,35
Human Coalition,4,27
Energy Citizens,4,27
Giffords,4,26
Jeff Merkley,4,21
Martz for NY State Senate,4,19
Let Africa Live,4,18
Goods Unite Us,4,18
Brut,4,18
Brian Mast,4,18
Andrew Gillum,3,17
"Imprimis, a Publication of Hillsdale College",2,11
SEIU MN State Council,2,10
Ocean Helper,2,10
Time To Vote On Climate,2,9
Keith Faber,2,4
Human Rights Campaign,2,3
PrintedKicks,1,8
AM 860 The Answer,1,8
Every State For Israel,1,7
Civic Action Network,1,7
Online University of the Left,1,6
Trumpiness,1,5
Allison Gilman For Judge,1,3
Christine Hallquist,0,4168
Dana Maxfield for Vermont State Senate,0,2997
Vermont Birth to Five,0,999
Democratic Coalition Against Trump,0,999
Scott Garren for State Senate,0,961
Democratic Party,0,148
Military Officers Association of America (MOAA),0,113
National Network of Abortion Funds,0,55
Support The 2nd Amendment,0,47
Democrats,0,40
Jenn Alford-Teaster for NH State Senate,0,32
ThoughtFull,0,26
Swing Left,0,23
NRDC Action Fund,0,22
Sharice for Congress,0,21
Working Families Party,0,14
Armed American Supply,0,14
Winning For Women,0,13
Shaun King,0,11
Eversmeyer and Guerrero For Township Committee,0,11
American Jewish World Service - AJWS,0,11
Sierra Club,0,9
Republicans for the Rule of Law,0,9
Environmental Defense Fund,0,9
David Baria for Mississippi,0,9
VoteTogether,0,7
Mikie Sherrill,0,7
National Democratic Redistricting Committee,0,6
Tony Evers,0,5
Ro Khanna,0,5
Pfizer,0,5
Overworked Moms,0,5
United Way of Greater New Haven,0,4
World Animal Protection USA,0,3
Jonathan Porter for Delegate,0,3
Jewish Voice Ministries International,0,3
Grabien,0,3
92nd Street Y,0,3
The Federal Practice Group Worldwide Service,0,2
Animal Matters,0,2
World Food Programme,0,1
Mad Dog PAC,0,1
America Fighting Back PAC,0,1
