Abigail Spanberger,840000,2069989
FreedomWorks,458565,1123157
Concealed Online,315280,811203
NumbersUSA,200000,499999
Leslie Cockburn for Congress,200000,399998
Women United Now,110000,249998
League of Conservation Voters,100000,199999
GUNVOTE,72949,184871
VPAP,60000,149998
Jennifer Wexton,50000,99999
Sierra Club,36598,73308
NRCC IE,32955,165743
Everytown for Gun Safety,29000,101970
New Virginia Majority,26000,114996
Marc Solomon for School Board,23000,117992
The Holy Tribune,19977,99881
Virginia Hospital & Healthcare Association,17000,69996
Heritage Action for America,17000,69996
Davenport for Virginia Beach Mayor,16000,64997
Michelle Davis-Younger for City Council,15000,61996
National Republican Congressional Committee,13621,29972
The Voter Participation Center,13000,76776
Tom Steyer,11627,26972
Women For Civility,10000,49999
NRA - National Rifle Association of America,10000,49999
DoSomething.org,10000,49999
Councilmember Bill McKenna,10000,49999
Aaron Rouse for City Council At-Large,10000,49999
Sean Kenis for Herndon Town Council,10000,19998
Our Lives Our Vote,9925,49626
Theresa Coates Ellis for Manassas,9000,45990
Arlington Dems,9000,33991
Bryce Reeves,7000,19997
ACLU,5106,13080
Scott Taylor,5000,9999
Our Flag Our Country,5000,9999
Councilman Marc Aveni,3000,15996
The Republican Standard,2997,14981
Donald J. Trump,2778,27603
Seth Moulton,2273,11363
Anna Caballero for Senate,2032,4064
League of Women Voters of the U.S.,2016,10080
Erika For Supervisor 2019,2000,10997
Roanoke for Jennifer Lewis,2000,9998
River City TV,2000,9998
Delegate Bob Thomas,2000,9998
Councilman Ian Lovejoy,2000,9998
Clean Power Virginia,2000,9998
ACLU of Virginia,2000,9998
Keep Judge Gretchen Hollar Kirkman as District Court Judge,1773,6661
Military Officers Association of America (MOAA),1562,3123
Swing Left,1517,3245
United States Constitution,1293,2585
FAMM,1166,2980
Citizens Against Foreign Interference,1087,5434
Tim Hugo,1000,10993
Dee Oliver for Virginia Beach City Council,1000,9994
Henrico GOP,1000,7996
FEDweek,1000,5998
David Westcott for Treasurer,1000,5998
NRDC,1000,5063
Yvette Pennington for Circuit Court Clerk,1000,4999
Virginia Educators United,1000,4999
Stop the Flooding NOW,1000,4999
Louis Jones for City Council,1000,4999
Joe Walton for Virginia,1000,4999
Highfalutin Junk,1000,4999
De'Andre Barnes for Portsmouth School Board,1000,4999
Dan Schmitt for Supervisor,1000,4999
Bobby Dyer for Mayor,1000,4997
Page County Indivisible,998,4989
Mission First,996,4981
Barbara Comstock,983,4912
RSCC,941,1882
Lisa Ring for Congress,849,4245
Kamala Harris,843,13273
Bob Casey,754,1766
Federal Voting Assistance Program - FVAP,709,3544
Heidi Heitkamp,686,3500
Delegate Karrie Delaney,612,3062
Giffords,593,2963
Donnie Harrison for Wake County Sheriff,592,1184
Bill Nelson,537,2133
The Leadership Conference on Civil and Human Rights,509,2545
David Wilson for Senate District 15,491,2455
Barbara Kanninen,438,2191
Science for Humans and Freedom Institute,428,3962
4ocean,395,1559
DiversityInc,374,1871
The Independence Fund,320,1602
MoveOn,313,7262
Your Trump Shop,293,1464
William Ty Nestor for WV House of Delegates,288,1440
Elizabeth Warren,252,578
Oxfam,251,1253
Dropkick Memes,248,1240
Penguin Kids,244,1222
Judicial Watch,232,1161
Grabien,229,1146
The Western Journal,209,1412
Angie Craig,207,1035
Arkansans for Jobs and Justice,205,411
National Parks Conservation Association,202,404
Home Improvement Deals,200,1002
Crime Prevention Research Center,200,1000
Marggie Castellano for State Senate 36th District,197,986
Keith Faber,192,384
Visions of Hope for Africa,190,948
Beto O'Rourke,185,473
Two Party Opera,177,883
Penzeys Spices,168,838
Kirsten Gillibrand,160,391
Defending Donald,157,787
GroundUp,152,370
American AF,151,373
Support The 2nd Amendment,143,1818
Planned Parenthood Action,137,379
Flip It Blue,137,274
Build With Strength,133,265
Blue Wave,131,660
The Coalition to Protect Americas National Parks,123,245
Proud Right Winger,109,218
ArtProfileratx,104,209
Claire McCaskill,91,250
Tom Langan for Judge,90,450
Circa,67,134
Consumer Action for a Strong Economy,66,131
Democratic Asian Americans of Virginia,61,305
Kyrsten Sinema,55,206
Ryan Hampton,53,265
Stand Up America,47,880
Catholic Relief Services,46,254
FloridaStrong,46,231
End Citizens United,39,195
Anne Gonzales,38,76
Scamazon,35,174
National Democratic Redistricting Committee,34,255
The Nature Conservancy,33,165
Jetties Bracelets,33,165
ACLU of Maryland,32,263
Jewish Voice Ministries International,31,157
Sammi Brown for WV House of Delegates 65th District,31,154
Howstuffworks,30,151
Finance Watchdogs,30,149
The Donald Stuff,29,144
MJ for Texas,28,141
Senate Majority PAC,28,140
Ivory Ella,27,137
USA for UNHCR,25,206
Fipple,25,127
Conservative Daily,25,126
TradeVistas,25,124
Gus Bilirakis for Congress,25,51
Be Conscious. Be Kind.,24,120
We Can Solve This,23,114
Greenpeace USA,23,114
Texans for Natural Gas,23,87
National Network of Abortion Funds,22,445
FTC PAC,21,162
Concerned Citizen,21,106
NRDC Action Fund,19,461
Goods Unite Us,19,96
Elect Carolyn Long,19,93
John-Michael Parker for State Representative,19,39
ExxonMobil,15,74
ACLU of Northern California,14,71
Energy Citizens,10,135
Karl Bickel for Sheriff,10,56
Mayor Matt Hall,10,48
JD Wooten for NC Senate,10,20
Rhonda Cole Schandevel,9,47
James Thompson for Kansas,8,175
PenediMaio4StateHouse,8,41
Talley Sergent,7,36
VoteYes4Success,6,35
Ashleigh Aitken,6,29
Shareblue Media,5,25
Appalachian Energy Center,5,25
Alyse Galvin for Congress,5,24
Rick Green,4,41
Ed McBroom for State Senate,4,21
Daniel Webster for Congress,3,16
Brian Booth for Pike County Commissioner District 3,3,15
Karen For Kentucky,3,14
Faith Johnson For District Attorney,3,13
Anne Petera for Dare County Commissioner,3,13
"Sean Reyes, Utah's Attorney General",2,11
Bernard Semler for State's Attorney,2,11
JoyAnn Ruscha for RTD District B,2,9
Amie Hoeber for Maryland,2,3
Solar Rebate,1,1004
Chris Murphy,1,9
Better With Age,1,6
Allan Kittleman,1,6
Mannion for State Senate,1,5
Judd Cowan,1,5
Abolish Abortion Virginia,0,6993
Winning For Women,0,5913
MedicareSupplement.com,0,4995
Conservatives for Clean Energy,0,4995
"Kelly Burk, Leesburg",0,2997
Healthcare for All Virginians Coalition,0,2997
Albemarle County Democratic Party,0,2975
Democratic Party,0,2338
The Rutherford Institute,0,2038
ClearPath Action Fund,0,2003
Carolyn W Frank  for City Council,0,1998
Americans for Farmers & Families,0,1611
Gary Broderick for School Board Member,0,1370
Warren County VA Democratic Committee,0,999
Susanne Henderson for Virginia Beach City Council,0,999
Ryan McAdams For Congress,0,999
No to Question 3 - Culpeper,0,999
Latino Tax Professionals Association,0,999
Ducks Unlimited at the University of Virginia,0,999
Chesapeake Bay Foundation,0,999
Chair Phyllis J. Randall,0,999
Association for Accessible Medicines,0,999
Michael “Mike” Diaz for Stephens City Mayor,0,956
CARE,0,773
VoteTogether,0,667
Oceana,0,488
Tina Smith,0,349
Working Families Party,0,333
Be A Hero,0,228
dittymoji,0,196
Ocean Conservancy,0,136
No Kid Hungry,0,130
Klean Kanteen,0,129
Conservative Tribune,0,113
Fight For Reform,0,111
United States Holocaust Memorial Museum,0,106
In the Woods with Phil,0,106
Character Matters in Washington County Maryland,0,103
"Nick Josefowitz for Supervisor, San Francisco, District 2",0,100
Indivisible Guide,0,73
Ginger Garner for NC Senate,0,65
Shaun King,0,56
National Park Foundation,0,53
Disrupt Aging,0,50
Loker for House of Delegates - District 29A,0,49
Jonathan Porter for Delegate,0,44
I Am An Immigrant,0,43
Trump 2020,0,42
David Baria for Mississippi,0,41
Giving Brush,0,40
Pfizer,0,39
Mikie Sherrill,0,38
Phone2Action,0,33
Sharice for Congress,0,31
"Vericool, Inc.",0,30
LifeDaily,0,29
Federation for American Immigration Reform,0,29
Young People in Recovery,0,26
I Am CA22,0,24
Democratic Senatorial Campaign Committee (DSCC),0,23
America with Eric Bolling,0,23
Power In Cooperation,0,22
Who Stole the American Dream?,0,19
Janet Mills,0,19
Phil Bredesen,0,18
State Auditor Mary Mosiman,0,15
Savory Institute,0,13
Great America PAC,0,11
Blue Action Democrats,0,11
Lupe Valdez,0,10
Save the Redwoods League,0,9
Divided We Stand,0,9
Ro Khanna,0,8
Gavin Newsom,0,8
D'Alessio Law Group,0,8
Change The Date,0,8
Veterans and Affordable Housing Act,0,7
Joe Donnelly,0,7
Dana Young,0,7
New Yorkers Together,0,2
Beth Liston for Ohio,0,2
