NumbersUSA,200000
Leslie Cockburn for Congress ,100000
League of Conservation Voters,100000
Wexton for Congress,50000
"National Shooting Sports Foundation, Inc.",50000
Sierra Club,36560
the Virginia Public Access Project,10000
Women United Now,10000
Vote Solomon,10000
New Virginia Majority Fund,10000
NRA,10000
Friends of Michelle Davis-Younger,10000
Friends of Bill McKenna,10000
Friends of Aaron Rouse,10000
FreedomWorks for America. Not authorized by any candidate or candidate's committee.,10000
DoSomething,10000
Concealed Online,10000
News For Democracy,9990
Our Lives Our Vote,9925
Spanberger for Congress,5000
Scott Taylor for US Congress,5000
Kenis For Herndon,5000
Heritage Action for America and not authorized by any candidate or candidate’s committee,5000
Ben Davenport for Mayor.,5000
Seth Moulton for Congress,2273
California Democratic Party,2032
Keep and Bear,1293
Citizens Against Foreign Interference,1087
the Dyer Difference,1000
and Authorized by Theresa Coates Ellis for Council,1000
Yvette Pennington for Circuit Court Clerk,1000
Virginia Hospital & Healthcare Association,1000
Virginia Educators United,1000
The Republican Standard,1000
Stop the Flooding Now,1000
River City TV,1000
NRDC,1000
Marc Aveni for City Council,1000
Louis Jones Campaign Committee,1000
Joe for Virginia,1000
Friends of Tim Hugo,1000
Friends of Jennifer Lewis,1000
Friends of Dan Schmitt,1000
Friends of Bob Thomas,1000
FRIENDS OF BRYCE REEVES,1000
De'Andre A. Barnes for School Board,1000
David Westcott for York County ,1000
Councilman Ian Lovejoy as a Constituent Service,1000
Clean Power Virginia ,1000
American Civil Liberties Union of Virginia,1000
Page County Indivisible,998
Mission First VA,996
the NRCC and not authorized by any candidate or candidate’s committee.,985
Comstock for Congress,983
Families Against Mandatory Minimums,950
Republican Senate Campaign Committee,941
Committee to Elect Gretchen Hollar Kirkman as District Court Judge,734
Federal Voting Assistance Program,709
the League of Women Voters,661
The Committee To Elect Lisa Ring,638
Delaney for Delegate,612
Giffords PAC,593
Citizens for Donnie Harrison,592
"Authority: Friends of David Wilson, Sharon Bauer, Treasurer",491
Barbara Kanninen for School Board Committee,438
Science for Humans and Freedom Institute,428
Heidi for North Dakota,401
Diversity Incorporated ,374
The Independence Fund,320
Your Trump Shop,293
The Leadership Conference on Civil and Human Rights ,282
"4Ocean, LLC",256
Oxfam America,251
 Penguin Young Readers,244
Committee to Elect Ty Nestor,239
Bob Casey for Senate,235
Judicial Watch,232
Grabien,229
The Western Journal,209
Angie Craig for Congress,207
Arkansans for Jobs and Justice ,205
National Parks Conservation Association,202
John R Lott Jr,200
Home Improvement Deal,200
Marggie Castellano for Senate 2018,197
Friends of Faber,192
Bill Nelson for U.S. Senate,183
Brian Carroll,177
Penzeys,168
Defending Donald,157
Beto for Texas,151
Retail Politics LLC,137
Gillibrand for Senate,136
Build With Strength,133
"by GroundUp. Not authorized by any campaign, committee, or PAC.",130
Coalition to Protect America's National Parks,123
Proud Right Winger,109
"ArtProfiler, Austin's Premiere Online Cultural Magazine",104
Need to Impeach,98
Dropkick Memes,98
Tom Langan for Judge,90
McCaskill for Missouri,68
Circa,67
Consumer Action for a Strong Economy,66
Democratic Asian Americans of Virginia. Not authorized by any candidate or candidate's committee,61
Ryan Hampton,53
Florida Strong Action PAC independently of any candidate.,46
,46
"CITIZENS FOR ANNE GONZALES W. L. CURLIS, TREASURER 865 MACON ALLEY, COLUMBUS, OH 43206",38
Scamazon,35
The Nature Conservancy,33
Jetties Bracelets,33
American Civil Liberties Union of Maryland,32
JVMI,31
Friends of Sammi Brown,31
Finance Watch Dogs,30
Junk Box Entertainment LLC,29
"SMP, and not authorized by any candidate or candidate’s committee.",28
MJ for Texas,28
TradeVistas,25
Fipple,25
Conservative Daily,25
Bilirakis for Congress,25
Be Conscious. Be Kind.,24
"AAF Nation, LLC",24
The Years Project,23
Greenpeace USA,23
Planned Parenthood Action Fund.,21
Concerned Citizen,21
Blue Wave Voters,21
"MoveOn.org Political Action, not authorized by any candidate or candidate's committee.",20
"Goods Unite Us, Inc.",19
"Friends of John-Michael, Joan Walker, Treasurer. Approved by John-Michael Parker.",19
End Citizens United,19
Elect Carolyn Long,19
ExxonMobil,15
"Donald J. Trump for President, Inc.",14
