"Healthy Hospital, Healthy Community.",38041,76081
Civiqs,34000,115985
Tom James for WY Senate District 13,5000,9999
Backcountry Hunters & Anglers,4787,11968
Greene 4 Mayor,2994,15956
Alex4Wyoming,2000,9998
NRDC,1003,5015
Representative Jared Olsen,1000,5998
Mayor Andi Summerville Laramie City Council,1000,5998
Wyoming Migration Initiative,1000,4999
Teton County Democrats,1000,4999
Jacob Martin  City Council Candidate Sheridan,1000,4999
Brandan Stewart for Niobrara County school board,1000,4999
Barbuto for Commission,1000,4999
The Wilderness Society,786,3930
PragerU,378,756
Americans for Farmers & Families,324,649
Donald J. Trump,279,2400
Heidi Heitkamp,202,506
The Arena,118,235
National Republican Congressional Committee,105,560
Tom Steyer,72,144
Beto O'Rourke,71,148
Senate Majority PAC,66,134
Jay Trumbull,65,131
Military Network,59,117
4ocean,56,124
PolicyEd,52,259
Proud Right Winger,51,257
Judicial Watch,41,203
United States Constitution,40,202
CNSNews.com,34,170
American Financial Advisory For A Better Future,32,158
The Nib,30,152
The Commonwealth Fund,30,149
Kialo,30,149
Jason for South Dakota,30,147
Lesley for CU Regent,28,54
Access Fund,25,125
UnitedVoice.com,22,44
Survival Life,21,43
The Leadership Conference on Civil and Human Rights,20,102
John Cox for Governor 2018,19,37
Jon Tester,16,53
Keith Faber,16,31
Concealed Online,15,105
Climate Facts,15,29
Kamala Harris,14,1477
ACLU,14,78
National Domestic Workers Alliance,14,71
"I Love You, America",14,71
Claire McCaskill,14,70
Progressive Turnout Project,13,67
Kirsten Gillibrand,12,61
John Esp for Senate,12,59
Elizabeth Warren,12,30
National Democratic Training Committee,12,25
The News and Why It Matters,12,24
MoveOn,11,24
Left AF,11,22
Dissent Pins,10,52
Democratic Legislative Campaign Committee - DLCC,9,46
Senator Jerry Sonnenberg,8,39
MJ for Texas,8,38
Making Caring Common,7,36
Roger Barris for Congress,6,34
Let Africa Live,6,29
Electric Nation: Powered By Wind,6,28
Jen Kinney,5,24
Jeff Merkley,5,11
Stand Up America,4,27
Andrew Gillum,4,24
Conservative Tribune,4,21
Elect 435,4,19
FloridaStrong,4,18
Shareblue Media,3,17
HomeGrown Tees,3,16
Greenpeace USA,3,16
Denormalizers,3,16
Military Officers Association of America (MOAA),3,14
Eric Eliason for Congress,3,14
Republican State Leadership Committee,3,13
National Network of Abortion Funds,2,56
CARE,2,18
Trump Is Wack,2,12
Planned Parenthood Action,2,12
Your Trump Shop,2,11
Truthout,2,11
Beth Liston for Ohio,2,11
America Fighting Back PAC,2,11
Human Rights Campaign,2,10
The Ben Shapiro Show,2,8
Scott Walker,2,4
Ken Buck,2,4
Planned Parenthood,1,27
NRDC Action Fund,1,17
Kyrsten Sinema,1,10
USA for UNHCR,1,7
Oceana,1,7
45th President Donald J. Trump,1,7
T.J. Shope,1,6
Rhonda Cole Schandevel,1,6
Everytown for Gun Safety,1,6
Samuel Chu,1,4
Chesapeake Bay Foundation,1,4
Texans for Natural Gas,1,3
Marggie Castellano for State Senate 36th District,1,3
FreedomWorks,1,3
Anthony Bonna,1,3
Paul Johnson for Wyoming House,0,1998
TheJobNetwork,0,999
Steve Rozier for Campbell County Coroner,0,999
Mike Yin for WY House - HD16,0,999
Luther for County Commissioner,0,999
Forward Wyoming,0,999
Co-ops Vote,0,999
Support The 2nd Amendment,0,647
Power In Cooperation,0,556
Planned Parenthood Advocates of Michigan,0,500
Giving Brush,0,400
Indivisible Guide,0,111
Klean Kanteen,0,56
Mercy Corps,0,42
Winning For Women,0,19
Blue Wave,0,15
Heifer International,0,12
Swing Left,0,11
Resist Trump's agenda,0,11
Ocean Helper,0,9
Tina Smith,0,7
ThoughtFull,0,7
Lebowski Lovers,0,7
The Xian AnCap,0,6
National Farmers Union,0,5
American Jewish World Service - AJWS,0,5
DeSmogBlog,0,4
We Are The Mighty,0,3
UNRWA USA,0,3
Trumpified News - Blue pilled to Red pilled,0,3
The Levitical Society,0,3
Energy Citizens,0,3
Armed American Supply,0,3
No Labels Action,0,2
Newseum,0,2
FTC PAC,0,2
Andy Kim for Congress,0,2
Shaun King,0,1
Gideon Oakes for District 30 Senator,0,1
Facing History and Ourselves,0,1
