Healthy Hospital Healthy Community PAC,38041
Tom James for WY Senate District 13,5000
Backcountry Hunters & Anglers,4787
Wyoming Migration Initiative,1000
The Committee to Elect Jared Olsen,1000
Teton County Democrats,1000
NRDC,1000
Jacob Martin,1000
Barbuto for Commission,1000
BRANDAN STEWART FOR SCHOOL BOARD,1000
Alex4Wyoming,1000
Greene 4 Mayor,997
The Wilderness Society,786
PragerU ,378
Americans for Farmers and Families,324
Heidi for North Dakota,202
The Arena PAC,118
Need to Impeach,72
"Jay Trumbull, Republican, for State Representative",65
"SMP, and not authorized by any candidate or candidate’s committee.",58
Hoover Institution,52
Proud Right Winger,51
Judicial Watch,41
Keep and Bear,40
Media Research Center,34
The Nib,30
"The Commonwealth Fund, a nonpartisan organization",30
Kialo,30
"Jason for South Dakota; Use of military rank, job title, and photograph in uniform does not imply endorsement by the Department of Defense.",30
the Trump Make America Great Again Committee,25
the NRCC and not authorized by any candidate or candidate's committee.,25
Access Fund,25
"Beachside Media, Inc.",22
The Leadership Conference on Civil and Human Rights ,20
"Donald J. Trump for President, Inc.",20
John Cox for Governor 2018,19
Friends of Faber,16
The Years Project,15
Lesley for CU Regent,15
McCaskill for Missouri,14
Hulu,14
Progressive Turnout Project,13
the National Democratic Training Committee,12
TheBlaze,12
"Esp for Senate, Ron Arthun, Treasurer, Box 375, Clyde Park, MT 59018",12
News For Democracy,11
"MoveOn.org Political Action, not authorized by any candidate or candidate's committee.",10
Dissent Pins,10
the Democratic Legislative Campaign Committee,9
Montanans for Tester,9
MJ for Texas,8
Committee to Elect Jerry Sonnenberg ,8
Wind Energy Foundation,6
The Barris for Congress Committee,6
Let Africa Live,6
Jeff Merkley for Oregon,5
,5
Florida Strong Action PAC independently of any candidate.,4
Conservative Tribune,4
"4Ocean, LLC",4
435 Labs,4
the Republican State Leadership Committee,3
the ACLU,3
Shareblue Media,3
Military Officers Association of America (MOAA),3
HomeGrown Tees,3
Greenpeace USA,3
Denormalizers,3
Your Trump Shop,2
Truthout,2
The Daily Wire,2
Stand Up America,2
Planned Parenthood Action Fund.,2
"Majestic Dynamics, LLC",2
Human Rights Campaign,2
Friends of Beth Liston,2
FRIENDS OF SCOTT WALKER,2
Eric Eliason for Congress,2
CARE,2
Beto for Texas,2
"Andrew Gillum, Democrat, for Governor",2
America Fighting Back PAC,2
the North Carolina Democratic Party and Rhonda for NC.,1
USA for UNHCR,1
Texans for Natural Gas,1
Shope for House 2018,1
Samuel Chu,1
OuterGoods LLC,1
Oceana,1
National Domestic Workers Alliance,1
"MoveOn.org Political Action, pol.moveon.org, not authorized by any candidate or candidate's committee.",1
Marggie Castellano for Senate 2018,1
FreedomWorks for America. Not authorized by any candidate or candidate's committee.,1
Elizabeth for MA,1
Chesapeake Bay Foundation,1
"Anthony Bonna, Republican, for St. Lucie County Commission - District 2",1
the Newseum,0
the National Network of Abortion Funds,0
the Gideon Oakes for District 30 Campaign,0
the Committee to Elect Mike Yin,0
"Winning For Women, Inc.",0
We Are The Mighty,0
UNRWA USA National Committee,0
Trumpified News,0
Tina Smith for Minnesota,0
"ThoughtFull Enterprises, Inc.",0
The Xian AnCap,0
The Wilderness Society Action Fund,0
Swing Left. Not authorized by any candidate or candidate's committee.,0
Support The 2nd Amendment,0
Summerville for Laramie,0
Steve Guiliotis,0
Sinema for Arizona,0
Real Justice PAC and not authorized by any candidate or candidate's committee.,0
ROZIER FOR CORONER,0
"REGULATED FUNDS BY MICHIGAN PLANNED PARENTHOOD VOTES SUPER PAC, P.O. BOX 15041, LANSING, MI 48901. NOT AUTHORIZED BY ANY CANDIDATE OR CANDIDATE’S COMMITTEE.",0
Planned Parenthood Federation of America,0
Ocean Helper,0
No Labels Action. Not authorized by any candidate or candidate's committee.,0
National Rural Electric Association,0
National Farmers Union,0
NRDC Action Fund,0
Mercy Corps,0
Luther for Teton County,0
Lebowski Lovers,0
Klean Kanteen,0
Kamala Harris for Senate,0
Indivisible Project,0
Heifer International,0
Giving Brush LLC,0
Gillibrand for Senate,0
Friends of Paul Johnson,0
Forward Wyoming,0
Fire Ted Cruz PAC,0
Facing History and Ourselves,0
Everytown for Gun Safety Action Fund,0
Energy Citizens,0
"Diana Arezzo, Ph.D., concerned private citizen, solely for the purpose of increasing post reach",0
DeSmog,0
ConocoPhillips Company,0
Concealed Online,0
Civiqs,0
Buck for Colorado,0
Blue Wave Voters,0
Armed American Supply,0
Andy Kim for Congress,0
American Jewish World Service,0
