Kyle Brown,49702
Ten Commandments Amendment,24999
The Voter Participation Center,16562
Steven Dixon,15000
Carl Carter for Alabama Senate 11,13000
National Republican Congressional Committee,11272
Sherman Guyton for Mayor,11000
Re-elect Judge David Kimberley, Circuit Judge, Place 3,10000
Color Of Change,10000
Chad Young State House District 3,10000
Lee Auman for U.S. Congress,6999
Ron Anders For Auburn,6000
PragerU,5133
Allen Farley for State House District 15,5000
Donald J. Trump,2427
Sanderford for Alabama House,2000
Frank Barger for Probate Judge,2000
Craig Ford,2000
Tom Whatley,1000
Terry Jones for District 21,1000
Support Nick Smith for Walker County Sheriff,1000
Resolute News,1000
Madison County (AL) Republican Party,1000
Kyle Pierce for State Representative,1000
Fix Our Roads Alabama,1000
Cunningham for Judge,1000
I Love You, America,998
Mi Familia Vota,836
ACLU,341
Coastalteesfashion,331
Middle East Forum,266
Concealed Online,254
Veterans Organizing Institute,208
CARE,135
United States Constitution,134
Jeff Merkley,115
Kamala Harris,99
Penzeys Spices,88
FrackFeed,87
Andrew Gillum,84
Elizabeth Warren,77
Tom Steyer,71
Conservation International,68
World Wildlife Fund,65
Kirsten Gillibrand,65
MJ for Texas,57
2atees1,44
NARAL Pro-Choice America,42
Heidi Heitkamp,42
Winning For Women,38
Stand Up America,38
American AF,36
Allison Gilman For Judge,35
Politicon,34
The Western Journal,29
Progress NC Votes,28
Pfizer,27
Texans for Natural Gas,23
We Can Solve This,22
Geoff Duncan,22
Planned Parenthood,21
Chris Murphy,21
Support The 2nd Amendment,20
Great America PAC,20
Turning Point USA,18
Radiolab,17
MoveOn,16
NRDC,15
Goods Unite Us,12
National Park Foundation,11
NRDC Action Fund,10
SEIU Healthcare Illinois & Indiana,7
Greenpeace USA,7
Jeremy Shaffer for PA State Senate,6
Bill Nelson,6
Simon for House,5
End Citizens United,5
CREDO Mobile,5
Oxfam,4
James Thompson for Kansas,4
Dana Young,3
Beto O'Rourke,3
Voz Boricua,2
Mark Pinsley,2
JoanFischer2018,1
Fred Upton,1
Dean Phillips for Congress,1
Working Families Party,0
VoteTogether,0
USA for UNHCR,0
Tony Evers,0
Tina Smith,0
The Wilderness Society,0
The Ripp Report,0
The Longshore Institute,0
Swing Left,0
Shield Republic,0
Shaun King,0
Seafood Harvesters of America,0
Science for Humans and Freedom Institute,0
Savehoot,0
Rick Green,0
President Trump Fans,0
Power In Cooperation,0
Planned Parenthood Action,0
Phone2Action,0
Phil Bredesen,0
Our Kids 1st - Our Schools Now,0
Oceana,0
Ocean Conservancy,0
No Kid Hungry,0
National Network of Abortion Funds,0
National Democratic Redistricting Committee,0
Military Officers Association of America (MOAA),0
MedicareSupplement.com,0
Mat Stein,0
Maple Heights African American Gazette,0
Louder with Crowder,0
Lessons from Military History,0
Klean Kanteen,0
Jeffcoat for House District 81,0
Janet Mills,0
JD and Kate Industries,0
Investigate 538,0
In the Woods with Phil,0
Hill4Mayor,0
Heifer International,0
Giving Brush,0
Giffords,0
Frances Akridge for HSV,0
Everytown for Gun Safety,0
Energy Citizens,0
Democrats,0
Democratic Party,0
DeSmogBlog,0
David Baria for Mississippi,0
Dana Balter for Congress,0
Conservative Tribune,0
Committee to Rebuild Maine's Middle Class,0
Co-ops Vote,0
Catholic Relief Services,0
Carolyn Parker for Mayor of Gadsden,0
Campbell For NC Senate,0
Blue Wave,0
Be A Hero,0
Armed American Supply,0
American Jewish World Service - AJWS,0
Alli for Alabama,0
Alan Maio,0
AFGE,0
