Unite Alaska,305000
Planned Parenthood Action,132034
MoveOn,50000
ACLU,40410
Stand for Alaska,25000
Stand For Salmon,16000
Cook Inletkeeper,15966
Demand Justice,11104
Protect Our Care Alaska,5000
Marna Sanford for FNSB Assembly,5000
Sackett 4 House,3000
Kimp for Alaska,1000
Hale for Assembly,1000
Chuck Kopp for State House,1000
Alaska Republican Party,1000
Heidi Heitkamp,980
Donald J. Trump,640
NAACP Legal Defense Fund,394
Conservative Gear,222
Concealed Online,169
Democratic Coalition Against Trump,110
American AF,92
National Republican Congressional Committee,88
4ocean,86
Claire McCaskill,62
Get Loud Now,60
Catholic Relief Services,39
CARE,39
National Constitution Center,34
Elizabeth Warren,33
Support The 2nd Amendment,30
Parks Project,30
UltimateStraw,24
PCCC - BoldProgressives.org,24
Indivisible Guide,24
Military Officers Association of America (MOAA),21
Blue Wave,21
Environmental Defense Fund,20
Be A Hero,20
Russian America TV,18
Arkansans for Jobs and Justice,18
MJ for Texas,17
Kamala Harris,17
Beto O'Rourke,12
OAF Nation,11
PowerLabs,10
Kim Bost for NC House,8
Conservative Tribune,8
Marggie Castellano for State Senate 36th District,7
Everytown for Gun Safety,6
League of Women Voters of the U.S.,5
Winning For Women,4
The Ben Shapiro Show,4
Texans for Natural Gas,4
Kirsten Gillibrand,4
Kathy Manning,4
Greenpeace USA,4
Bill Nelson,4
Wealth Creation Investing,3
We The People Holsters,3
Time To Vote On Climate,3
Stand Up America,3
PragerU,3
NRDC Action Fund,3
FrackFeed,3
Democrats,3
Working Families Party,2
Tony Evers,2
National Network of Abortion Funds,2
Kathy Hoffman,2
Giffords,2
Energy Citizens,2
Bob Casey,2
AFGE,2
United States Holocaust Memorial Museum,1
Surfrider Foundation,1
Rick Green,1
Representative Steve Mentzer,1
Premium Care For Seniors,1
Kyrsten Sinema,1
JJ for JP,1
Democratic Senatorial Campaign Committee (DSCC),1
Cort VanOstran for Congress,1
Congressional Leadership Fund,1
Civic Action Network,1
Chris Murphy,1
Bird + Stone,1
VoteYes4Success,0
United States Constitution,0
Tina Smith,0
The Leadership Conference on Civil and Human Rights,0
The Collective PAC,0
Tammy Baldwin,0
Swing Left,0
Southeast Alaska Conservation Council,0
Resist Trump's agenda,0
Pursuit,0
President Joe Shirley, Jr.,0
Power In Cooperation,0
Patricia Faye-Brazel for State House,0
Oceana,0
No Kid Hungry,0
Newday Impact Investing,0
National Park Foundation,0
National Democratic Redistricting Committee,0
Nankervis for House,0
NRDC,0
Mercy Corps,0
MedicareSupplement.com,0
Lessons from Military History,0
Leah For Assembly,0
Jewish Voice Ministries International,0
Janet Mills,0
Heifer International,0
Goods Unite Us,0
Giving Brush,0
FEE,0
Devoted Apparel,0
Democratic Party,0
David Baria for Mississippi,0
Bryce Edgmon for State House,0
Armed American Supply,0
Ammar Campa for Congress,0
American Jewish World Service - AJWS,0
Alyse Galvin for Congress,0
Adam Schiff,0
