Planned Parenthood Action,1074900
YES on 127: Clean Energy for a Healthy Arizona,920000
Arizonans 4 Affordable Electricity,744000
Kelli Butler for Arizona,601000
Our Lives Our Vote,474000
NumbersUSA,400636
Knock The Vote,387000
Winning For Women,316000
Stanton for Arizona,205000
Demand Justice,201000
Working For Us,167000
Human Rights Campaign,164014
David Garcia,142000
Arizona Senate Victory PAC,141000
DefendArizona,128000
Kiana Maria Sears,69000
NextGen America,60000
Solar Programs In AZ Counties,57000
Kathy Hoffman,46000
Voto Latino,39000
Kyrsten Sinema,35997
Ducey for Governor,32992
Yes On 418,22000
Tom Steyer,22000
Syms for Arizona,21000
Solar Energy Today,21000
Andy Biggs,21000
MoveOn,20045
AZTV,20000
Brill for Congress,16000
Sean Bowie,15000
Lea Marquez Peterson for Congress,15000
Kathy Petsas AZ,11000
The Voter Participation Center,10256
Home Financial Helper,7000
The Wilderness Society,6000
Center for Arizona Policy,6000
Daniel Valenzuela for Mayor,5000
Ben Carmitchel for State Senate 16th District,5000
I Love You, America,4779
Heidi Heitkamp,4732
Donald J. Trump,3220
4ocean,3212
Citizens Clean Elections Commission,2993
Democrats,2190
Tom O'Halleran,2000
Marie Sullivan for Maricopa Community Colleges - District 3,2000
Penzeys Spices,1428
Jennifer Pawlik,1000
Flagstaff Sustainability Program,1000
City of Tempe Government,1000
Arizona State Representative Regina E. Cobb, DDS,1000
Conservative Gear,971
Judicial Watch,968
Indivisible Guide,954
Anna Caballero for Senate,737
Kamala Harris,497
Politicon,480
Democratic Coalition Against Trump,402
Animal Protection Voters,323
RSCC,298
Finance Watchdogs,295
World Wildlife Fund,230
National Republican Congressional Committee,220
Turning Point USA,199
VoteTogether,187
American AF,183
Concealed Online,164
Electric Nation: Powered By Wind,154
Center for Biological Diversity,149
Jewish Voice Ministries International,136
Sierra Club,111
Kirsten Gillibrand,106
AARP Oregon,98
Patients For Affordable Drugs Action,97
Be A Hero,96
Environmental Defense Fund,88
Energy Citizens,84
Klean Kanteen,79
Oxfam,70
Jetties Bracelets,63
dittymoji,61
Democratic Senatorial Campaign Committee (DSCC),61
Swing Left,53
Danny Tarkanian,49
Congressional Leadership Fund,49
Stand Up America,47
Circa,44
National Democratic Redistricting Committee,43
NRDC Action Fund,41
Imprimis, a Publication of Hillsdale College,34
USA for UNHCR,32
NRDC,24
Pi Yoga Pants,23
Giffords,22
CARE,20
PETA (People for the Ethical Treatment of Animals),18
Giving Brush,18
Solar Programs In Ca Counties,17
Goods Unite Us,17
AARP Member Benefits,17
SupChina,16
Progress NC Votes,15
FloridaStrong,15
Pfizer,14
NewsBusters.org,14
Catholic Relief Services,13
Shareblue Media,12
Mercy Corps,12
Heifer International,12
Newday Impact Investing,11
Jamie Santora for the 163rd,9
ACLU,9
Chris Murphy,7
MJ for Texas,6
Texans for Natural Gas,5
Lesley for CU Regent,5
VoteYes4Success,4
Janet Mills,4
Tim Barnsback for NC House,3
Maria Weekes For Judge,2
Heritage Action for America,1
YWCA Arizona - STAT-Stand Together Arizona Training & Advocacy,0
Working Families Party,0
Urban Hollywood 411,0
United States Holocaust Memorial Museum,0
Tony Evers,0
Tina Smith,0
Time To Vote On Climate,0
ThoughtFull,0
The Molina Law Group PLLC,0
The Collective PAC,0
Support The 2nd Amendment,0
Shield Republic,0
Shaun King,0
Sharice for Congress,0
Save the Redwoods League,0
Salt River Project,0
Resist Trump's agenda,0
Power In Cooperation,0
PolicyEd,0
Planned Parenthood,0
Oceana,0
Ocean Conservancy,0
No Kid Hungry,0
No DDC,0
National Park Foundation,0
National Network of Abortion Funds,0
Military Officers Association of America (MOAA),0
MedicareSupplement.com,0
Louder with Crowder,0
Linda Gross for the Az House- LD8,0
LifeDaily,0
Lessons from Military History,0
Know Colorado,0
Katie for Phoenix Union,0
John Legere,0
Jeff Merkley,0
Jeff Fine for Superior Court Clerk,0
James Thompson for Kansas,0
Instagram,0
I Am An Immigrant,0
Human Coalition,0
Geoff Diehl,0
Fred Upton,0
Flip 4 Clackamas,0
Fix Politics Now,0
Fipple,0
Everytown for Gun Safety,0
End Citizens United,0
Elizabeth Warren,0
Elaissia Sears for West Mesa Justice of the Peace,0
E. O. Wilson Biodiversity Foundation,0
Democratic Party,0
Debbie Lesko for Congress,0
David Baria for Mississippi,0
Conservative Tribune,0
Common Sense Fusion,0
Coconino County Democratic Party,0
Co-ops Vote,0
ClearPath Action Fund,0
Citizens for Transportation Solutions,0
Chris Manning for Congress,0
Campbell For NC Senate,0
CREDO Mobile,0
Blue Wave,0
Armed American Supply,0
Arizona Democrats of Legislative District 18,0
Animal Matters,0
American Jewish World Service - AJWS,0
2atees1,0
