Yes On 10,1557000
No Prop 6,1210000
No Prop 8 - Stop the Dangerous Dialysis Prop,797000
NumbersUSA,399945
Denham Says, Denham Does,351000
Carl DeMaio,279000
Goal SD,200000
Kamala Harris,198000
Solar Energy Today,149000
Shareblue Media,146012
Travis Allen,133000
Andrew Janz,119000
Housing Now,100000
Harley Rouda,99000
LCV Victory Fund,97000
Josh Harder,90000
Young Kim,80000
Everytown for Gun Safety,80000
FutureinAmerica,61000
Yes on Measure V, Vote Affordable San Jose,60000
The Wilderness Society,59000
Safe Clean Water L.A.,53000
Julia Brownley for Congress,52000
TJ Cox for Congress,50000
National Union of Healthcare Workers,50000
My Pay My Say,50000
Solar Programs In Ca Counties,47987
Re-Open Our Local Hospital- Yes on Measure H,47000
ACLU of Southern California,38000
Politicon,37426
Educators for Thurmond for State Superintendent of Public Instruction,36999
Alamedans in Charge for a Fair and Affordable City,35000
Giselle Hale for RWC Council,32000
Tom Steyer,31000
Mark Meuser,30000
Buffy Wicks,28000
Susan Ellenberg for Supervisor 2018,22000
Yes on P - Fresno for Parks,20000
Keep Them Accountable,20000
Doug LaMalfa for US Representative,20000
Stanford Health Care,19000
Save the Redwoods League,18000
Central Valley Citizens for Responsible Government,18000
Restore Our Values,17000
Our Lives Our Vote,17000
Gordon Mar for Supervisor 馬兆明市參事,17000
4ocean,16887
Santa Ana Police Officers' Association I.E.C #1255606,16000
The Napolin Law Firm,15000
No Kid Hungry,15000
Katalina Penland for El Centro Elementary School Board,15000
Jag Bains for Natomas School Board,15000
MoveOn,14553
Beto O'Rourke,14012
Voto Latino,13000
Christie Cromeenes for Salinas City Council,13000
POW Action Fund,12000
Donald J. Trump,11146
Yes On Prop. 2 - No Place Like Home,11000
SoCal Priorities,11000
Charlene Metoyer,11000
Bryan Colebrook for Kern High School District Trustee Area 4,11000
Bruce 4 Roseville City Council,11000
Heidi Heitkamp,10552
Mi Familia Vota,10328
Veterans and Affordable Housing Act,10000
The Other 98%,10000
Spencer Dress for Walnut Creek City Council,10000
PGE Lawsuit,10000
Joy Motts for Antioch City Council 2018,10000
Jason PEREZ for Calpers 2018,10000
Henry Alexander III,10000
Dr. Ken Wright for US Congress,10000
Devin Nunes,10000
Catharine Baker,10000
Alliance for Climate Education,10000
AARP California,10000
Brian Maienschein,8000
Senator Andy Vidak,7000
Duane Roberts for Anaheim City Council, District 2,7000
Congressional Leadership Fund,6679
Pfizer,6119
Krista Bernasconi for Roseville City Council,6000
Jason Galisatus for Redwood City Council,6000
Informed Vallejo,6000
Carlsbadcares,6000
World Wildlife Fund,5998
National Republican Congressional Committee,5414
Vipan Bajwa for City Council,5000
Shawn Mulchay for Camarillo City Council,5000
Modesto Irrigation District,5000
Michael Gaddis for Bonsall School Board,5000
Manveer for Fairfield City Council,5000
John Park For Irvine City Council,5000
John Cox for Governor 2018,5000
Hollywood Village,5000
Heifer International,5000
Alan Geraci for Assembly,5000
The Voter Participation Center,4755
Kern Cast,4000
Desley Brooks,4000
Citizens PAC,4000
Anna Pletcher for District Attorney,4000
Every State For Israel,3505
Marggie Castellano for State Senate 36th District,3039
South Bay Labor Council,3000
Manteca Trailer & Motorhome, LLC,3000
Devon Mathis For Assembly,3000
Citizens for Ethical Representation,3000
Assemblyman Tom Lackey,3000
UltimateStraw,2568
Democrats,2171
Klean Kanteen,2166
YES on M: SC for Rent Control,2000
United Latinx Fund,2000
San Luis Obispo County Sheriff's Office,2000
Reality Alert & Election Forum,2000
Rachel Kertz for San Rafael,2000
Mark Gibboney For Mayor,2000
Jill Gayaldo for Rocklin City Council,2000
Jackie Elward for Rohnert Park City Council,2000
Dallas For Mayor,2000
California Reinvestment Coalition,2000
CARE About Housing,2000
CA25 United for Progress,2000
Adonica,2000
Adam Schiff,2000
Sonja Trauss,1979
Center for Biological Diversity,1952
RSCC,1764
Be A Hero,1642
Circa,1348
Concealed Online,1251
ACLU,1235
Yes on G, Residents for Excellent Schools,1000
YES on G for Placer High School,1000
Vote Bellomo for Santa Monica City Council,1000
Tyller Williamson for Monterey City Council,1000
Ty Alper,1000
Trump Liar In Chief,1000
Tony Cho for Los Angeles County Superior Court Judge,1000
Stu News Laguna,1000
Speak Up For Education and Kids,1000
Sigala for Assembly 2018,1000
Shawn Kumagai for Dublin City Council,1000
