Coloradans for Fairness,456000
Diane Mitsch Bush for Colorado CD3,103999
No On Prop 112,61000
Better Colorado Now,60000
JeffCo Proud,53000
Jared Polis,51000
Lesley Dahlkemper,31000
Everytown for Gun Safety,21000
ACLU,20691
Together Colorado,20000
Airbnb Citizen,20000
Unite America,17000
Solar Energy Today,16000
Shareblue Media,14558
Voto Latino,14000
Save Our State -Colorado,14000
Solar Rebate,12000
The Wilderness Society,10999
Texas Public Policy Foundation,10000
Human Rights Campaign,10000
El Paso County Democratic Party,10000
Colorado Democratic Party,8000
Senate Majority Fund IEC,7000
Lesley for CU Regent,7000
The Voter Participation Center,6149
Colorado Way,6000
Peaks to People Water Fund,5669
Instagram,5321
Prosperity Denver,5000
Claire McCaskill,4988
The Leadership Conference on Civil and Human Rights,4046
Concealed Online,3829
Planned Parenthood Action,3636
Tony Pigford for Denver City Council At-Large,2000
KHEN LP 106.9 FM Salida, Colorado,2000
Guinn Unger for Colorado State Senate,2000
Colton Black For La Plata County Treasurer,2000
Chris Kolker for House District 38,2000
Penzeys Spices,1348
Donald J. Trump,1261
State Representative Nathan Manning,1230
The Sentinel,1000
SEIU Local 105,1000
Retire Educated,1000
Re-Elect Garrett Wiggins for Routt County Sheriff,1000
Pharmacists United for Truth and Transparency,1000
Nicki Mills,1000
JeffCo Down Ballot,1000
George Brauchler for Colorado,1000
Dr. Tony Wolusky for CU Regent,1000
Roger Barris for Congress,999
MoveOn,455
National Republican Congressional Committee,377
Kamala Harris,308
American AF,291
Beto O'Rourke,255
Energy Citizens,187
World Wildlife Fund,185
Good Jobs Nation,181
Heidi Heitkamp,150
UltimateStraw,144
Center for Biological Diversity,114
Be A Hero,113
National Association of Manufacturers,107
Democratic Senatorial Campaign Committee (DSCC),105
PragerU,94
Blue Wave,82
The Nib,61
Mic Dispatch,61
Klean Kanteen,56
Pfizer,55
2atees1,53
Power In Cooperation,49
Bill Nelson,42
FloridaStrong,40
The Nature Conservancy,38
National Park Foundation,35
Voz Boricua,33
USA for UNHCR,32
Bird + Stone,30
Planned Parenthood,29
Goods Unite Us,24
Elizabeth Warren,24
CARE,24
E. O. Wilson Biodiversity Foundation,23
Swing Left,22
United States Holocaust Memorial Museum,21
Chris Murphy,21
Kirsten Gillibrand,20
National Democratic Redistricting Committee,19
CREDO Mobile,19
Jetties Bracelets,17
James Thompson for Kansas,17
Arkansans for Jobs and Justice,17
Judicial Watch,16
VoteTogether,14
Democrats,14
Turning Point USA,12
Support The 2nd Amendment,11
Janet Garrett for Congress,11
Indivisible Guide,11
Tony Evers,10
Science for Humans and Freedom Institute,10
Premium Care For Seniors,10
ArtProfileratx,10
RedBlue Tracker,8
Oxfam,7
Armed American Supply,7
Winning For Women,6
Mayor Matt Hall,5
Marggie Castellano for State Senate 36th District,5
Jamie Santora for the 163rd,5
Pat Boyd,3
Kathy Hoffman,3
Janet Mills,3
Rick Green,2
Marna Sanford for FNSB Assembly,1
Karen For Kentucky,1
dittymoji,0
Yes on 6C - Citizens Supporting Local Fire Protection,0
Yes on 6A - Citizens Supporting Local Fire Protection,0
Yes 2 Air,0
Working Families Party,0
Williams For OPPD,0
Thomas Weldon for Jeffco Coroner,0
The Right Way,0
The Resurgent Left,0
The Bell Policy Center,0
Tammy Baldwin,0
THE TRUMP NETWORK,0
Stand Up America,0
Shield Republic,0
Shaun King,0
Sharice for Congress,0
Seth Cagin,0
Save the Redwoods League,0
Rep. Jeff Bridges,0
Re-elect Irene Josey, Larimer County Treasurer,0
Rant Nation with Graham Allen,0
ProgressNow Colorado,0
Politicon,0
Phil Weiser,0
Paula Stepp For Garfield Cty,0
Our Colorado Values,0
Oceana,0
Ocean Conservancy,0
Northrop Grumman Corporation,0
National Network of Abortion Funds,0
NRDC Action Fund,0
NRDC,0
NRA - National Rifle Association of America,0
Military Officers Association of America (MOAA),0
Mercy Corps,0
Mariposa Law Offices,0
Marc Snyder for House District 18,0
Lupe Valdez,0
Louise Valentine for State Senate,0
LifeDaily,0
Kyrsten Sinema,0
Know Colorado,0
Kimberly Powers for Central City Council,0
Josh Harder,0
Jonathan Boos for State Representative,0
Jon Tester,0
Jeff Merkley,0
Jeff Johnson,0
Jarratt Applewhite for District 50,0
Interfaith Alliance of Colorado,0
I Am An Immigrant,0
Home Professionals,0
Heifer International,0
Greenpeace USA,0
Grady Nouis For CO State Rep.,0
Giving Brush,0
Environmental Defense Fund,0
Emma Pinter for Adams County Commissioner,0
Earthworks Action Fund,0
Democratic Party,0
David Baria for Mississippi,0
Dave Rose for State Representative HD 56,0
Conservative Tribune,0
Common Sense Policy Roundtable,0
CRTV Tonight with Gavin McInnes,0
Bobian for Colorado House,0
Association for Accessible Medicines,0
April Dawn Knudsen,0
Animal Matters,0
Amnesty International USA,0
American Jewish World Service - AJWS,0
Alyse Galvin for Congress,0
ACLU of Colorado,0
