John Legere,150000
Peter G. Peterson Foundation,25954
Color Of Change,20000
Association of American Railroads,20000
It's Time D.C.,16000
45Committee,12000
Consumer Action for a Strong Economy,5953
DoSomething.org,5000
Solar Rebate,3999
Heidi Heitkamp,2553
Beto O'Rourke,1206
Human Rights Campaign,1126
The New Media Firm,1000
Officer Noah A. Leotta Foundation,1000
Democrats,886
Swing Left,666
Kirsten Gillibrand,528
ACLU,422
Kamala Harris,397
Claire McCaskill,323
USA for UNHCR,319
Klean Kanteen,317
CLSA - California Life Sciences Association,298
No Kid Hungry,219
The Nib,202
Donald J. Trump,103
NAACP Legal Defense Fund,88
Oxfam,82
4ocean,78
Florida Democratic Party,75
FloridaStrong,73
Indivisible Guide,70
Pela Case,68
Bill Nelson,67
Democratic Senatorial Campaign Committee (DSCC),55
CARE,52
Judicial Watch,51
The Leadership Conference on Civil and Human Rights,48
World Wildlife Fund,40
End Citizens United,38
The Nature Conservancy,36
Elizabeth Warren,34
Upworthy,33
Allan Kittleman,31
Progress NC Votes,29
Anna Caballero for Senate,26
MoveOn,21
RSCC,20
Montgomery County for Nancy Floreen,19
League of Women Voters of the U.S.,16
Eric Bolling,15
Joe Cunningham,13
Chris Murphy,13
Vickie Yates Brown Glisson,12
Tax March,12
Fighting for our future,11
Stand Up America,10
E. O. Wilson Biodiversity Foundation,9
United States Holocaust Memorial Museum,8
Planned Parenthood Action,8
Oceana,8
South Dakotans for Progress,6
NRDC Action Fund,6
NRDC,6
Military Officers Association of America (MOAA),6
Circa,6
PolicyEd,5
National Republican Congressional Committee,5
Faith Johnson For District Attorney,5
Alan Maio,5
Tom Steyer,4
Pi Yoga Pants,4
Concealed Online,4
Pfizer,3
National Democratic Redistricting Committee,3
Bob Casey,3
The News and Why It Matters,2
Jetties Bracelets,2
Sue Hatfield for CT Attorney General,1
Shield Republic,1
National Network of Abortion Funds,1
Jewish Voice Ministries International,1
Jeff Merkley,1
Conservative Tribune,1
Winning For Women,0
Tony Evers,0
Tina Smith,0
The New State Solution,0
The Collective PAC,0
Tammy Baldwin,0
Standard News,0
Shaun King,0
Sharice for Congress,0
Science for Humans and Freedom Institute,0
Quorum,0
Power In Cooperation,0
Phone2Action,0
Phil Bredesen,0
Our Kids 1st - Our Schools Now,0
National Park Foundation,0
Montgomery County Democratic Party,0
Lessons from Military History,0
Karl Racine,0
Josh Harder,0
Jewelyn Cosgrove for School Board,0
Janet Mills,0
James Thompson for Kansas,0
Headline Shirts,0
Giving Brush,0
Energy Citizens,0
Democratic Party,0
Dana Balter for Congress,0
Council of Korean Americans (CKA),0
Civic Action Network,0
Character Matters in Washington County Maryland,0
Catholic Relief Services,0
Bird + Stone,0
Be A Hero,0
Animal Matters,0
American Jewish World Service - AJWS,0
African Wildlife Foundation,0
