Andrew Gillum,3999599
Bill Nelson,993000
Voters In Charge,871000
Just Vote No On 13,805000
Florida Conservation Voters,717000
Working For Us,601000
Knock The Vote,484000
NumbersUSA,400000
Alliance for Climate Education,321000
The Voter Participation Center,291225
Concealed Online,278451
Be Ready to Vote,257000
Rick Scott Is Not For Florida,185000
Anna For Florida,121000
Paolo Weston,104000
Priorities USA Action,80000
We Built This,60000
Lauren Baer for Congress,34000
Equality Florida,31998
Linda L. Gaustad for Judge,30000
Mel Martin for Florida Senate District 14,26000
Delores Johnson for FL State House Dist. 84,25000
Rob Levy for State Senate District 25,24000
Tom Steyer,20000
Tom Copeland for Lake Worth,20000
Voto Latino,18000
VoteTogether,18000
Local Majority,16329
Gus Bilirakis for Congress,16000
Florida House Victory,15000
Greg Steube,14000
Respeta Mi Gente,11000
Heath Rassner for Florida House 119,11000
Swing Left,10302
State Representative Manny Diaz Jr,10000
Robert S Weinroth, Democrat for County Commission,10000
Mamás Con Poder,10000
Liv Coleman for Florida State House District 73,10000
Jeffrey Marc Siskind for Attorney General,10000
Jeff Triplett for Sanford Mayor,10000
Florida Gun Rights,10000
Dustin Daniels for Mayor,10000
Craig DeThomasis for Alachua County Judge,10000
Carlos Curbelo,10000
One Florida Foundation,9999
Dr. Nicole Carr for Pinellas County School Board,9897
Donald J. Trump,9070
Will Robinson,9000
The Southern Alliance for Clean Energy,9000
Russian America TV,6000
Olivia Babis for FL Senate District 23,6000
Gloria Walker For Judge,6000
Everytown for Gun Safety,6000
Brent Latham for North Bay Village Mayor,6000
Nicole Haagenson for Florida,5888
The Western Journal,5368
Mi Familia Vota,5205
VoteYes4Success,5000
Representative Carlos Guillermo Smith,5000
Matt Fleming for County Commission - District 4,5000
Lois Pope LIFE Foundation,5000
Home Professionals,5000
Dana Young,5000
Beth4KeysEnergy,5000
Global Video Pros,4976
Ocean And Co.,4000
We Are The Mighty,3809
ACLU,3104
Allison Gilman For Judge,2834
Claire McCaskill,2225
4ocean,2172
Strengthen Our Schools,2000
Jeremy Ring,2000
Helen Henderson for St. Lucie County Commission, District 4,2000
Floridians For Clean Water,2000
Florida Daily,2000
FLIC Votes,2000
Doug Maesk for Tamarac City Commissioner District 4,2000
Alianza for Progress,2000
Stone4Judge,1996
Southwest Florida Water Management District,1995
Murray Insurance Agency,1991
Beto O'Rourke,1630
United States Constitution,1184
The Leadership Conference on Civil and Human Rights,1155
Vote George Neugent,1000
Randi Rhodes Show,1000
Pharmacists United for Truth and Transparency,1000
Maxine Cheesman for Circuit Court Judge,1000
Matt Caldwell,1000
Mario Diaz-Balart,1000
Kevin Reid for DeLand City Commission,1000
Jonathan Parker,1000
Gregory Caudill for Alachua County Commissioner,1000
Elizabeth Andersen for Duval County School Board,1000
Elect Ray Martin for Lauderhill City Commissioner, Seat 4,1000
Eduardo Soto Abogado Inmigracion,1000
Democratic Coalition Against Trump,1000
David Straz for Mayor,1000
Aventura Vice Mayor Bob Shelley,1000
Angelika Purkis,1000
Alachua County Democrats,1000
ACLU of Florida,1000
Operation Sacred Trust,974
Jorge Luis Lopez Law Firm,934
Exclusive Apparel,796
PolicyEd,683
The Nature Conservancy,678
Louder with Crowder,656
Blue Wave,477
World Wildlife Fund,468
American AF,383
Premium Care For Seniors,375
Survival Life,351
Conservative Gear,337
Environmental Defense Fund,255
National Republican Congressional Committee,220
Kirsten Gillibrand,220
Heifer International,155
Kamala Harris,138
Democratic Senatorial Campaign Committee (DSCC),138
Finance Watchdogs,112
Voters - Not Politicians,88
Time To Vote On Climate,87
NRDC Action Fund,87
Elizabeth Warren,79
FrackFeed,74
Eric Bolling,64
Turning Point USA,59
Ron Stephens,59
NRDC,59
The Ben Shapiro Show,55
Chris Murphy,55
POW Action Fund,42
G.I. Jobs Magazine,37
Defending Donald,36
Oxfam,35
Madison County Republicans,34
Klean Kanteen,34
USA for UNHCR,33
Sierra Club,32
Lesley for CU Regent,32
Planned Parenthood,30
Heidi Heitkamp,30
Human Rights Campaign,25
Ben McAdams,17
Rebecca Petty State Representative,14
James Thompson for Kansas,11
Allan Kittleman,11
Remove Judge Kelly Cross,9
Energy Citizens,4
Rick Green,3
The Longshore Institute,2
Josie Raymond for State Representative,1
politicallypunny.com,0
dittymoji,0
Working Families Party,0
Winning For Women,0
Viviana Janer for Osceola,0
Vitamin Angels,0
VOTE Hetherington,0
United Way of Greater New Haven,0
Tony Evers,0
Tina Smith,0
The Wilderness Society,0
The Right Way,0
The New Florida Majority,0
The Collective PAC,0
The Atlas Society,0
Texans for Natural Gas,0
Support The 2nd Amendment,0
Sunrise Center for Excellence in Chess,0
Stand Up America,0
St. Martin's Press,0
Solar Rebate,0
Smartwool,0
Shop Local Southwest Florida,0
Shawn Harrison For Florida House District 63,0
Shaun King,0
Sharice for Congress,0
Shari McCartney for Broward County Commission District 4,0
Seminole Committee for Government Accountability,0
Seafood Harvesters of America,0
Science for Humans and Freedom Institute,0
Save the Redwoods League,0
SAVE Action PAC,0
Ruta Maria Jouniari for Sarasota County Commission - District 2,0
Resistance School,0
Recovery PAC,0
Re-Elect Commissioner Kevin Biederman Hollywood District 5 Team,0
Rant Nation with Graham Allen,0
Progress Puerto Rico,0
Power In Cooperation,0
Planned Parenthood Advocates of Michigan,0
Phone2Action,0
Phil Bredesen,0
Phil Beracha Campaign,0
Pfizer,0
Patriot Productions,0
Pasco Democratic Party,0
Palm Beach Civic Association,0
Orlando Political Observer,0
Okaloosa County Supervisor of Elections,0
Oceana,0
Ocean Conservancy,0
No on Prop C,0
No Kid Hungry,0
National Network of Abortion Funds,0
National Democratic Redistricting Committee,0
Nate Kilton, Plant City Commissioner,0
MoveOn,0
Military Officers Association of America (MOAA),0
Miami-Dade Democrats,0
Meshon Rawls for Alachua County Judge,0
Mercy Corps,0
Maria Weekes For Judge,0
Log Cabin Republicans of Broward,0
Let's Talk About It Radio Talk Show,0
Lessons from Military History,0
Laura Shaffer For Circuit Court Judge,0
Kyrsten Sinema,0
Justin York for Lake Mary City Commission, Seat 1,0
Josh Harder,0
John Legere,0
Jeff Merkley,0
Jeff Brandes,0
Jan Schneider,0
Issue One,0
Instagram,0
Indivisible Guide,0
Important, Not Important,0
Human Coalition,0
Headline Shirts,0
Great America PAC,0
Giving Brush,0
Fred Upton,0
Floridians For Freedom,0
FloridaPolitics,0
Florida Immigrant Coalition,0
Florida Democratic Party,0
Fipple,0
End Citizens United,0
Democrats,0
Democratic Party,0
Demand Justice,0
Debbie Jordan for Lee County School Board Dist. 4,0
David Baria for Mississippi,0
Daveellisforjudge,0
Darryl Sheppard For Sheriff,0
Dana Balter for Congress,0
Craig Huey,0
Conservative Tribune,0
Conservation International,0
Color Of Change PAC,0
Co-ops Vote,0
ClearPath Action Fund,0
Cindy Lake For County Commission G,0
Christian Ziegler for County Commission,0
Change The Date,0
CRTV Tonight with Gavin McInnes,0
CREDO Mobile,0
CARE,0
Brian Spencer for Pensacola Mayor,0
Brandon Arrington, Osceola County Commissioner,0
Be A Hero,0
Association for Accessible Medicines,0
Armed American Supply,0
Animal Matters,0
Andrew Stoddard for HD44,0
American Jewish World Service - AJWS,0
Alyse Galvin for Congress,0
Alex Heeren,0
Alan Maio,0
Adam Schiff,0
Adam Jortner for Alabama Board of Education,0
ASMDSS,0
APAW,0
AM 860 The Answer,0
32BJ SEIU,0
