Solar Rebate,28000
Airbnb Citizen,14000
Love Maui,10000
Juno Ann Apalla,6000
Pono Hawai'i Initiative,2000
ConAm For Keiki,2000
Instagram,1000
Planned Parenthood,542
Tom Steyer,538
Penzeys Spices,454
NARAL Pro-Choice America,278
Klean Kanteen,249
Good Jobs Nation,247
PETA (People for the Ethical Treatment of Animals),186
Donald J. Trump,151
4ocean,107
Conservative Gear,95
PragerU,78
Be A Hero,75
NewsBusters.org,73
ACLU,72
MoveOn,63
Kamala Harris,53
The Nature Conservancy,51
Jon Tester,50
UltimateStraw,47
dittymoji,46
My Pay My Say,46
Concealed Online,45
Jetties Bracelets,40
Bird + Stone,35
Bottom Line With Boris Epshteyn,34
Heidi Heitkamp,32
NRDC Action Fund,24
Planned Parenthood Action,21
American AF,19
Dean Phillips for Congress,17
Color Of Change,17
Anna Caballero for Senate,16
Indivisible Guide,15
Swing Left,13
National Republican Congressional Committee,13
Jeff Merkley,11
ClearPath Action Fund,11
Alexandria Ocasio-Cortez,7
EMILY's List,6
Arizona State Representative Regina E. Cobb, DDS,6
Stand Up America,5
United States Holocaust Memorial Museum,4
The Ben Shapiro Show,4
Kyrsten Sinema,4
Everytown for Gun Safety,4
VoteTogether,3
Allison Gilman For Judge,3
The Western Journal,2
James Thompson for Kansas,2
Conservative Tribune,2
Winning For Women,1
Portside,1
Lesley for CU Regent,1
Arkansans for Jobs and Justice,1
VoteYes4Success,0
Tina Smith,0
Support The 2nd Amendment,0
Shaun King,0
PolicyEd,0
Oxfam,0
Oceana,0
Ocean Conservancy,0
National Network of Abortion Funds,0
National Democratic Redistricting Committee,0
NRDC,0
Mercy Corps,0
Lessons from Military History,0
Keepsakes Plus,0
Janet Mills,0
FEE,0
Environmental Defense Fund,0
Doris for Congress,0
Democrats,0
Democratic Senatorial Campaign Committee (DSCC),0
Democratic Party,0
Dana Balter for Congress,0
County of Union, New Jersey,0
Committee to Rebuild Maine's Middle Class,0
Civic Action Network,0
CARE,0
Blue Wave,0
Amnesty International USA,0
92nd Street Y,0
