Robert F. Wright, Attorney at Law,43011
The Kentucky Initiative,23000
Human Rights Campaign,10002
National Wildlife Federation Action Fund,10000
Mitch McConnell,10000
Debra Hembree Lambert for Kentucky Supreme Court,10000
Morgan Eaves for District 81 State Representative,6000
Eric E. Whisman for Frankfort City Commissioner,6000
Solar Energy Today,5000
Jeff Wilson for Sheriff,5000
Kentucky People's PAC,3000
Heritage Action for America,3000
Swing Left,2809
Write-in Bonnie Wheeler Hardin County Sheriff,2000
Re-Elect Sheriff Peanuts Gaines,2000
Denise Gray For Kentucky,2000
Brett Hightower for Warren County Sheriff,2000
Steve Kay for Council at Large,1999
Donald J. Trump,1237
NewsBusters.org,1093
Stephanie King-Logsdon for Circuit Court Clerk,1000
Re-Elect Judge Nick Burlew,1000
NRDC,1000
Mica Wood Pence For Family Court Judge,1000
Malcolm Cherry For State Representative,1000
Kelli Kearney for District Judge,1000
Jason Mccraw for Mayor,1000
Christian Motley for 8th District Council,1000
Charles Arnold,1000
Billy Michael Collett for Sheriff of Leslie County,1000
Adam O'Nan for Union County Judge Executive,1000
Concealed Online,904
Jason C. Stephens, Lawrence County Auditor,882
Heidi Heitkamp,748
NARAL Pro-Choice America,715
RSCC,667
Judicial Watch,641
State Representative Joe Fischer,583
Andrew Gillum,526
National Republican Congressional Committee,306
Jeff Merkley,291
Proud Right Winger,272
Humane Society International,237
Beto O'Rourke,206
We Are The Mighty,181
Elizabeth Warren,166
Kirsten Gillibrand,138
Anti-Terrorism Explosion Injury Lawsuits,136
Wolf-PAC,132
The Atlas Society,116
The Western Journal,113
Anna Caballero for Senate,101
CARE,100
Claire McCaskill,97
Kamala Harris,77
VoteTogether,71
World Wildlife Fund,57
No Kid Hungry,48
MoveOn,48
End Citizens United,45
FloridaStrong,41
Planned Parenthood Action,32
Build With Strength,29
National Democratic Redistricting Committee,28
Move This World,27
NRSC,26
ACLU,24
Director Joe Kuebler, EMWD,21
Blue Wave,19
NRDC Action Fund,18
Ammar Campa for Congress,18
Support The 2nd Amendment,15
Patriot Depot,15
Come Back Obama,15
The News and Why It Matters,14
Fipple,14
Stand Up America,13
Military Officers Association of America (MOAA),13
USA for UNHCR,12
Tax March,12
LevinTV,12
Maria Weekes For Judge,11
FrackFeed,11
Science for Humans and Freedom Institute,9
Center for Biological Diversity,9
Will Robinson,6
POW Action Fund,6
Tom Steyer,5
The Nature Conservancy,5
Kanew for Congress,5
Indivisible Guide,5
MJ for Texas,4
ClearPath Action Fund,4
Adam Schiff,4
Mayor Andi Summerville Laramie City Council,3
AFGE,3
Portside,2
Alicia Scott for Georgia District 164,2
Shareblue Media,1
Fred Upton,1
dittymoji,0
Winning For Women,0
William Downey for Magistrate, Woodford County,0
Voters Decide,0
Turning Point USA,0
Tina Smith,0
The Collective PAC,0
Stinnett for Montgomery County Commissioner,0
Stephanie Compton for Kentucky Senate,0
Shield Republic,0
Shaun King,0
Save the Redwoods League,0
Sarah Hays for District Judge,0
Robbie Smither for Shelby County Magistrate, 5th District.,0
Resist Trump's agenda,0
Representative Steve Mentzer,0
Re-Elect Sheriff Mike Lowell,0
Power In Cooperation,0
Planned Parenthood,0
Phil Bredesen,0
Patti Minter for Kentucky,0
Oceana,0
National Park Foundation,0
National Network of Abortion Funds,0
NRA - National Rifle Association of America,0
Mercy Corps,0
Maple Heights African American Gazette,0
Louise Valentine for State Senate,0
Liles Taylor for Magistrate,0
Lessons from Military History,0
Laura White-Brown For Morehead Mayor,0
Klean Kanteen,0
Kevin Gaither for Congress,0
Kentucky Local News,0
Kentucky Family Values,0
John Legere,0
Jeffers for Sheriff,0
Jarratt Applewhite for District 50,0
Janet Booth,0
JR Stanley for Magistrate District 1 Henderson County,0
Innocence Project,0
Heifer International,0
Greg Pohlgeers for Fort Mitchell City Council,0
Faith Johnson For District Attorney,0
Drake for District 23,0
Donielle M. Lovell for State Representative,0
Dennis Potvin,0
Democratic Senatorial Campaign Committee (DSCC),0
Democratic Party,0
Democratic Coalition Against Trump,0
David Baria for Mississippi,0
Craig Huey,0
Conservative Tribune,0
Conservation International,0
CRTV Tonight with Gavin McInnes,0
Brent Yonts for 15th District State Representative,0
Bobby Kuppers for NC Senate,0
Bill Nelson,0
Ben Baker for Mayor, Dayton Ky,0
Be A Hero,0
Armed American Supply,0
Alyse Galvin for Congress,0
Allison Gilman For Judge,0
