Solar Rebate,21000
Put Louisiana First,21000
Terrebonne Parish President Gordon Dove,15000
Louisiana Citizens for Job Creators,10000
Jesse Schmidt for US Congress La 2nd District,10000
DoSomething.org,10000
Rebuild Louisiana,9993
Committee to Elect Mark C. Morgan,8000
Adrian Perkins for Mayor of Shreveport,7000
Judge Jimbo Stephens for Court of Appeal,5000
Summerfield Apartment Homes,4000
Ryan Trundle for Congress,1902
Donald J. Trump,1637
Steven Jackson for Mayor,1000
Friends of Judge Sharon Marchman Campaign Committee,1000
Don Little for School Board,1000
Committee to Elect Omar Mason - Judge,1000
Brian Glorioso for State Representative District 90,997
Planned Parenthood Action,439
Concealed Online,413
Penzeys Spices,316
National Republican Congressional Committee,252
American AF,212
Arkansans for Jobs and Justice,205
theugliestamerican.org,203
VoteTogether,193
United States Constitution,192
Judicial Watch,192
PragerU,188
Power In Cooperation,179
The Nature Conservancy,136
Elizabeth Warren,114
Conservative Gear,107
Premium Care For Seniors,89
Pfizer,76
Mic Dispatch,70
Save Elephants,65
Kamala Harris,65
Planned Parenthood,54
MJ for Texas,51
Energy Citizens,50
Oceana,49
Science for Humans and Freedom Institute,47
RedBlue Tracker,40
Kirsten Gillibrand,33
Military Officers Association of America (MOAA),32
David Baria for Mississippi,31
Exclusive Apparel,28
Missy Morris for House,26
2atees1,25
Conservative Tribune,23
Support The 2nd Amendment,22
I'll go ahead and keep my guns, Thanks,21
Democratic Senatorial Campaign Committee (DSCC),19
Bill Nelson,19
ACLU,19
Will Robinson,16
The Black Women's PAC,15
Chris Murphy,14
Turning Point USA,13
Swing Left,13
Patriot Depot,13
Jon Tester,12
Everytown for Gun Safety,12
Be A Hero,12
PETA (People for the Ethical Treatment of Animals),11
FloridaStrong,9
Marggie Castellano for State Senate 36th District,8
Stand Up America,7
Andrew Gillum,7
MoveOn,6
Lesley for CU Regent,5
Angie Craig,5
Indivisible Guide,4
Maria Weekes For Judge,3
American Jewish World Service - AJWS,3
Tony Evers,2
Mayor Matt Hall,2
Kyrsten Sinema,2
32BJ SEIU,2
Rick Green,1
Cort VanOstran for Congress,1
Winning For Women,0
Tom Steyer,0
Tina Smith,0
The Rutherford Institute,0
The Right Way,0
Texas Public Policy Foundation,0
Texans for Natural Gas,0
Stuart Moss for State Representative,0
St. Martin's Press,0
Shield Republic,0
Shaun King,0
Sharice for Congress,0
Sam DiVittorio for District 4 Hammond City Council,0
Planned Parenthood Advocates of Michigan,0
Oxfam,0
No Kid Hungry,0
New Orleans Workers' Center for Racial Justice,0
National Network of Abortion Funds,0
National Democratic Redistricting Committee,0
NRDC,0
Mike Garic for Washington Parish Council,0
Mercy Corps,0
MedicareSupplement.com,0
Louisiana Secretary of State Kyle Ardoin,0
Lessons from Military History,0
Lebowski Lovers,0
Kevin Daley for State Senate,0
Kentucky Family Values,0
Josh Guillory for Congress,0
John Legere,0
Jeff Merkley,0
James Thompson for Kansas,0
I Am An Immigrant,0
Human Rights Campaign,0
Human Coalition,0
Heifer International,0
Heidi Heitkamp,0
FrackFeed,0
End Citizens United,0
Dr. Kim Schrier,0
Democratic Party,0
Demand Justice,0
David N Smith - Scottsdale City Council 2018,0
Conservatives Concerned about the Death Penalty,0
Conservation International,0
Co-ops Vote,0
Cheddar,0
Charlee Renaud Lear for Mayor,0
Catholic Relief Services,0
CARE,0
Blue Wave,0
Becket,0
Armed American Supply,0
Animal Matters,0
Amnesty International USA,0
