Yes on 1 - Mainers for Home Care,230000
Planned Parenthood Action,142013
Marty Grohman for Congress,108861
MoveOn,105056
With Honor,99961
Demand Justice,21000
Chellie Pingree,14945
Rachel's Action Network,10000
Jeff Timberlake for Maine Senate,10000
Janet Mills,10000
DoSomething.org,10000
Angus King,9000
Stand Up Susan,6000
Jared Golden for Congress,4996
NAACP Legal Defense Fund,4107
Maine Matters,4000
Maine Republican Party,3000
Joey Brunelle for Portland,3000
Michael Brennan for Maine House District 36,2000
Noah Arthur Cobb,1000
Jon Torsch for Portland City Council, District 2,1000
Janice Barter,1000
Derek,1000
Charles "Will" Hawkins For Windham Town Council,1000
Donald J. Trump,530
Democratic Coalition Against Trump,484
Herd on the Hill,373
The Leadership Conference on Civil and Human Rights,354
PragerU,224
Kamala Harris,137
Elizabeth Warren,106
Stand Up America,86
Nine Line Apparel,78
EMILY's List,69
Yale Environment 360,59
The Nature Conservancy,54
National Republican Congressional Committee,46
Exclusive Apparel,43
Kirsten Gillibrand,40
E. O. Wilson Biodiversity Foundation,40
Beto O'Rourke,39
MJ for Texas,37
No Kid Hungry,34
Blue Wave,34
ACLU,34
Oxfam,32
National Democratic Redistricting Committee,28
Concealed Online,28
Claire McCaskill,28
Bill Nelson,24
Andrew Gillum,23
Turning Point USA,22
UltimateStraw,21
FloridaStrong,20
Mic Dispatch,18
VoteTogether,16
Giving Brush,14
American AF,13
Rick Green,12
The Collective PAC,10
Kiana Maria Sears,9
Be A Hero,9
NRDC,8
Indivisible Guide,8
PETA (People for the Ethical Treatment of Animals),7
National Park Foundation,7
Freedom Club,6
Clarke Tucker for Congress,6
Alana,6
dittymoji,5
Democrats,5
Arizona State Representative Regina E. Cobb, DDS,5
Politicon,4
Kim Bost for NC House,4
Chris Murphy,4
CRTV Tonight with Gavin McInnes,4
Bob Weiner,4
The News and Why It Matters,3
Heidi Heitkamp,3
Finance Watchdogs,3
CARE,3
Power In Cooperation,2
PolicyEd,2
Shareblue Media,1
James Thompson for Kansas,1
Human Rights Campaign,1
Dean Phillips for Congress,1
Winning For Women,0
WhyHunger,0
We Are The Mighty,0
VoteYes4Success,0
USA for UNHCR,0
Tom Steyer,0
Tiffany Roberts-Lovell,0
Thompson For House District 92,0
The Rutherford Institute,0
The Atlas Society,0
Tammy Baldwin,0
Swing Left,0
Support The 2nd Amendment,0
Shaun King,0
Sharice for Congress,0
Senator Justin Chenette,0
Science for Humans and Freedom Institute,0
Resist Trump's agenda,0
Rant Nation with Graham Allen,0
Proud Right Winger,0
Pfizer,0
Oceana,0
Native American Rights Fund,0
National Network of Abortion Funds,0
Nancy Colwell For House District 133,0
NRDC Action Fund,0
Michael McKinney For Maine State Senate,0
Mercy Corps,0
Matt Pouliot,0
Maine Coast Heritage Trust,0
Lesley for CU Regent,0
Kyrsten Sinema,0
Know Colorado,0
Klean Kanteen,0
Josh Harder,0
Joanne Powell for Worcester County Clerk of Courts,0
Instagram,0
Heifer International,0
Giffords,0
Eric Bolling,0
End Citizens United,0
Doyel for Florida,0
Democratic Senatorial Campaign Committee (DSCC),0
Democratic Party,0
David Baria for Mississippi,0
Conservative Tribune,0
Concerned Taxpayers of Scarborough, Maine,0
Change The Date,0
Bruce White Candidate for Maine House of Representatives, District 109,0
Amy Glidden,0
Adam Schiff,0
