Marc Elrich for County Executive,220000
David Trone,121000
Allan Kittleman,53957
Solar Energy Today,26001
Larry Hogan,25000
Anne Colt Leitess for Anne Arundel County State's Attorney,24000
My Pay My Say,10000
DoSomething.org,10000
Friends of Joe Parsley for Frederick County Council District 3,5000
Colleen Ebacher for Baltimore County Council District 3,5000
Harvey Jacobs For Maryland Delegate Legislative District 15,4986
Donald J. Trump,4019
Mike Lee Baltimore County Council,3000
Mavis Taintor For Delegate,2818
John Legere,1634
Oxfam,1377
Claire McCaskill,1369
EMILY's List,1350
I Love You, America,1129
Rob Davidson for Congress,1057
Scott E's Blog,1000
Ryan Nawrocki for Baltimore County Council,1000
Robbie Leonard for Senate,1000
Patty Ewing for Delegate,1000
Laura Price for Talbot County Council,1000
Katie Fry Hester, Maryland Senate D9,1000
Karen 4 Maryland,1000
Calvin Ball,1000
Calvert County Democratic Party,1000
Elizabeth Warren,886
US~Observer,841
ACLU,495
Be A Hero,479
Democrats,434
Klean Kanteen,412
The Nature Conservancy,377
End Citizens United,320
MoveOn,303
The Nib,292
CHI St. Joseph Children's Health,281
Beto O'Rourke,273
LInda Willard for Delegate,268
Delegate Gary G Howell,267
Kirsten Gillibrand,255
The Leadership Conference on Civil and Human Rights,210
4ocean,185
Our Revolution Arlington,169
Military Officers Association of America (MOAA),159
American AF,159
Emily Best for PA Senate,145
Stand Up America,114
Kamala Harris,108
Heifer International,102
Jeff Merkley,101
Andrew Gillum,100
Mic Dispatch,91
USA for UNHCR,70
Barbara Comstock,69
Concealed Online,59
Crime Survivors for Safety and Justice,58
CARE,57
Energy Citizens,55
Planned Parenthood Action,41
Everytown for Gun Safety,36
Circa,35
Swing Left,32
American Jewish World Service - AJWS,32
Tom Steyer,28
The News and Why It Matters,23
Kathy Lewis for Florida State Senate District 20,23
Center for Biological Diversity,23
Viking Books,22
National Democratic Redistricting Committee,22
Bill Nelson,22
Arkansans for Jobs and Justice,22
Scott Frantz for State Senate,19
Planned Parenthood,19
National Park Foundation,18
MJ for Texas,18
Oceana,17
Democratic Senatorial Campaign Committee (DSCC),17
Exclusive Apparel,16
Parks Project,13
Human Rights Campaign,12
Eric Bolling,12
Winning For Women,11
The Ben Shapiro Show,11
Our Lives Our Vote,10
Giving Brush,10
We are mitú,9
ClearPath Action Fund,9
Dana Balter for Congress,8
Darrin Camilleri,5
Mayor Matt Hall,4
VoteYes4Success,3
Fentrice For Florida House District 63,3
Maria Weekes For Judge,2
Lesley for CU Regent,2
Texans for Natural Gas,1
Marc Molinaro,1
Chris Murphy,1
dittymoji,0
You Ready Grandma,0
WhyHunger,0
VoteTogether,0
United States Holocaust Memorial Museum,0
Tina Smith,0
The Wilderness Society,0
The Western Journal,0
The Rutherford Institute,0
The New State Solution,0
Texas Public Policy Foundation,0
Team Kendra,0
Talana D. Watson,0
TAS Apparel,0
Support The 2nd Amendment,0
Spiritual and Practical Socialism,0
Shield Republic,0
Shaun King,0
Sharice for Congress,0
Science for Humans and Freedom Institute,0
Save the Redwoods League,0
Save Crownsville,0
SEIU MN State Council,0
Rick Green,0
Resist Trump's agenda,0
Randall Wagner for County Commissioner , Authority: Dan Mackley, Treasurer,0
Proud Right Winger,0
Premium Care For Seniors,0
Power In Cooperation,0
Politicon,0
Phone2Action,0
Pfizer,0
Ocean Conservancy,0
No Kid Hungry,0
Neil H. Harris, Gaithersburg City Council.,0
National Republican Congressional Committee,0
National Network of Abortion Funds,0
NRDC Action Fund,0
NRDC,0
NARAL Pro-Choice Maryland,0
Montgomery County Democratic Party,0
Mercy Corps,0
MedicareSupplement.com,0
Marc King for LD15 Maryland,0
Louder with Crowder,0
Lessons from Military History,0
Kyrsten Sinema,0
Kibbe on Liberty,0
Kentucky Family Values,0
Josh Harder,0
Joe Kennedy III,0
Jewish Voice Ministries International,0
Jen Mallo for HCPSS Board of Education,0
Janet Mills,0
James Thompson for Kansas,0
Indivisible Guide,0
I Am An Immigrant,0
Home Professionals,0
Heidi Heitkamp,0
FloridaPolitics,0
Felicia Folarin For County Council At Large,0
Elizabeth Ann Fitch for Orphans' Court for Howard County,0
E. O. Wilson Biodiversity Foundation,0
Democratic Party,0
Dave Bishop for Congress,0
Dana Schallheim for Anne Arundel County Board of Education - District 5,0
Conservative Tribune,0
Commissioner John O'Connor,0
Character Matters in Washington County Maryland,0
CCAN Action Fund,0
Build With Strength,0
Blue Wave,0
Association for Accessible Medicines,0
Armed American Supply,0
Amie Hoeber for Maryland,0
Alyse Galvin for Congress,0
Al Redmer Jr,0
