NumbersUSA,200000
Michigan Prosperity Project,200000
Everytown for Gun Safety,112032
Human Rights Campaign,89005
Garnet Lewis for State Senate,85000
Elissa Slotkin for Congress,78000
The Fighting for Families Fund,74000
Fight for $15,40000
Solar Energy Today,37000
Tom Steyer,23155
Fred Upton,18968
Dennis Brewer for Circuit Court Judge,17000
Kevin Daley for State Senate,14000
Darrin Camilleri,12550
Alliance for Climate Education,11000
Michelle Deatrick,10000
Bill Schuette,10000
Voters - Not Politicians,8000
PragerU,7411
Scott Dianda,7000
Scott Noto For Judge - Kent County Circuit Court,6000
Donald J. Trump,4988
Judicial Watch,3160
Heritage Action for America,3000
Elizabeth Warren,2307
Niles Niemuth,2000
Make It Commissioner Danielle McCluskey,2000
Elect Patricia Camarena-Rose Barbary For Berrien County,2000
Dearborn Heights 48125 East,2000
Committee to Elect Stuart Black Isabella County Probate Judge,2000
Ayanna Neal for Lansing Judge,2000
Amanda Brand,2000
dittymoji,1402
The Leadership Conference on Civil and Human Rights,1363
Heidi Heitkamp,1360
Yes 4 M-TEC,1000
Say No To PARC,1000
Rob Davidson for Congress,1000
Representative Larry Inman,1000
Mike Herrera Johnson,1000
Lisa Sinclair for Macomb County Clerk,1000
Larry King for Prosecutor,1000
Judge Debra Nance - 46th District Court,1000
Jacob Straley,1000
Jacob Hilliker for Bay County Road Commission,1000
Eightyfive Miles,1000
Democratic Coalition Against Trump,1000
Comden for State Senator,1000
Carl Hilton for Allendale Board of Education,1000
Alberta Griffin for 61st District Michigan State Representative,1000
National Republican Congressional Committee,873
Oceana,568
Concealed Online,488
NARAL Pro-Choice America,463
RSCC,456
Support The 2nd Amendment,397
Ryan Hampton,347
Kamala Harris,293
ASMDSS,279
Kyrsten Sinema,275
Tammy Baldwin,231
Blue Wave,216
Winning For Women,191
Planned Parenthood Action,182
One of Us Films,178
World Wildlife Fund,175
DefendArizona,172
AARP Member Benefits,161
ACLU,138
Democratic Senatorial Campaign Committee (DSCC),124
MoveOn,110
Jacob Turk for Congress,102
Local Majority,101
Crime Survivors for Safety and Justice,101
Stand Up America,97
Klean Kanteen,87
James Thompson for Kansas,85
USA for UNHCR,80
Pfizer,66
Environmental Voter Project,66
Progress NC Votes,53
Congressional Leadership Fund,51
NRSC,48
Bill Nelson,47
Joe Kennedy III,46
Tax March,45
National Democratic Redistricting Committee,42
SeeHer,41
NRDC,35
The Western Journal,34
The Ben Shapiro Show,32
Movement Voter Project,30
Headline Shirts,28
Tony Evers,25
League of Women Voters of the U.S.,25
THE TRUMP NETWORK,24
Oklahomans Against 793,24
Kirsten Gillibrand,23
CARE,20
MJ for Texas,19
VoteYes4Success,14
Lesley for CU Regent,13
Jill Norgaard for AZ House,9
Andy Kim for Congress,6
NO on 105,5
Cort VanOstran for Congress,5
Josh Harder,4
Christine Pellegrino for NY Assembly District 9,4
Bob Casey,4
Voz Boricua,3
Justin Jones,3
Gloria Walker For Judge,3
Chris Murphy,3
AFGE,3
Freedom Club,2
Marna Sanford for FNSB Assembly,1
LeadPlan Marketing,1
Faith Johnson For District Attorney,1
Arizona State Representative Regina E. Cobb, DDS,1
Yes On 1631,0
Working Families Party,0
Tony Overmyer for Edwardsburg School Board,0
Tina Smith,0
Tim Barnsback for NC House,0
The Century Foundation,0
Texans for Natural Gas,0
Swing Left,0
South County Democratic Club, Berrien County, Michigan,0
Self-Reliant Republic,0
Science for Humans and Freedom Institute,0
Save the Children Action Network,0
SEIU Healthcare Illinois & Indiana,0
Rosemary Bayer for State Senate,0
Roger Hauck,0
Resist Trump's agenda,0
Republicans for the Rule of Law,0
Reid for EGR School Board,0
Proud Right Winger,0
President Trump Fans,0
PoliceOne.com,0
Planned Parenthood Advocates of Michigan,0
Phil Bredesen,0
Paul Mitchell for Congress,0
Patriot Depot,0
Paquette For 78th State Representative,0
Oxfam,0
Ocean Conservancy,0
Noel Garcia for East Lansing School Board,0
No on Prop C,0
No Kid Hungry,0
National Network of Abortion Funds,0
National Association of Home Builders,0
NRDC Action Fund,0
Model D,0
Mindy Denninger for State Representative,0
Michigan Local News,0
Mercy Corps,0
MedicareSupplement.com,0
MattAnderson4TCAPS,0
Lynn Afendoulis for State Representative,0
Livingston County Republican Party,0
Lessons from Military History,0
Kath Edsall for School Board,0
Karen Potter, MA Ed., CSP for Williamston School Board,0
Kanew for Congress,0
Julie Alexander,0
Jewish Voice Ministries International,0
Jeff Hayner for City Council,0
Indivisible Guide,0
I Am An Immigrant,0
Hilary Dubay for L'anse Creuse School Board,0
Heifer International,0
Grand Blanc Dog Park,0
Gongwer News Service Michigan,0
Giving Brush,0
Finance Watchdogs,0
Exclusive Apparel,0
Eric Bolling,0
Environmental Defense Fund,0
Energy Citizens,0
End Trafficking & Prostitution,0
Elect Dean E. Hill,0
Elaissia Sears for West Mesa Justice of the Peace,0
DiversityInc,0
Diffenderfer for Caledonia School Board,0
Democratic Party,0
David Baria for Mississippi,0
Committee to Rebuild Maine's Middle Class,0
ClearPath Action Fund,0
Civic Action Network,0
Chris Douglas: Grand Blanc City Councilman,0
Change The Date,0
CRTV Tonight with Gavin McInnes,0
CREDO Mobile,0
C&R News,0
Bill Saxton,0
Be A Hero,0
Association for Accessible Medicines,0
Armed American Supply,0
Ann Bollin for State Representative,0
American AF,0
Alliance for Michigan Power,0
Alan Maio,0
African Wildlife Foundation,0
