Middle Class Missouri,500000
Working For Us,233000
NumbersUSA,200000
Senate Leadership Fund,75000
Renee Hoagenson for Congress,51982
Claire McCaskill,44103
Cort VanOstran for Congress,44000
Tom Steyer,32000
Charlie Norr,11000
The Voter Participation Center,10546
Vote for Your Library,10000
Michael for Missouri,10000
Friends of Peggy McGaugh,10000
Elect Paul Woody,10000
Jacob Turk for Congress,9999
Color Of Change,8664
Solar Rebate,7000
Instagram,6390
The Western Journal,5249
Jeff Munzinger,5000
Hillary Shields,5000
Citizens for a Better Butler County,5000
ACLU,2950
NewsBusters.org,2943
Donald J. Trump,2233
Saint Francois County Republican Central Committee,2000
Heritage Action for America,2000
Judicial Watch,1612
St. Louis County GOP,1000
Sarah Mills for State Representative,1000
Representative Jean Evans,1000
Nathan Kelsaw for Dent County Associate Circuit Judge,1000
Matt Michel for State Representative of District 153,1000
Lisa Buhr for Callaway,1000
Kent Haden for State Representative,1000
Jeff Coleman,1000
Independent Voter,1000
David Park - Park4Platte,1000
Craig Fishel for State Representative - 136,1000
Committee to Elect Tim Fitch,1000
Bergland For Missouri,1000
Amanda Oesch for Scott County Prosecuting Attorney,991
Planned Parenthood Action,898
Swing Left,844
Congressional Leadership Fund,788
Energy Citizens,776
G.I. Jobs Magazine,522
Elizabeth Warren,499
Concealed Online,335
Pfizer,317
City Journal,304
Stand Up America,248
RSCC,203
The Nature Conservancy,196
Beto O'Rourke,187
Sharice for Congress,178
Winning For Women,170
Conservative Tribune,155
American AF,150
Be A Hero,140
Mic Dispatch,132
CARE,128
National Republican Congressional Committee,124
Center for Biological Diversity,111
Kamala Harris,109
Build With Strength,97
Everytown for Gun Safety,74
Kirsten Gillibrand,70
World Wildlife Fund,69
UltimateStraw,63
Kevin Yoder,54
Progress NC Votes,40
National Democratic Redistricting Committee,39
The Century Foundation,34
We Can Solve This,31
Imprimis, a Publication of Hillsdale College,31
30A,31
You Can Say Anything book,28
Turning Point USA,28
The Andrew Klavan Show,27
45th President Donald J. Trump,27
Free Together,26
Premium Care For Seniors,24
Environmental Defense Fund,24
Democratic Senatorial Campaign Committee (DSCC),22
Healthy Montana Campaign,21
Union Patriots,19
NARAL Pro-Choice America,19
Kyrsten Sinema,16
MoveOn,15
USA for UNHCR,14
Dana Young,14
Jon Tester,13
Bill Nelson,13
Mercy Corps,12
Anna Caballero for Senate,12
We are mitú,11
Science for Humans and Freedom Institute,10
Micah Sanderson for Judge,9
MJ for Texas,8
Dr. Kim Schrier,8
Janet Garrett for Congress,5
Texans for Natural Gas,4
Indivisible Guide,4
Human Rights Campaign,4
Opinion Research,2
Lupe Valdez,2
32BJ SEIU,1
dittymoji,0
Yvonne Reeves-Chong Pulaski Dem Committeewoman,0
Voters Decide,0
VoteTogether,0
Vote for Tim Thompson,0
United States Constitution,0
Tina Smith,0
Time To Vote On Climate,0
The Atlas Society,0
Susan Ellenberg for Supervisor 2018,0
Support The 2nd Amendment,0
Steidtmann for Missouri,0
Simon for House,0
Shield Republic,0
Ryan Dillon for State Senate,0
Resist Trump's agenda,0
Renew Missouri,0
Rant Nation with Graham Allen,0
Putting Women In Their Place,0
Power In Cooperation,0
Planned Parenthood,0
Patriot Depot,0
Oceana,0
No Kid Hungry,0
National Park Foundation,0
National Network of Abortion Funds,0
NRDC Action Fund,0
NRDC,0
NRA - National Rifle Association of America,0
Mike Reuter for 23rd Judicial Circuit Clerk,0
Mi Familia Vota,0
Mayor Matt Hall,0
Mary Elizabeth Coleman,0
Maple Heights African American Gazette,0
Locke Thompson,0
LifeDaily,0
Lessons from Military History,0
LGBTQ Victory Fund,0
Klean Kanteen,0
Kevin Daley for State Senate,0
Jerel Lee Poor II for Judge,0
Janet Mills,0
James Thompson for Kansas,0
I Am An Immigrant,0
Henry County Library Jr.,0
Heifer International,0
Heidi Heitkamp,0
Greg Hasty,0
Great America PAC,0
Giving Brush,0
Fire Vicky,0
Fenton Fire Protection District,0
End Citizens United,0
Elect Abby Zavos,0
Dr. Jack Barnathan,0
Diane Seaman for Ky House,0
Democratic Party,0
David Baria for Mississippi,0
Dave Schatz,0
Dana Balter for Congress,0
Dan Shaul,0
Co-ops Vote,0
ClearPath Action Fund,0
Chris Murphy,0
Charles Brandon Brown for Jackson County Board Dist. 2,0
CREDO Mobile,0
Brian Spencer for Pensacola Mayor,0
Bobby Kuppers for NC Senate,0
Blue Wave,0
Armed American Supply,0
Animal Matters,0
Anarchist Luke Tatum,0
Amnesty International USA,0
American Jewish World Service - AJWS,0
America Rise Up,0
Alan Maio,0
African Wildlife Foundation,0
ASMDSS,0
