NO on 3,2516000
Planned Parenthood Action,500014
Dean Heller,255000
Jacky Rosen for Nevada,114000
Human Rights Campaign,82003
PLAN Action Fund,60000
Congressional Leadership Fund,44670
Danny Tarkanian,40934
Jim Gibson,32000
Everytown for Gun Safety,31000
Voto Latino,30000
Danielle Ford for CCSD School Board Trustee in District F,22000
Tom Steyer,21000
Shady Steve,20000
James Dean Leavitt for Judge,20000
The Voter Participation Center,16813
Dishonest Dean Heller,15000
Senate Leadership Fund,14000
Our Lives Our Vote,12000
Alliance for Climate Education,11000
Marsy's Law for Nevada,10000
DoSomething.org,10000
Solar Rebate,8000
Steve Sisolak,7000
David Schoen,6000
Home Professionals,3000
End Trafficking & Prostitution,3000
Bob Beers, CPA: candidate for Nevada Treasurer,3000
Concealed Online,2272
National Republican Congressional Committee,1288
Donald J. Trump,1121
Steven Horsford,1000
Elect Hof,1000
Politicon,493
I Love You, America,430
Democratic Coalition Against Trump,318
Local Majority,234
Winning For Women,124
Demand Justice,96
Beto O'Rourke,81
League of Women Voters of the U.S.,79
Veterans Organizing Institute,78
Kirsten Gillibrand,78
Kamala Harris,72
Jewish Voice Ministries International,70
Dauntless Communications,70
Giving Brush,60
Issue One,59
Stand Up America,55
Stop Soldier Suicide,54
Human Coalition,52
DefendArizona,46
Voters - Not Politicians,41
Survival Life,41
ACLU,30
Be A Hero,23
Premium Care For Seniors,22
National Network of Abortion Funds,21
National Democratic Redistricting Committee,20
Conservation International,19
Military Officers Association of America (MOAA),15
Science for Humans and Freedom Institute,14
Swing Left,13
CARE,12
Patriot Depot,11
CREDO Mobile,10
The Progressive Voice,7
Conservative Tribune,7
Dianne Liuzzi Hagan-Author,6
MoveOn,5
Save Idaho Horse Racing,4
Indivisible Guide,4
Cort VanOstran for Congress,4
Tony Evers,3
Kyrsten Sinema,3
Tom Suozzi,2
POW Action Fund,2
Fred Upton,2
Chris Murphy,2
Solar Programs In Ca Counties,1
Ron Stephens,1
Carl DeMaio,1
Bobby Kuppers for NC Senate,1
WhyHunger,0
VoteYes4Success,0
VoteTogether,0
Vince Juaristi,0
USA for UNHCR,0
Tina Smith,0
Time To Vote On Climate,0
The Western Journal,0
The Longshore Institute,0
Support The 2nd Amendment,0
Shaun King,0
Sharice for Congress,0
Rick Smith for Justice of the Peace for the Walker River Township,0
RYAN BUNDY for Nevada,0
Power In Cooperation,0
Planned Parenthood Advocates of Michigan,0
Planned Parenthood,0
Pfizer,0
Oxfam,0
Oceana,0
Ocean Conservancy,0
No Kid Hungry,0
NRDC Action Fund,0
NRDC,0
NRA - National Rifle Association of America,0
Michelle Gorelow for Assembly District 35,0
Mercy Corps,0
MedicareSupplement.com,0
Lessons from Military History,0
Klean Kanteen,0
Keith Faber,0
Justin Jones,0
Joe Kennedy III,0
James Thompson for Kansas,0
I Am An Immigrant,0
Heifer International,0
Gregg Luckner for Nevada CD4,0
Finance Watchdogs,0
Energy Citizens,0
End Citizens United,0
Elizabeth Warren,0
Elect Linda Cannon,0
Educators for Thurmond for State Superintendent of Public Instruction,0
Doyel for Florida,0
Democratic Senatorial Campaign Committee (DSCC),0
Democratic Party,0
Cooperative Action Network,0
Co-ops Vote,0
ClearPath Action Fund,0
Claire McCaskill,0
Cindy Lake For County Commission G,0
CRTV Tonight with Gavin McInnes,0
Blue Wave,0
Association for Accessible Medicines,0
