Voto Latino,25000
Solar Energy Today,16000
Our Western Values,11000
Home Professionals,11000
AARP New Mexico,10000
Martin Heinrich,8000
The Wilderness Society,5987
Heritage Action for America,5982
Keep Them Accountable,4998
New Mexico Oil & Gas,3000
Representative Rebecca Dow,2000
I Love You, America,1346
Susana Martinez,1000
New Mexico Voices for Children,1000
Justin Garcia for Sandoval County Magistrate Judge,1000
Independent Voter,1000
Christie Humphrey for Sandoval County Assessor,1000
A. Blair Dunn for New Mexico,1000
Concealed Online,914
Donald J. Trump,488
ACLU,169
Penzeys Spices,161
National Republican Congressional Committee,154
The Nature Conservancy,95
Kamala Harris,88
End Citizens United,81
Erase The Hate,72
4ocean,65
Bird + Stone,55
Union Patriots,54
Stand Up America,53
Blue Wave,50
Local Majority,49
Dianne Feinstein,48
Elizabeth Warren,46
MoveOn,45
Beto O'Rourke,45
Swing Left,40
E. O. Wilson Biodiversity Foundation,37
Claire McCaskill,36
American AF,34
Planned Parenthood,29
The Leadership Conference on Civil and Human Rights,26
We are mitú,18
Kirsten Gillibrand,17
Jetties Bracelets,16
Heidi Heitkamp,14
NRDC,12
Lesley for CU Regent,12
Greenpeace USA,12
FloridaStrong,11
Shield Republic,10
United States Holocaust Memorial Museum,9
Planned Parenthood Action,8
Oceana,8
UnitedVoice.com,6
NARAL Pro-Choice America,6
Amnesty International USA,6
Finance Watchdogs,5
Bobby Kuppers for NC Senate,5
Turning Point USA,4
Klean Kanteen,3
The Collective PAC,2
Madison County Republicans,2
Human Rights Campaign,2
Boston Rescue Mission,2
Vote Tristen,1
Portside,1
Kyrsten Sinema,1
Janet Mills,1
Cort VanOstran for Congress,1
Chris Murphy,1
Winning For Women,0
We The People Holsters,0
VoteTogether,0
Tom Steyer,0
Tina Smith,0
The Buffalo Tree Festival,0
Tammy Baldwin,0
Support The 2nd Amendment,0
Sierra Club,0
Sharice for Congress,0
Save the Redwoods League,0
Power In Cooperation,0
Politicon,0
Planned Parenthood Advocates of Michigan,0
Pfizer,0
Peoples Progressive Media,0
POW Action Fund,0
Ocean Conservancy,0
Newday Impact Investing,0
National Network of Abortion Funds,0
Mercy Corps,0
Melanie Stansbury for NM,0
MedicareSupplement.com,0
Mayna Myers for Magistrate,0
Kanew for Congress,0
Jon Tester,0
John L. Jones,0
Jarratt Applewhite for District 50,0
Janice for Congress 2018,0
Jacob Turk for Congress,0
Indivisible Guide,0
I Am An Immigrant,0
Heifer International,0
Great America PAC,0
Fipple,0
Exclusive Apparel,0
Environmental Defense Fund,0
Energy Citizens,0
Elaissia Sears for West Mesa Justice of the Peace,0
Dr. Kim Schrier,0
Democratic Senatorial Campaign Committee (DSCC),0
Democratic Party of New Mexico,0
Democratic Party,0
David Baria for Mississippi,0
Conservation International,0
Committee to Elect Elizabeth Allen for Municipal Judge,0
CARE,0
Be A Hero,0
Armed American Supply,0
American Jewish World Service - AJWS,0
African Wildlife Foundation,0
