NC Conservation Network,506000
Concealed Online,220437
NumbersUSA,200392
Solar Rebate,43000
Mack for NC,29000
Kathy Manning,22000
Sarah Homes for District Court Judge,20000
Andy Hanford For Superior Court Judge,20000
Ted Budd,12000
Elect Brian Bock - Chatham County Commissioner,12000
Wiley Nickel For North Carolina,11000
Voto Latino,11000
Justice Barbara Jackson,11000
Blue Cross NC,10000
Alliance for Climate Education,10000
National Republican Congressional Committee,8590
Heritage Action for America,7000
Linda Devore for House 44,6000
Huffman for Clerk of Court,6000
Tom Langan for Judge,5883
Glenda P. Weinert for County Commissioner,5000
Retire Educated,4936
American AF,4058
PragerU,3674
Donald J. Trump,3322
Stephen Brown,3000
John Bryant for Wake County District Attorney,3000
Campbell For NC Senate,3000
David Rouzer,2997
ACLU,2370
Tom Steyer,2303
Simon for House,2000
Justin Conrad, Guilford County Commissioner,2000
Environmental Defense Fund,2000
Bobby Kuppers for NC Senate,2000
Heidi Heitkamp,1880
Crisp and Associates Military Law,1330
Anna Caballero for Senate,1006
Terri Legrand for NC House 2018,1000
Sarah Neely Lanier for Judge,1000
Pat Nadolski for Alamance County Superior Court Judge,1000
Neill Lindley for County Commissioner,1000
NRDC,1000
Jeff Tarte,1000
Jeff Scott for Congress,1000
Elect T. Lee Horne, III,1000
Elect Jarrod Lowery NC House 47,1000
Cumberland County GOP,1000
Color Of Change,726
State Representative Nathan Manning,631
Republicans for the Rule of Law,617
DiversityInc,617
Kamala Harris,535
Every State For Israel,489
4ocean,434
The Leadership Conference on Civil and Human Rights,338
Claire McCaskill,288
Beto O'Rourke,284
I Love You, America,282
Andrew Gillum,271
Klean Kanteen,254
Energy Citizens,197
Proud Right Winger,196
Elizabeth Warren,179
Conservative Gear,173
The Atlas Society,162
Re-Elect Representative Raye Felder,148
Electric Nation: Powered By Wind,143
NextGen America,140
My Pay My Say,136
Allison Gilman For Judge,130
NARAL Pro-Choice America,125
Blue Wave,124
Pela Case,122
Tony Evers,91
Jewish Voice Ministries International,89
Marggie Castellano for State Senate 36th District,78
MoveOn,76
Giffords,54
Dominion Energy South,54
FrackFeed,50
Larry Hogan,43
Build With Strength,38
Surfrider Foundation,37
CARE,37
ASMDSS,35
Swing Left,33
No Kid Hungry,30
Kyrsten Sinema,30
dittymoji,29
Stand Up America,28
NO on 105,28
Be A Hero,28
We Can Solve This,27
Shareblue Media,27
Bill Nelson,26
Kirsten Gillibrand,22
Planned Parenthood Action,20
Planned Parenthood,19
Arkansans for Jobs and Justice,16
Chris Murphy,10
Dean Phillips for Congress,5
Retirement321,1
Kathy Hoffman,1
Winning For Women,0
VoteYes4Success,0
VoteTogether,0
United States Holocaust Memorial Museum,0
Tina Smith,0
Tim Ivey for County Commissioner,0
Tim Barnsback for NC House,0
The Rutherford Institute,0
The Collective PAC,0
Tammy Baldwin,0
Support The 2nd Amendment,0
Shaun King,0
Sharice for Congress,0
Seafood Harvesters of America,0
Science for Humans and Freedom Institute,0
Resist Trump's agenda,0
Reality Bites,0
Premium Care For Seniors,0
Power In Cooperation,0
Politicon,0
Planned Parenthood Advocates of Michigan,0
Pittman for Pitt County,0
Phone2Action,0
Phil Bredesen,0
Pfizer,0
Oxfam,0
Oceana,0
Ocean Conservancy,0
National Park Foundation,0
National Network of Abortion Funds,0
National Democratic Redistricting Committee,0
NRDC Action Fund,0
Military Officers Association of America (MOAA),0
Mercy Corps,0
Melrose For Judge,0
Maple Heights African American Gazette,0
Lone Star Project,0
LifeDaily,0
Lessons from Military History,0
Kevin Daley for State Senate,0
Kentucky Family Values,0
Karen McCallum For District Court Judge - District 26-F,0
Judge Andrew Heath,0
Jorge Luis Lopez Law Firm,0
Jordan Chariton,0
Jill Norgaard for AZ House,0
Jefferson Griffin,0
Janet Mills,0
James Thompson for Kansas,0
Issue One,0
Independent Voter,0
I Am An Immigrant,0
Human Coalition,0
Heifer International,0
Giving Brush,0
Everytown for Gun Safety,0
End Citizens United,0
Democrats,0
Democratic Senatorial Campaign Committee (DSCC),0
Democratic Party,0
Dave Hall for Judge,0
Dan McCready for Congress,0
Cumberland County Democratic Party(NCDP),0
Cort VanOstran for Congress,0
Committee to Rebuild Maine's Middle Class,0
Co-ops Vote,0
Center for Biological Diversity,0
Cape Fear Indivisible,0
Buncombe GOP,0
Brian Spencer for Pensacola Mayor,0
Breen for School Board- District 7,0
Be Conscious. Be Kind.,0
Armed American Supply,0
Animal Matters,0
American Jewish World Service - AJWS,0
African Wildlife Foundation,0
