Bob Casey,1250000
NumbersUSA,250160
Tom Wolf,235000
Marsy's Law for Pennsylvania,90000
Shareblue Media,71000
Human Rights Campaign,65000
Jeremy Shaffer for PA State Senate,20000
The Voter Participation Center,17620
Make the Road Pennsylvania,15000
Our kids. Our commitment.,14000
Local Majority,13215
Our Lives Our Vote,12000
Beaver County United,11000
Alliance for Climate Education,11000
PennEast Pipeline,10000
National Wildlife Federation Action Fund,10000
Jennifer O'Mara for State Rep,10000
Emily Best for PA Senate,10000
Voto Latino,9000
Donald J. Trump,8805
Pennsylvania Record,8708
Heritage Action for America,7999
Cheddar,6039
Tim O'Neal for State Representative,5000
PSEA - PA State Education Association,5000
Elizabeth Warren,4767
dittymoji,4401
Marguerite Quinn for PA Senate,2480
Rainforest Action Network,2160
Solar Rebate,2000
Stop Wage Theft Now,1931
Planned Parenthood Action,1153
United States Constitution,1118
Tattooed Mom,1000
Pennsylvania Budget and Policy Center,1000
One Pennsylvania,1000
Mary Auker-Endres for PA,1000
Mark Pinsley,1000
Liz for PA,1000
Josh Kail,1000
Joe Webster for PA,1000
IBEW Local Union 126,1000
Dana Hamp Gulick for PA 97th,1000
Clear Energy Alliance,1000
Citizens Climate Lobby - Slippery Rock,1000
Bill Troutman for PA Senate 2018,1000
ACLU,988
Philadelphia Socialist Alternative,875
Vote NO on the Job-Killing Community Bill of Rights,851
Concealed Online,803
National Republican Congressional Committee,727
The Nib,699
Democrats,666
Turning Point USA,633
Be A Hero,511
Swing Left,505
Heidi Heitkamp,487
I Love You, America,441
The Atlas Society,440
Finance Watchdogs,440
4ocean,440
Kialo,431
Penzeys Spices,419
Kamala Harris,403
Nine Line Apparel,392
The Nature Conservancy,379
National Association of Manufacturers,375
NRDC Action Fund,303
CARE,286
Judicial Watch,277
American AF,242
Bob Rackleff for Congress 2018,224
Personal Liberty,212
News Procession,205
Electric Nation: Powered By Wind,201
Tom Steyer,198
MoveOn,178
Heifer International,157
Democratic Senatorial Campaign Committee (DSCC),109
Stand Up America,101
The Ben Shapiro Show,91
Beto O'Rourke,91
Goods Unite Us,89
Josh Gottheimer for Congress,73
Judge Elizabeth Burns for Supreme Court,70
Kirsten Gillibrand,69
Progress NC Votes,61
Maria Weekes For Judge,60
Chris Murphy,52
American Jewish World Service - AJWS,50
Oxfam,48
The Collective PAC,47
No Kid Hungry,47
National Farmers Union,42
Indivisible Guide,41
NRDC,39
Kyrsten Sinema,38
CREDO Mobile,38
2atees1,37
USA for UNHCR,36
Support The 2nd Amendment,35
Planned Parenthood,34
Andrew Gillum,34
Hansen for House,30
Alexandria Ocasio-Cortez,29
Jen Metzger for NY Senate,28
Headline Shirts,22
Janet Mills,17
Angie Craig,16
Pasti for Delegate,14
Maine Coast Heritage Trust,11
Committee to Rebuild Maine's Middle Class,11
Jeremy Cooney,10
Dr. Kim Schrier,8
Jim Renacci,7
James Thompson for Kansas,7
VoteYes4Success,6
Cambodia-America Alliance,6
Bob Weiner,6
Always On NY,6
Voters Decide,4
Rick Green,4
New Jersey Democratic State Committee,4
Madison County Republicans,2
Andrew Stoddard for HD44,2
Ihlenfeld for State Senate,1
World Wildlife Fund,0
Working Families Party,0
Winning For Women,0
WhyHunger,0
United Way of Greater New Haven,0
U.S. LawShield,0
Tom Malinowski for Congress,0
Tina Smith,0
Tim Barnsback for NC House,0
ThoughtFull,0
The Western Journal,0
The Leadership Conference on Civil and Human Rights,0
The Committee to Elect Vincent J. Costanza,0
Texans for Natural Gas,0
Team Kendra,0
Sue Walker PA 13,0
Standard News,0
Shield Republic,0
Shaun King,0
Science for Humans and Freedom Institute,0
Save the Children Action Network,0
Ruth Moton, Endorsed Choice Candidate for PA House District 159,0
Rick Rogers,0
Resist Trump's agenda,0
Real Justice,0
Putting Women In Their Place,0
Power In Cooperation,0
POW Action Fund,0
Oceana,0
Ocean Conservancy,0
No on Prop C,0
National Park Foundation,0
National Network of Abortion Funds,0
Mindvalley,0
Middle Class Voices of Pennsylvania,0
Michael Blichar Jr. for State Representative,0
Maple Heights African American Gazette,0
MJ for Texas,0
Lion Technology Inc.,0
Linda Koop,0
LifeDaily,0
Lessons from Military History,0
Klean Kanteen,0
Kentucky Family Values,0
Jon Tester,0
Joe Kennedy III,0
Jewish Voice Ministries International,0
Jerrod Belvin Pocono Township Commissioner,0
In the Woods with Phil,0
Human Coalition,0
Home Professionals,0
Giving Brush,0
Faith Johnson For District Attorney,0
Exclusive Apparel,0
Environmental Defense Fund,0
Energy Justice For All,0
Energy Citizens,0
End Citizens United,0
Democratic Party,0
David Baria for Mississippi,0
Dana Balter for Congress,0
Dale Kerns for U.S. Senate,0
Craig Huey,0
Conservative Tribune,0
CHI St. Joseph Children's Health,0
Buffy Wicks,0
Brian Spencer for Pensacola Mayor,0
Blue Wave,0
Bill Nelson,0
Association for Accessible Medicines,0
Armed American Supply,0
Ari Parker for City Council,0
Andy Szekely for State Representative, 53rd District,0
Amnesty International USA,0
All Voting Is Local,0
Al Redmer Jr,0
32BJ SEIU,0
