Gina Raimondo,101000
Rebecca Schiff,16000
Sheldon Whitehouse,7992
Solar Rebate,5000
VoteTogether,2827
Lammis Vargas for Council,1000
Joshua Luis Pereira for Ward 2,1000
Allan Fung,1000
The Harvard Crimson,836
Heidi Heitkamp,762
PragerU,492
Donald J. Trump,361
4ocean,270
National Republican Congressional Committee,243
World Wildlife Fund,237
Penzeys Spices,231
ACLU,220
John Legere,195
Jeff Merkley,142
Oxfam,114
Kirsten Gillibrand,105
Klean Kanteen,100
Elizabeth Warren,71
End Citizens United,54
Kamala Harris,53
Bill Nelson,47
Chris Murphy,46
Jetties Bracelets,43
The Leadership Conference on Civil and Human Rights,30
United States Constitution,26
The Nature Conservancy,25
Claire McCaskill,24
Swing Left,23
Planned Parenthood,23
Headline Shirts,22
Ryan Hampton,20
Finance Watchdogs,20
Greenpeace USA,18
The Wilderness Society,17
Build With Strength,17
CARE,16
American AF,15
Nine Line Apparel,14
Concealed Online,14
Energy Citizens,12
MoveOn,11
Judicial Watch,9
Giffords,8
RSCC,7
National Park Foundation,7
Maria Weekes For Judge,7
USA for UNHCR,6
Planned Parenthood Action,5
Marggie Castellano for State Senate 36th District,5
MJ for Texas,5
Everytown for Gun Safety,5
Tony Evers,4
The Collective PAC,4
Stand Up America,4
2atees1,4
Washington Senate Democratic Campaign,3
Progressive Southern Theologians,3
Progress NC Votes,3
Lesley for CU Regent,3
Center for Biological Diversity,3
Arizona State Representative Regina E. Cobb, DDS,3
NRSC,2
Know Colorado,2
Jill Norgaard for AZ House,2
Jewish Voice Ministries International,2
Conservative Tribune,2
We Can Solve This,1
Voters - Not Politicians,1
JD and Kate Industries,1
Indivisible Guide,1
Winning For Women,0
Tina Smith,0
ThoughtFull,0
The Western Journal,0
Support The 2nd Amendment,0
Stephanie Canter for South Kingstown School Committee,0
Shield Republic,0
Shaun King,0
Sharice for Congress,0
Rick Green,0
Power In Cooperation,0
Pfizer,0
PETA (People for the Ethical Treatment of Animals),0
Overworked Moms,0
Our Kids 1st - Our Schools Now,0
Oceana,0
No Kid Hungry,0
National Network of Abortion Funds,0
National Democratic Redistricting Committee,0
NRDC Action Fund,0
NRDC,0
Michael Steiner for State Rep,0
Melissa Cross Vocal Studio,0
MedicareSupplement.com,0
Lupe Valdez,0
Joe Solomon for Mayor,0
Indivisible RI,0
Environmental Defense Fund,0
Elect David Norton - Mayor of Pawtucket,0
Democratic Senatorial Campaign Committee (DSCC),0
Democratic Party,0
David Baria for Mississippi,0
Craig Huey,0
ClearPath Action Fund,0
Blue Wave,0
Armed American Supply,0
Andrew Benn for Bristol Warren Regional School Committee,0
American Jewish World Service - AJWS,0
Allen Waters for U.S. Senate,0
Al Gizzarelli for Smithfield,0
