Katie Arrington,47000
Home Professionals,39000
Michael For Mayor of Hilton Head Island,22995
Human Rights Campaign,10012
AARP South Carolina,5000
Donald J. Trump,2949
Conservative Tribune,2180
John J. McCann For Mayor of Hilton Head Island,2000
JA Moore For SC District 15,2000
Curtis Loftis,2000
Retirement321,1999
Energy Citizens,1217
Say Yes to the Penny,1000
Office of South Carolina Treasurer Curtis Loftis,1000
Horry County Democratic Party,924
United States Constitution,345
Exclusive Apparel,256
ACLU,247
Ben Shapiro,216
NumbersUSA,196
Judicial Watch,192
Alyssia Benford for IL State Representative,186
Claire McCaskill,164
Concealed Online,138
American AF,131
2atees1,131
Heidi Heitkamp,130
Swing Left,127
The Leadership Conference on Civil and Human Rights,111
Democratic Senatorial Campaign Committee (DSCC),107
Science for Humans and Freedom Institute,99
Democrats,95
Jefferson County Texas Democratic Party,73
Indivisible Guide,67
Penzeys Spices,60
Beto O'Rourke,59
Goods Unite Us,44
Stand Up America,41
National Republican Congressional Committee,39
Planned Parenthood Action,37
Voters - Not Politicians,35
MoveOn,32
UltimateStraw,30
Ted Budd,29
No Kid Hungry,29
Congressional Leadership Fund,28
Louise Valentine for State Senate,25
Ryan Hampton,24
National Network of Abortion Funds,24
The Western Journal,22
NRSC,21
LevinTV,21
45th President Donald J. Trump,21
Patriot Depot,20
Jewish Voice Ministries International,20
National Democratic Redistricting Committee,19
Bill Nelson,19
The News and Why It Matters,17
Joe Kennedy III,17
Tom Steyer,15
Time To Vote On Climate,15
Mercy Corps,13
Fipple,13
Eric Bolling,13
Planned Parenthood,12
The Nature Conservancy,11
Kamala Harris,11
WhyHunger,10
Rep. Chuck Efstration,10
MJ for Texas,10
USA for UNHCR,9
Kyrsten Sinema,9
Elizabeth Warren,9
Chris Murphy,9
Power In Cooperation,8
Tony Evers,7
EMILY's List,7
Pi Yoga Pants,6
Texans for Natural Gas,5
Bird + Stone,5
Dan McCready for Congress,4
Holly Kim for Lake County Treasurer,3
Heritage Action for America,3
No on Prop C,2
Nick Josefowitz for Supervisor, San Francisco, District 2,2
Kathy Lewis for Florida State Senate District 20,2
San Antonio Professional Fire Fighters Association,1
SEIU Healthcare Illinois & Indiana,1
Josh McCall - McCall for All,1
Elect Carolyn Long,1
Winning For Women,0
Walt Wilkins for Solicitor,0
VoteTogether,0
United Way of Greater New Haven,0
Union Patriots,0
Tina Smith,0
Tiffany Roberts-Lovell,0
Support The 2nd Amendment,0
Simon for House,0
Shield Republic,0
Shaun King,0
Sharice for Congress,0
Representative Steve Mentzer,0
Real Justice,0
Re-Elect Representative Raye Felder,0
Phone2Action,0
Pfizer,0
Oxfam,0
Oceana,0
Ocean Conservancy,0
NRDC Action Fund,0
NRDC,0
NRA - National Rifle Association of America,0
Lupe Valdez,0
Lowcountry Coalition Against Hate,0
LifeDaily,0
Lessons from Military History,0
Know Colorado,0
Kirsten Gillibrand,0
Kentucky Family Values,0
Justin Farnsworth - Dorchester District 2 School Board,0
John Legere,0
Jeff Merkley,0
Janet Mills,0
James Thompson for Kansas,0
Healthy Montana Campaign,0
Happy Hudson Project,0
Great America PAC,0
Giving Brush,0
FrackFeed,0
Eric Burlison,0
End Citizens United,0
E. O. Wilson Biodiversity Foundation,0
Dominion Energy South,0
DoSomething.org,0
Democratic Party,0
David Baria for Mississippi,0
Craig Huey,0
ClearPath Action Fund,0
Civic Action Network,0
CRTV Tonight with Gavin McInnes,0
CREDO Mobile,0
CARE,0
Blue Wave,0
Be Conscious. Be Kind.,0
Be A Hero,0
Armed American Supply,0
Anne Gonzales,0
Animal Matters,0
Andy Kim for Congress,0
Amnesty International USA,0
Alan Maio,0
