Yes on IM-25,20000
Steve Swenson for Sheriff,19861
Tim Bjorkman,6000
Tom Steyer,1377
Rossknecht for Pennington County Commissioner,1000
Josh Haeder for State Treasurer,996
National Republican Congressional Committee,823
PragerU,415
Heidi Heitkamp,391
Donald J. Trump,372
Beto O'Rourke,302
Elizabeth Warren,205
Turning Point USA,185
Sharice for Congress,150
ACLU,120
United States Constitution,56
Concealed Online,56
G.I. Jobs Magazine,55
Judicial Watch,39
Kialo,33
Marggie Castellano for State Senate 36th District,28
The Nature Conservancy,25
Conservative Gear,22
Goods Unite Us,20
MoveOn,17
VoteTogether,15
Allison Gilman For Judge,15
Kamala Harris,11
Brian Kroshus for North Dakota,10
4ocean,8
The News and Why It Matters,7
The Decline and Fall of America Starring Jim Greenfield,7
Science for Humans and Freedom Institute,7
Blue Wave,7
Proud Right Winger,6
Kerry Donovan,6
James Thompson for Kansas,6
Charlie Kirk,6
The Western Journal,5
Shield Republic,5
Normative Narratives,5
Colm Willis,5
Texans for Natural Gas,4
Planned Parenthood Action,4
PCCC - BoldProgressives.org,4
Eric Bolling,4
Bryan Hoffman for Kansas Senate,4
Be A Hero,4
United States Holocaust Memorial Museum,3
Tony Evers,3
NRDC Action Fund,3
Jewish Voice Ministries International,3
Winning For Women,2
Swing Left,2
Stand Up America,2
Premium Care For Seniors,2
NRDC,2
Chris Murphy,2
Oxfam,1
Oceana,1
No on Prop C,1
MJ for Texas,1
Jill Norgaard for AZ House,1
FloridaStrong,1
Arizona State Representative Regina E. Cobb, DDS,1
Andy Kim for Congress,1
Andrew Gillum,1
Yes On 1631,0
USA for UNHCR,0
Toni Miller for House District 9,0
Tina Smith,0
The Wilderness Society,0
Support The 2nd Amendment,0
Re-Elect Trent for Albany County Attorney,0
Power In Cooperation,0
Planned Parenthood Advocates of Michigan,0
Pfizer,0
PETA (People for the Ethical Treatment of Animals),0
Ocean Conservancy,0
No Kid Hungry,0
National Park Foundation,0
National Network of Abortion Funds,0
Mercy Corps,0
MedicareSupplement.com,0
Louder with Crowder,0
Kyrsten Sinema,0
Jason Coenen for Day County Sheriff,0
International Crane Foundation,0
Instagram,0
Indivisible Guide,0
Heifer International,0
Heenan for Pennington County Commission, District 5,0
Healthy Montana Campaign,0
Gideon Oakes for District 30 Senator,0
Exclusive Apparel,0
Energy Citizens,0
Democratic Party,0
Dan Klimisch,0
Co-ops Vote,0
Claire McCaskill,0
CARE,0
Armed American Supply,0
American AF,0
