Phil Bredesen,177000
Tennessee Business Daily,100000
Senate Leadership Fund,86000
Tom Steyer,31000
Marsha Blackburn,31000
The Voter Participation Center,23232
Voters Decide,12000
Vote YES - Put Cleveland First,11000
Lt. Governor Randy McNally,10000
Tennessee House Republicans,7000
Airport Workers United,7000
Molder for Mayor,5000
Joda for TN House 30,4963
The Leadership Conference on Civil and Human Rights,3831
Donald J. Trump,2857
Tennessee Republican Party,2000
Nashville Tea Party,2000
Civic Action Network,1387
Heidi Heitkamp,1151
Rep. Raumesh Akbari for Senate District 29,1000
Kristen Grimm for State Senate,1000
Kanew for Congress,1000
Jamie Ballinger for Tennessee Senate,1000
David Adams For City Commission,1000
Clark Boyd-State Representative District 46,1000
Cameron Sexton,1000
Swing Left,991
Families For Trump,858
Jason Mccraw for Mayor,702
Energy Citizens,657
Anna Caballero for Senate,593
Tax March,589
End Citizens United,524
National Republican Congressional Committee,497
Democratic Coalition Against Trump,335
Planned Parenthood Action,293
Circa,276
Ron -RG- Gladden for City Council,269
Turning Point USA,266
ACLU,265
American AF,220
Oceana,202
CNY Fertility,201
Stand Up America,152
Elizabeth Warren,142
USA for UNHCR,126
Concealed Online,126
Claire McCaskill,120
Support The 2nd Amendment,113
Proud Right Winger,107
NRDC Action Fund,105
Kamala Harris,64
FloridaStrong,63
2atees1,63
Kirsten Gillibrand,62
National Park Foundation,47
Klean Kanteen,44
We The People Holsters,40
Conservative Tribune,39
Independent Voter,37
Judicial Watch,36
National Network of Abortion Funds,29
Let Africa Live,26
MoveOn,25
Bill Nelson,22
Chris Murphy,21
Finance Watchdogs,20
Armed American Supply,20
World Wildlife Fund,19
The Nature Conservancy,17
The Wilderness Society,15
Beto O'Rourke,15
Everytown for Gun Safety,13
Oxfam,12
James Thompson for Kansas,11
Angie Craig,11
Union Patriots,10
ClearPath Action Fund,10
Democratic Senatorial Campaign Committee (DSCC),8
SOULCRAFTallstars,7
Mark Pinsley,6
Indivisible Guide,6
Carl DeMaio,6
NC Conservation Network,4
Michelle Gorelow for Assembly District 35,3
Lesley for CU Regent,2
Human Rights Campaign,2
Gary Turco for State Representative,2
Fred Upton,2
Andrew "Bubba" Labas, Alderman - Ward 1,2
Ed McBroom for State Senate,1
Winning For Women,0
VoteTogether,0
United States Holocaust Memorial Museum,0
Tina Smith,0
Time To Vote On Climate,0
The Western Journal,0
The Rutherford Institute,0
The Collective PAC,0
TIRRC Votes,0
State Representative Martin Daniel,0
Shield Republic,0
Shaun King,0
Resist Trump's agenda,0
Pulse Centers,0
Power In Cooperation,0
Portside,0
Politicon,0
Physicians Quality Care,0
Pfizer,0
POW Action Fund,0
Our Kids 1st - Our Schools Now,0
Our City News  - By Vice-Mayor Mike Callis,0
Ocean Conservancy,0
No on Prop C,0
No Kid Hungry,0
National Democratic Redistricting Committee,0
NRDC,0
NRA Institute for Legislative Action,0
NRA - National Rifle Association of America,0
Mike Cunningham for Lakeland Mayor,0
Mercy Corps,0
MedicareSupplement.com,0
Maple Heights African American Gazette,0
Maggie's List,0
Louder with Crowder,0
Liftable Engagement Services,0
LifeDaily,0
Lessons from Military History,0
Latino Community Fund -LCF Georgia,0
Kyrsten Sinema,0
Kimberly Faith - Author,0
Kentucky Family Values,0
Judd Cowan,0
Jewish Voice Ministries International,0
Jeff Merkley,0
In the Woods with Phil,0
I Am An Immigrant,0
Heifer International,0
Giving Brush,0
Giffords,0
FrackFeed,0
Express Employment Professionals - Nashville North & Downtown,0
Designs For Victory,0
Democrats,0
Democratic Party,0
David Baria for Mississippi,0
Dana Balter for Congress,0
Conservation International,0
Committee to Rebuild Maine's Middle Class,0
Co-ops Vote,0
Clila- Coalición De Líderes Latinos,0
Chris Manning for Congress,0
CREDO Mobile,0
CARE,0
Brent Legendre for Congress 2018,0
Blue Wave,0
Be A Hero,0
American Jewish World Service - AJWS,0
Adam Schiff,0
AJ Holmes for State Representative,0
