Beto O'Rourke,3005813
Reform Austin,1453000
Concealed Online,886635
NumbersUSA,600000
MJ for Texas,323000
Dan Patrick,236000
James Talarico,167000
Greg Abbott,116000
Texans for Natural Gas,104805
Voto Latino,76000
We Built This,60000
Gina Ortiz Jones for Congress,59000
Faith Johnson For District Attorney,50000
Tom Steyer,32000
Home Professionals,32000
Justin Nelson,24737
Secure San Antonio's Future,23000
Dan Flynn for Texas House District 2,18000
Cynthia Flores for Texas State Rep, District 52,16000
Dan Crenshaw,14988
I Love You, America,12735
National Association of Home Builders,12103
Donald J. Trump,11465
Vote NO on the RISD TRE,11000
Omar Kadir for Treasurer,11000
Mark Tippetts for Texas Governor,11000
Alliance for Climate Education,11000
Cheddar,10006
Texas Nationalist Movement,10000
Michael Quinn Sullivan,10000
Dwayne Bohac,10000
Texas Public Policy Foundation,9000
Samuel Williams for Congress,9000
The Buffalo Tree Festival,6991
Maureen Kursh Reister for Justice of the Peace, Denton County, Pct 2,6000
Sean Hicks Keller City Council Place 2,5000
Helen Petry Stowe for Judge - Bexar County Court 1,5000
Albert Roberts for Tarrant County District Attorney,5000
Eric Holguin for U.S. Congress,4994
Elizabeth Warren,4587
Lupe Valdez,4000
ACLU of Texas,3999
The Leadership Conference on Civil and Human Rights,3895
Mi Familia Vota,3454
MoveOn,3376
Vote for ECISD,3000
TechBloc,3000
Lorie Burch for Congress - TX-3,3000
C-Farar,3000
4ocean,2631
National Republican Congressional Committee,2154
United States Constitution,2150
Traci Maxwell-WISD Pl.2,2000
Texans For Dade,2000
Smartwool,2000
Re-Elect Justice Patricia O. Alvarez, Fourth Court of Appeals,2000
Matthew Pillado, PLLC,2000
Fred Infortunio,2000
Adam Milasincic for Texas State Representative,2000
Penzeys Spices,1373
Power In Cooperation,1244
Klean Kanteen,1096
Winning For Women,1052
Webb County Judge Tano E. Tijerina,1000
Vish for City Council District 6,1000
Vicente Gonzalez for U.S. Congress,1000
Van Taylor,1000
The Black Women's PAC,1000
Swing Left TX-32,1000
Ron Wright for Congress,1000
Republican Party of Navarro County,1000
Lorena Perez McGill,1000
Lane Gulledge for Tarkington School Board Position 1,1000
Lance Gooden,1000
Kara Zartler,1000
Julie Countiss for Justice, 1st Court of Appeals, Pl. 7,1000
Judge Brandy Hallford,1000
Josh Wilkinson for Texas House 14,1000
Jolt Texas,1000
JoeyRios,1000
Jim Murphy,1000
Humble Area Democrats,1000
HOT SAUCE MAGA,1000
Friends of Sendero,1000
Equality Texas,1000
