Voices for Utah Children,362000
Our Kids 1st - Our Schools Now,197000
Eric Eliason for Congress,34999
Solar Rebate,16000
Utah Senate Democratic Campaign Fund,13000
Tanner Ainge,5000
Sim Gill for Salt Lake County District Attorney,5000
I Love You, America,2574
Senator Jim Dabakis,2000
Kathleen Riebe  Senate 8,2000
Home Professionals,2000
Andrew Stoddard for HD44,2000
NRDC,1005
Shireen for Congress,1000
Chase Winder,1000
Bob Aagard for Granite School Board,1000
Ben McAdams,1000
Ada Wilson for Alpine School Board,1000
Tom Steyer,597
John Legere,569
Our Nature, Our Nation, Our Future,482
Donald J. Trump,433
Erase The Hate,314
Great America PAC,269
National Republican Congressional Committee,167
The Atlas Society,136
Heidi Heitkamp,133
American AF,121
Claire McCaskill,114
ACLU,111
Politicon,109
PolicyEd,83
Bill Nelson,81
4ocean,80
Peter G. Peterson Foundation,78
MoveOn,72
End Citizens United,69
World Wildlife Fund,68
Beto O'Rourke,68
Concealed Online,53
BuzzVote,47
Stand Up America,35
Kamala Harris,34
Arkansans for Jobs and Justice,34
USA for UNHCR,29
Giving Brush,26
CARE,25
X Straws,23
Animal Protection Voters,23
Kerry Donovan,22
Rappin For A Reason,inc.,21
MJ for Texas,21
Planned Parenthood,19
EMILY's List,18
Power In Cooperation,15
Everytown for Gun Safety,15
Kyrsten Sinema,14
LevinTV,13
Finance Watchdogs,12
Progress NC Votes,10
Judicial Watch,10
Goods Unite Us,10
Time To Vote On Climate,9
Greenpeace USA,9
Anna Caballero for Senate,9
Will Robinson,8
Fipple,8
United States Holocaust Memorial Museum,7
The Collective PAC,7
Planned Parenthood Action,7
Pfizer,7
Patriot Depot,7
Jeff Merkley,7
Conservation International,7
Bird + Stone,7
The Nature Conservancy,6
Democratic Senatorial Campaign Committee (DSCC),6
Conservative Tribune,6
Military Officers Association of America (MOAA),5
Tony Evers,4
Science for Humans and Freedom Institute,4
Oxfam,4
Kirsten Gillibrand,4
Angie Craig,3
Shareblue Media,2
Kiana Maria Sears,2
Kathy Hoffman,2
Energy Citizens,2
Catholic Relief Services,2
Carl DeMaio,2
Be A Hero,2
Andrew Gillum,2
Texans for Natural Gas,1
James Thompson for Kansas,1
Indivisible Guide,1
Working Families Party,0
Winning For Women,0
Tina Smith,0
ThoughtFull,0
The Rutherford Institute,0
The Leadership Conference on Civil and Human Rights,0
Swing Left,0
Suzanne Harrison,0
Support The 2nd Amendment,0
Sonoma Land Trust,0
Shield Republic,0
Sharice for Congress,0
Representative Ed Thompson,0
RedBlue Tracker,0
Oceana,0
National Network of Abortion Funds,0
National Democratic Redistricting Committee,0
NRDC Action Fund,0
Modern Medicaid Alliance,0
Mercy Corps,0
Lone Star Project,0
Lessons from Military History,0
Jon Tester,0
Joe Kennedy III,0
Janet Mills,0
Instagram,0
Heifer International,0
Geoff Diehl,0
Environmental Defense Fund,0
Elizabeth Warren,0
Democratic Party,0
Dana Balter for Congress,0
CRTV Tonight with Gavin McInnes,0
CREDO Mobile,0
Bobby Kuppers for NC Senate,0
Blue Wave,0
Armed American Supply,0
Anthony Sudweeks for House District 49,0
Animal Matters,0
Angel in a Hummer & HEART Foundation,0
Andy Kim for Congress,0
Amnesty International USA,0
Alyse Galvin for Congress,0
