Don Turner Jr. for VT Lieutenant Governor,19000
Let's Grow Kids,2000
NRDC,1014
Solar Rebate,1000
Brad Peacock for U.S. Senate,1000
Ben Jickling,1000
Heidi Heitkamp,890
Tom Steyer,447
Beto O'Rourke,395
Elizabeth Warren,359
Planned Parenthood Action,292
MoveOn,108
Kamala Harris,101
Kirsten Gillibrand,94
Peter G. Peterson Foundation,90
Donald J. Trump,82
Klean Kanteen,60
Bill Nelson,58
Gus Bilirakis for Congress,39
4ocean,37
Blue Wave,36
Giving Brush,33
World Wildlife Fund,29
John Legere,29
ACLU,25
USA for UNHCR,24
I Love You, America,23
Elect Carolyn Long,23
The Nature Conservancy,20
CRTV Tonight with Gavin McInnes,19
MJ for Texas,18
E. O. Wilson Biodiversity Foundation,18
dittymoji,16
Planned Parenthood,14
Chris Murphy,14
UltimateStraw,13
PragerU,13
Stand Up America,12
RSCC,11
Shareblue Media,10
Dianne Feinstein,10
Airport Workers United,9
Heifer International,8
WhyHunger,7
Indivisible Guide,7
National Republican Congressional Committee,6
National Association of Manufacturers,6
Fighting for our future,6
Democratic Senatorial Campaign Committee (DSCC),6
Be A Hero,6
Support The 2nd Amendment,5
Oxfam,5
Oceana,4
Martz for NY State Senate,4
Let Africa Live,4
Jeff Merkley,4
Human Coalition,4
Giffords,4
Energy Citizens,4
Concealed Online,4
CARE,4
Brut,4
Greenpeace USA,3
Andrew Gillum,3
Time To Vote On Climate,2
Keith Faber,2
Imprimis, a Publication of Hillsdale College,2
Human Rights Campaign,2
End Citizens United,2
Trumpiness,1
NARAL Pro-Choice America,1
Every State For Israel,1
Claire McCaskill,1
Civic Action Network,1
Allison Gilman For Judge,1
Working Families Party,0
Winning For Women,0
VoteTogether,0
United Way of Greater New Haven,0
Tony Evers,0
ThoughtFull,0
Swing Left,0
Sierra Club,0
Shaun King,0
Sharice for Congress,0
Scott Garren for State Senate,0
Ro Khanna,0
Proud Right Winger,0
Pfizer,0
Overworked Moms,0
No Kid Hungry,0
National Network of Abortion Funds,0
NRDC Action Fund,0
Military Officers Association of America (MOAA),0
Mad Dog PAC,0
Jewish Voice Ministries International,0
Everytown for Gun Safety,0
Eversmeyer and Guerrero For Township Committee,0
Environmental Defense Fund,0
Democrats,0
Democratic Party,0
Democratic Coalition Against Trump,0
David Baria for Mississippi,0
Armed American Supply,0
Animal Matters,0
American Jewish World Service - AJWS,0
92nd Street Y,0
