NumbersUSA,200000
Leslie Cockburn for Congress,200000
Concealed Online,171539
League of Conservation Voters,100000
Sierra Club,36560
Everytown for Gun Safety,29000
National Republican Congressional Committee,13621
The Voter Participation Center,13000
NRA - National Rifle Association of America,10000
DoSomething.org,10000
Councilmember Bill McKenna,10000
Our Lives Our Vote,9925
Tom Steyer,7995
Heritage Action for America,7000
Scott Taylor,5000
Councilman Marc Aveni,3000
Donald J. Trump,2778
Anna Caballero for Senate,2032
Roanoke for Jennifer Lewis,2000
Clean Power Virginia,2000
Military Officers Association of America (MOAA),1562
Swing Left,1517
The Republican Standard,1000
Stop the Flooding NOW,1000
NRDC,1000
Bobby Dyer for Mayor,1000
Barbara Comstock,983
RSCC,941
Kamala Harris,843
Bob Casey,754
Giffords,593
David Wilson for Senate District 15,491
United States Constitution,475
Science for Humans and Freedom Institute,428
4ocean,395
Heidi Heitkamp,363
Elizabeth Warren,342
MoveOn,313
William Ty Nestor for WV House of Delegates,288
ACLU,276
Oxfam,251
The Western Journal,240
Judicial Watch,232
The Leadership Conference on Civil and Human Rights,227
End Citizens United,222
Angie Craig,207
Arkansans for Jobs and Justice,205
Marggie Castellano for State Senate 36th District,197
Visions of Hope for Africa,190
Beto O'Rourke,185
Penzeys Spices,168
GroundUp,152
Planned Parenthood Action,137
Build With Strength,133
Blue Wave,131
ArtProfileratx,104
American AF,93
Tom Langan for Judge,90
Center for Biological Diversity,88
Bill Nelson,73
Kirsten Gillibrand,68
Circa,67
Consumer Action for a Strong Economy,66
Stand Up America,58
Kyrsten Sinema,55
Ryan Hampton,53
James Thompson for Kansas,52
Giving Brush,46
FloridaStrong,46
Democratic Senatorial Campaign Committee (DSCC),45
Anne Gonzales,38
Bird + Stone,34
The Nature Conservancy,33
Jetties Bracelets,33
Finance Watchdogs,30
MJ for Texas,28
USA for UNHCR,25
Gus Bilirakis for Congress,25
Fipple,25
Be Conscious. Be Kind.,24
We Can Solve This,23
Texans for Natural Gas,23
National Network of Abortion Funds,22
Shield Republic,20
Conservative Tribune,20
NRDC Action Fund,19
Elect Carolyn Long,19
ExxonMobil,15
Mayor Matt Hall,10
Energy Citizens,10
Indivisible Guide,8
VoteYes4Success,6
Solar Rebate,4
Rick Green,4
Ed McBroom for State Senate,4
Karen For Kentucky,3
Faith Johnson For District Attorney,3
Anne Petera for Dare County Commissioner,3
Amie Hoeber for Maryland,2
Chris Murphy,1
Allan Kittleman,1
dittymoji,0
Working Families Party,0
Winning For Women,0
Who Stole the American Dream?,0
Warren County VA Democratic Committee,0
VoteTogether,0
United States Holocaust Memorial Museum,0
Tina Smith,0
Tim Hugo,0
Theresa Coates Ellis for Manassas,0
The Rutherford Institute,0
Support The 2nd Amendment,0
State Auditor Mary Mosiman,0
Shaun King,0
Sharice for Congress,0
Save the Redwoods League,0
Ryan McAdams For Congress,0
Ro Khanna,0
Power In Cooperation,0
Phone2Action,0
Phil Bredesen,0
Pfizer,0
Oceana,0
Ocean Conservancy,0
No Kid Hungry,0
Nine Line Apparel,0
New Yorkers Together,0
National Park Foundation,0
National Democratic Redistricting Committee,0
Michelle Davis-Younger for City Council,0
Michael “Mike” Diaz for Stephens City Mayor,0
MedicareSupplement.com,0
Lupe Valdez,0
Latino Tax Professionals Association,0
Klean Kanteen,0
Janet Mills,0
In the Woods with Phil,0
I Am CA22,0
I Am An Immigrant,0
Gary Broderick for School Board Member,0
Divided We Stand,0
Democratic Party,0
Dee Oliver for Virginia Beach City Council,0
David Baria for Mississippi,0
Dana Young,0
ClearPath Action Fund,0
Character Matters in Washington County Maryland,0
Change The Date,0
Catholic Relief Services,0
CARE,0
Be A Hero,0
Association for Accessible Medicines,0
Armed American Supply,0
Arlington Dems,0
