Yes On 1631,596000
Vote in WA,322000
Yes to Affordable Groceries,115000
Washington State Democratic Party,69668
Sharon Shewmake Page,54995
Support Our Schools,54000
Everytown for Gun Safety,53086
Kalispel Tribe of Indians,25628
Lisa Brown,22967
Elect Carolyn Long,18798
Dr. Kim Schrier,16000
Derek Smith for Judge,11000
Alliance for Climate Education,11000
US~Observer,10000
Tacoma Creates,10000
Paul Graves,10000
Senator Tim Sheldon,9999
Oceana,7000
The Wilderness Society,6998
Question PAC,6206
Vote Atul Deshmane,6000
ACLU,5892
Whatcom Wave,5000
Vote Travis Brandt for Chelan County Superior Court Judge #2,5000
Jamie Raebel for Coroner,5000
Elect Tanisha Harris,5000
PathWater,3810
Elizabeth Warren,3749
Concealed Online,2778
Donald J. Trump,2465
Bird + Stone,2311
SOULCRAFTallstars,2086
The Voter Participation Center,2053
Vote Bud Blake,2000
Elect Jessa Lewis,2000
AFSCME Council 28 WFSE,2000
Drew MacEwen-State Representative,1997
Whatcom Republicans,1989
Elect Ev Maroon,1929
Ben Shapiro,1317
BuzzVote,1157
Jewish Voice Ministries International,1109
The Fourth Corner,1000
Spokane Public Schools,1000
Pybus Public Market,1000
Kevin Schmelzlen for Mason County Commissioner,1000
Eric Valley for District Court Judge,1000
Eric Halvorson,1000
Dave Neupert,1000
Asian Counseling and Referral Service (ACRS),1000
Aaron For Lummi Nation,1000
End Citizens United,545
Goods Unite Us,390
American AF,361
National Republican Congressional Committee,325
Be A Hero,323
AARP Oregon,316
NARAL Pro-Choice America,301
Beto O'Rourke,294
Kamala Harris,287
MoveOn,267
United States Constitution,251
Conservative Tribune,240
dittymoji,221
G.I. Jobs Magazine,205
Every State For Israel,171
Planned Parenthood Action,169
Bill Nelson,167
Democratic Coalition Against Trump,148
The Leadership Conference on Civil and Human Rights,130
Viking Books,122
Kathy Manning,114
USA for UNHCR,95
Judicial Watch,92
Klean Kanteen,90
Rugged Roots,88
The Nib,87
Carl DeMaio,81
Progress NC Votes,77
Resonate,72
Stand Up America,66
DefendArizona,64
Energy Citizens,59
NRA - National Rifle Association of America,56
Allison Gilman For Judge,56
FrackFeed,55
CREDO Mobile,54
Shaun King,53
Defenders of Wildlife,47
E. O. Wilson Biodiversity Foundation,44
World Wildlife Fund,40
Greenpeace USA,39
Planned Parenthood,36
Human Rights Campaign,36
National Democratic Redistricting Committee,35
Swing Left,33
Changetherules.org,33
Joe Kennedy III,32
CARE,30
United States Holocaust Memorial Museum,28
Blue Wave,28
Pfizer,27
UltimateStraw,26
Support The 2nd Amendment,25
Color Of Change,25
National Network of Abortion Funds,24
The Ben Shapiro Show,23
Oxfam,17
Bill Lightle for Georgia Senate District 16,16
Jeremy Messina,15
Chris Murphy,14
Jamie McLeod-Skinner for Oregon,10
Geoff Diehl,6
Winning For Women,4
Lesley for CU Regent,4
Campbell For NC Senate,4
Clarke Tucker for Congress,3
Texans for Natural Gas,2
Jim Gaughran for State Senate,1
Janet Mills,1
Dana Young,1
Arkansans for Jobs and Justice,1
Working Families Party,0
VoteTogether,0
Tony Rackauckas,0
Tina Smith,0
ThoughtFull,0
Thomas A. Matthews,0
The Western Journal,0
The Rutherford Institute,0
The Pragmatic Libertarian,0
Tammy Baldwin,0
Suzanne Harrison,0
Surfrider Foundation,0
Smartwool,0
Sierra Club,0
Shield Republic,0
Sharice for Congress,0
Science for Humans and Freedom Institute,0
Saturn for Utility Commissioner,0
Ro Khanna,0
Representative Thyra Stevenson,0
Proud Right Winger,0
Power In Cooperation,0
Portland Children's Levy,0
Politicon,0
Phil Bredesen,0
Pam Nogueira Maneman,0
Orca Relief Citizens' Alliance,0
Ocean Conservancy,0
No Kid Hungry,0
Newday Impact Investing,0
National Association of Manufacturers,0
NRDC,0
Mt View WA Democrats,0
Mercy Corps,0
Mariannette Miller-Meeks,0
Louder with Crowder,0
LifeDaily,0
Lets Get It - Fitness,0
Lessons from Military History,0
Leesha Ford for HD21,0
LIberty Road,0
Kyrsten Sinema,0
Kirsten Gillibrand,0
King County Republican Party,0
Kathy Mulkerin for Walla Walla County Clerk,0
Kathy Hoffman,0
Jeff Merkley,0
James Thompson for Kansas,0
Indivisible Guide,0
I Am CA22,0
I Am An Immigrant,0
Heifer International,0
Heidi Heitkamp,0
Headline Shirts,0
Giffords,0
Front and Centered,0
Fipple,0
Finance Watchdogs,0
Exclusive Apparel,0
Elect Bob Bugert,0
Dodson and Sims for WSLC,0
Devin Beach PUD Commissioner District 1 Candidate,0
Democratic Senatorial Campaign Committee (DSCC),0
Democratic Party,0
David Baria for Mississippi,0
Dan Newhouse for Congress,0
Dan Hanks for Idaho,0
Conservation Northwest,0
ClearPath Action Fund,0
Claire McCaskill,0
Chris Thobaben - Democrat 18th LD Position 1,0
Chad Magendanz,0
Catholic Relief Services,0
CRTV Tonight with Gavin McInnes,0
Association for Accessible Medicines,0
Armed American Supply,0
Amnesty International USA,0
American Jewish World Service - AJWS,0
Alyse Galvin for Congress,0
