Greene 4 Mayor,1994
NRDC,1003
Wyoming Migration Initiative,1000
Teton County Democrats,1000
Mayor Andi Summerville Laramie City Council,1000
Barbuto for Commission,1000
The Wilderness Society,786
PragerU,378
Donald J. Trump,279
Swing Left,107
National Republican Congressional Committee,105
Beto O'Rourke,71
Jay Trumbull,65
Concealed Online,62
United States Constitution,52
PolicyEd,52
Judicial Watch,41
American AF,34
The Nib,30
Kialo,30
Lesley for CU Regent,28
Jewish Voice Ministries International,28
UnitedVoice.com,22
Survival Life,21
Democratic Senatorial Campaign Committee (DSCC),20
Jon Tester,16
Center for Biological Diversity,16
Kamala Harris,14
I Love You, America,14
Kirsten Gillibrand,13
The News and Why It Matters,12
MoveOn,11
MJ for Texas,9
Democratic Legislative Campaign Committee - DLCC,9
Sierra Club,6
Roger Barris for Congress,6
Let Africa Live,6
Electric Nation: Powered By Wind,6
ACLU,6
Jeff Merkley,5
FloridaStrong,4
Elizabeth Warren,4
Andrew Gillum,4
4ocean,4
Military Officers Association of America (MOAA),3
The Ben Shapiro Show,2
Planned Parenthood Action,2
No Kid Hungry,2
National Network of Abortion Funds,2
Human Rights Campaign,2
Eric Eliason for Congress,2
Catholic Relief Services,2
CARE,2
USA for UNHCR,1
Texans for Natural Gas,1
Planned Parenthood,1
Oceana,1
National Democratic Redistricting Committee,1
NRDC Action Fund,1
Marggie Castellano for State Senate 36th District,1
Kyrsten Sinema,1
Bill Nelson,1
Winning For Women,0
Trumpified News - Blue pilled to Red pilled,0
Tina Smith,0
The Western Journal,0
The Levitical Society,0
Support The 2nd Amendment,0
Steve Rozier for Campbell County Coroner,0
Stand Up America,0
Shaun King,0
Resist Trump's agenda,0
Power In Cooperation,0
Planned Parenthood Advocates of Michigan,0
Paul Johnson for Wyoming House,0
Mercy Corps,0
Luther for County Commissioner,0
Klean Kanteen,0
James Thompson for Kansas,0
Indivisible Guide,0
Heifer International,0
Heidi Heitkamp,0
Giving Brush,0
Gideon Oakes for District 30 Senator,0
Forward Wyoming,0
Energy Citizens,0
DeSmogBlog,0
Conservative Tribune,0
Co-ops Vote,0
Blue Wave,0
Armed American Supply,0
Andy Kim for Congress,0
American Jewish World Service - AJWS,0
45th President Donald J. Trump,0
