Heidi Heitkamp,77264,154528
The Voter Participation Center,21487,53718
Scott Walker Is Letting Our Schools Crumble,18065,45163
Hotel Workers for Stronger Communities,13419,33547
Kimberlin Brown,12586,25171
We Are PA,10412,20824
Dummycrats,9492,23729
4ocean,9168,22921
Penzeys Spices,8941,17881
Devin Nunes,8508,21270
Barrett Davie for Illinois Senate,8333,16667
Benjamin Dunn for State Senate,8136,16272
Better Colorado Now,7974,19934
Strong Miami,7236,14473
Notorious Rbg - Protect Women Power,7181,14361
Charter Strong,6262,12524
Healthy and Productive Michigan,5570,11140
McCann For Governor,5357,10713
Justin Brock,5000,9999
People United for Privacy,4389,21946
American Financial Advisory For A Better Future,4367,21832
Pierce for AZ Mine Inspector,4003,8005
Vote Yes RRISD Bond,3879,7758
Save the Children Action Network,3577,7155
Integrity First PAC,3031,6062
Population Connection,2827,5653
Yes on 8,2766,13832
Cristina Garcia,2621,13104
"Great Schools, Thriving Communities",2542,12710
Military Network,2506,12530
Michigan Families for Economic Prosperity,2373,4746
Steve Ferrara,2336,11682
Military Officers Association of America (MOAA),2280,11400
Illinois Policy,2269,11344
Mel Hall,2263,11313
EFB Advocacy,2261,11303
Maine Matters,2217,11082
AARP Missouri,2204,4408
Stand for Children - Arizona,2088,4175
Coalition to Protect Patient Safety,2087,10437
Justice Jason Boatright,1984,9921
SDSU WEST,1943,3886
NARAL Pro-Choice America,1887,9434
Choose Me Not 3,1885,9424
Mary Renfro,1864,3727
Caroline Self,1852,9259
Just Fix Our Roads 2018- Prop 463,1808,9039
Republican Governors Association (RGA),1806,9030
Bill O'Reilly,1768,8839
Ryan Gatti for State Senator District 36,1733,8663
Greg Lasak for District Attorney,1731,8653
Selma Pierce,1675,3349
Judicial Watch,1642,8209
The Holy Tribune,1620,3239
Eddie Smith for State Representative,1547,7734
Communities Creating Opportunity (CCO),1507,7533
Yes On 793,1501,3002
James Mendrick For DuPage Sheriff,1487,2975
Oklahoma Council of Public Affairs,1474,7370
The Wilderness Society,1432,2863
Jay Gonzalez,1418,7091
Avaaz,1313,2625
Marsy's Law for Oklahoma SQ 794,1298,2596
Yoder Wrong for Kansas,1263,2527
Fox 13 News,1254,2507
Prosperity Denver,1248,6239
Restoration PAC,1240,6198
Alliance for a Better Minnesota,1212,6059
NC House Republicans,1204,6019
Heather Macre 4 CAWCD,1190,2380
ReBuild USA,1153,5765
Spectrum News NY1,1137,5684
Will Hurd,1121,5603
Self-Reliant Republic,1104,5519
Brian Mast,1083,5417
Print For Progress,1078,2155
Make Comedy Great Again,1076,5379
All For Them,1049,5247
Arkansans for Jobs and Justice,1038,2075
Colorado Way,1036,5179
No on Measure G,1033,2066
Henry McMaster,1025,5123
American Tort Reform Association,1023,2045
Premium Care For Seniors,1000,4999
Jason Tolliver for Lawrence Co. Auditor,1000,4999
Harris County Democratic Party,987,1973
Carlos Curbelo,936,1872
Keatley for Georgia,926,4629
AARP California,895,4477
Veterans and Affordable Housing Act,889,4443
Truth in Annapolis,875,4373
Roy McDonald for Judge,875,1750
Brian Frosh,849,1698
Jim Carns,838,4191
Adam Kinzinger,820,4099
Debra Hembree Lambert for Kentucky Supreme Court,814,4069
Dan Milleson for Ohio's 95th,811,1621
Minnesotans for Line 3,771,3856
SAFE,758,1516
Tennessee Democratic Party,754,1508
Julie Oliver,754,1508
Deborah Hooker for County Judge,748,3740
Angie Craig,747,1494
Dr. Kim Schrier,743,1485
Protect The Harvest,740,1480
Strong Women Society,733,1466
MJ for Texas,720,1439
NO on 105,708,3540
Mike Hanna for State Representative,707,3534
Iowa Senate Majority,703,3513
Solar Energy Today,698,3490
CarsonWatch,696,1392
Barbara Cady,696,1392
Reunify Families Now,688,3439
Judge Mims for Circuit Court,688,1375
Hon John A. Torbett,686,1372
Protect CA Health Care,678,1356
Patagonia,673,1345
Human Rights Campaign,672,3362
Paul Caccaviello,658,1316
Maryland Senate Democrats,654,1307
With Honor,649,3243
Solar Rebate,647,1294
John Chrin for U.S. Congress,635,3174
Kirsten Gillibrand,634,1268
Rachel Crooks for Ohio,632,3158
Thomas A. Matthews,626,3129
DD Adams for Congress,625,1250
Tom Buford for State Senate,624,1248
Mark Meek,619,1239
United Moms,615,3072
Anthony Brindisi For Congress,612,3057
Commissioner Jack Morman,609,3045
Committee to Elect Omar Mason - Judge,606,1212
Larry Hogan,594,2972
Yes on 1 - Mainers for Home Care,589,1178
FreedomWorks,580,2901
We The People - San Diego County,578,2892
Trump Care 2019,572,1143
Ruth Buffalo for North Dakota,571,2854
New Yorkers Together,550,2752
Renee Hoagenson for Congress,539,2693
Scott Webster For Scott County Board,526,1052
Kanew for Congress,512,1024
Leonard Lance Wrong for New Jersey,499,2497
United States Constitution,496,992
Shareblue Media,493,2464
Brian Lohse for Iowa House,484,2420
Guinn Unger for Colorado State Senate,484,969
Debbie Mucarsel-Powell,480,960
America with Eric Bolling,461,922
Truthout,452,904
Goods Unite Us,440,2202
Political Icons,437,2184
Marguerite Quinn for PA Senate,431,861
Rob for Missouri,430,860
California Republican Party,426,2131
Donna Ensley for Buncombe County Commission,423,846
Living Free,409,2044
Gun Violence Prevention PAC - GPAC Illinois,402,2010
JayNelson ForSheriff-Coroner,400,801
State Representative Bryan Avila,397,794
Jerred Taylor for State Representative,391,781
Allison Gilman For Judge,391,781
Allan Kittleman,382,1911
Heritage Action for America,381,1907
Clint Koble For Congress,379,758
Ralph Norman for Congress,376,1881
Tim Walberg,372,1858
Granite State Progress Education Fund,370,1851
Jon Bumstead,362,725
Lissa Lucas for WV House,360,721
Our Flag Our Country,357,1786
Mick Rich,356,1779
Kate Brophy McGee - State Senate,352,705
Jim McGovern,351,1757
Don Rocha For County Supervisor 2018,346,1727
Equine Preservation of North America - EPONA,345,1723
Vote Bud Blake,343,1715
Joe Perske for MN Senate,337,675
BreakPoint,331,1652
The Matriots,324,1618
PCCC - BoldProgressives.org,318,1589
"Perris/Menifee - Measure W for Safe, Quality Local Schools",317,635
Viviana Janer for Osceola,311,1552
Jay Inslee,310,1548
Tom Basile for State Senate,306,613
SoCal Health Care Coalition,305,1523
Bob Krist for Governor,305,610
Motor Voter California,301,1504
The Real Ravitz,301,602
Oklahoma Health Action,299,1494
Beto O'Rourke,298,1488
John Curran for State Senate,293,1465
Yes On 418,291,581
IL-14 Get the Facts,289,1445
Independent Voter,289,1444
Bob Casey,282,564
Margaret Alfonso for Chancery Court Judge,281,1403
Pereira for Wickenburg,280,560
Elect 435,278,1389
Scott Rosenbush 4 Utah,277,554
The Arc Georgia,273,1363
American Patriots PAC,269,1344
Deeds Not Words,264,1318
Future Now USA,262,1310
Just Vote No On 13,262,1308
Davenport for Virginia Beach Mayor,260,519
NO on 3,258,516
Scott Peters,257,1287
CVIIC,251,501
Partnership for Texas,250,1247
Jason Haeseler For Florida House,250,499
Senator Bill Gannon,246,1228
Kevin Stitt for Governor,245,1227
Yes on Measure F,244,1218
Paul Evans,243,486
Mike Coffman,241,481
Pat Nadolski for Alamance County Superior Court Judge,237,1185
Citizen SHE,234,1172
Making Every Vote Count,231,1153
First Home PA,231,1152
Stanton for Arizona,231,462
Sharen Wilson,226,1131
Our Kids 1st - Our Schools Now,226,1128
Vanishingsf,224,449
Environmental Voter Project,221,1105
Association of American Railroads,220,1102
Clodfelter for Arizona,220,1100
Blue Ridge Wealth,217,1084
Stop I-186 To Protect Miners and Jobs,209,418
The Devil We Know,208,1038
Ken Buck,207,1035
Union of Concerned Scientists,201,1003
Devin Middlebrook for Council,201,402
UNRWA USA,200,1002
Mike DeWine,198,992
FloridaStrong,197,983
Amy Goodwin for Mayor,196,978
Ryan Mackenzie for State Representative,195,977
Gaylin for Judge,194,972
Daveellisforjudge,194,970
Yamhill County Awareness,194,969
Re-elect Janice Dabney - School Board District 5,194,969
National Association for Gun Rights,190,952
"Dems for Governor, an Unlimited PAC",189,942
End Citizens United,188,941
Backcountry Hunters & Anglers,188,938
Annie Kuster,187,936
Northwest Abortion Access Fund,186,932
Republican Party of Maricopa County,186,929
Family Research Council,185,923
NRCC IE,183,916
Ryan Rebecca Taylor for Ohio,183,913
Tony Luetkemeyer,181,906
Brennan Bailey for State Representative,180,898
Defend Oregon,178,889
Emily Siegrist for Wisconsin,175,876
End Trafficking & Prostitution,175,875
Elect Ellen Daigle Doskey,175,873
Mike Balderas for ECISD School Board Place 2,173,345
Representative Matt Shaheen,172,862
Maui Rise Up,172,860
J Street Portland,172,860
Equal Citizens,172,858
Dan Forest,171,853
World Animal Protection USA,171,852
Fauzia4Corona-District4,165,827
Paul Pate for Iowa,165,826
Empower Texans,165,826
Serena Schermoly for Mayor,164,820
Regent Wealth Management,163,816
The Greater Give,163,812
Mia Bonta for Alameda School Board,162,809
Judith Higgins for State Senate,161,806
Darrin Camilleri,161,803
Mike Malone,160,799
Keith Rothfus,159,319
Locke Thompson,156,781
Eric Flodine for City Council 2018,156,778
Kelli Butler for Arizona,155,775
South King County Deserves Better,153,766
Republican Museum of North Carolina,153,766
FLAP TV,153,762
Vernon Morris,152,762
Vote For Lakeland,150,750
Jacob Turk for Congress,150,748
Suzanne Smith for Texas,149,743
Jewish Leadership Conference,148,740
The BROWN Report,147,735
Tim Bjorkman,147,733
Jonesing for Justice,146,732
Americans for Prosperity - Louisiana,146,728
AMA Patients’ Action Network,145,290
Ernesto Bejarano for ARUSD Board of Trustees 2018,143,716
Suzy Tubbs Payson Town Council,143,714
Zoomcopy.com,142,709
Joy For Newport,142,708
The Bastrop County Young Republicans,141,704
The Freeing Energy Project,140,700
Modern Medicaid Alliance,138,689
Melanie4NHSenate,138,688
Liftable Engagement Services,138,688
Local Majority,135,677
James Ramos for Assembly,135,674
Franklin County Democratic Party,135,673
Johnny Mack Morrow For State Senate,134,671
Swisher for Idaho,133,666
Adams for Sheriff,133,664
Gene DiGirolamo for State Representative,132,660
Lake and Main,131,657
CD3 Republicans,131,657
Kim Rosen for Maine,131,656
Hannan for Kentucky,130,652
Scott County Democrats,130,649
Alliance for Climate Education,130,648
Michael Hall for Mayor - Corpus Christi,129,647
Zach Whiting for Iowa Senate,129,642
Be Ready to Vote,128,641
Patrick Johnson for District Court Judge,128,640
The Tikvah Fund,126,632
Vote Crier For Marion County,126,630
Emerge Maine,126,630
Dallas Votes 4 Kids,126,630
Hill For Mayor,126,629
Chris Kolker for House District 38,124,622
Joyce Krawiec for NC Senate,124,618
Deb Patterson,123,615
Elissa Slotkin for Congress,121,607
Mi Familia Vota,120,601
Sabrina Harms for Posey County Auditor,120,600
Robin Lundstrum,120,599
Karen Hagstrom for Dutchess County Family Court Judge,120,599
Galbraith for Congress,120,598
Maryland Democratic Party,118,588
Monica Tujak Brill for Connecticut State Senate,117,587
PrintedKicks,116,577
Amy Scott Wasyluka for State Senate,116,231
Chris Pace for Clark County Judge Executive,115,577
Richard Cordray,114,570
Progress NC Votes,113,567
Shatterproof,113,563
Up for Growth,111,557
JoBeth Blair Candidate for Montana House District 11,110,551
You Should Know Texas,110,550
Stand for Children - Indiana,110,549
Phyllis Chesler,109,217
Erin McElroy Barker and Trisha Walsh for Fanwood Council,107,533
Garden State CARES,105,527
Marin Republican Party,105,526
Jonathan Crossley for AR House District 41,105,526
John Crawford for Mayor,104,522
BusinessForce,104,522
Delegate Christian Miele for State Senate,104,521
Secure Energy Future,104,519
Brad Bonham,103,517
Anne Colt Leitess for Anne Arundel County State's Attorney,103,513
"Jennifer Casey for Duval Soil and Water Conservation District, Group 3",102,510
Partnership for Oregon Communities,102,508
Ihlenfeld for State Senate,102,508
The Southern Alliance for Clean Energy,101,507
Ted Budd,101,505
Seth McMillan for State Senate,99,497
Erin for Judge,99,497
Eric Sitler for Ward 1 Alderman,99,494
Tim Ridge For Ward 2 Hilton Head Island Town Council,98,487
Your Trump Shop,98,196
Geoffrey Cauble For GA,98,196
Michael Brennan for Maine House District 36,96,478
Collier County Democratic Party,95,474
Food for the Hungry,95,189
CVNM Verde Voters Fund,94,472
Aisha Wahab For City Council,94,471
Ginger Garner for NC Senate,94,469
David Chiu,94,469
Conservative Tribune,93,465
Alec Johnson for Texas State House District 11,93,464
Tony Evers,92,462
Kraut for CT.,92,462
Dane4Dogs,92,462
Teri for Mayor,92,461
Charles Kochlacs for Judge,92,460
"Paul Van Blarcum, Ulster County Sheriff",91,454
Councilman Ian Lovejoy,91,454
Davis For State Treasurer,91,182
Emily Best for PA Senate,90,450
Camden Raynor for Board of Education,89,447
Keep Judge Gretchen Hollar Kirkman as District Court Judge,88,442
Hansen for House,88,437
Democrats for Bob Hugin,87,437
David Schapira for Superintendent,87,437
We The People ORG,87,436
JD Wooten for NC Senate,87,435
Novin2018,87,434
Joe Gruters,86,432
Joda for TN House 30,85,426
Yes for Affordable Housing,85,424
Christina Rainville for State’s Attorney,85,423
Commit,84,167
Senator Beth Martinez Humenik,83,416
Fight the New Drug,83,166
Scott Dianda,80,401
City of Eagles Landing,79,394
Blake Perez for Brea City Council,79,394
Soraya Diase Coffelt for Gov.,79,158
Stu News Laguna,78,392
Pat Joffrion for School Board,76,382
Bruce Rauner,76,378
David Carlucci,75,374
FutureinAmerica,74,370
City Journal,74,370
Kelly Breen for MI State Representative - District #38,73,366
Rick Green,73,364
Fontana Proud,73,364
Joe Preston for SC House,73,362
Mayor Judy Ritter,72,362
Arlington Dems,72,359
Aimee Rivera Cole for District 37,72,359
Timothy A. Priano,72,358
Stop the Gross Dam Expansion Coalition - Lead by TEG,71,353
Placer County Impact Republicans,71,353
Judge Sandra Ray for NC Court of Appeals,70,351
Noble Energy Colorado,69,346
Elect David Norton - Mayor of Pawtucket,68,341
Anna Caballero for Senate,68,341
Julie Parrish for Oregon District 37,67,337
Everybody Is For Amendment 2,67,337
Ben McAdams,67,336
Teresa Barrett,65,326
Senator Sue Serino,65,324
James Walters for District Judge 2018,64,321
Winning For Women,64,320
Vote NO on the RISD TRE,64,320
Auditor Suzanne Bump,64,319
Warren Kampf for PA State Representative,64,318
I support Steve McShane for District #3 Salinas City Council,64,318
Annie Rabbitt for Senate,63,317
Earthworks Action Fund,63,316
Dennis Mitchell for JUstice of the Peace -District 7,63,316
Jonathan Boos for State Representative,63,315
"Martha Marx For CT State Senate, District 20",63,313
Ron Rowlett for Mayor,62,309
Casey Weinstein for State Rep,61,305
Pennsylvania Leadership Committee,60,299
Hoover Democrats,59,296
W.K. Kellogg Foundation,58,291
Arizona Truth Squad,58,290
Cort VanOstran for Congress,58,116
AFSCME Council 31,57,287
Patriot Depot,57,286
The Committee to Elect Vincent J. Costanza,57,285
Home Improvement Deals,57,285
FTC PAC,57,285
Eric Eliason for Congress,57,285
Fred Hubbell,56,280
Farrah N. Khan for Irvine City Council 2018,55,277
Ben Queen,54,269
Indivisible Guide,53,263
Cathy Albro,52,258
Alliance for Michigan Power,52,258
Tom Palzewicz for Congress,52,104
Dan Crenshaw,51,256
Ralph Atchue for AZ Senate LD11,50,252
Niles Niemuth,50,252
2atees1,50,251
Stevevonna For 2018 Adelanto City Council,49,247
"Juan Vides for New York State Assembly, 20th District",49,243
Alan Geraci for Assembly,48,242
Sukh Sidhu for Yuba City Council 2018,48,241
Friends Of Steve Johnson,48,239
Missouri House Victory Committee,48,97
Mitch Weber for Missouri,46,230
VOTE YES For Oregon City Schools - Measure 3-545,45,226
We The People Holsters,45,224
Dr. Ken Wright for US Congress,44,222
Michael  Joseph,44,218
Estrada For Baldwin Park Mayor,43,213
Vawnita Hovet Best - McKenzie County Commissioner,42,210
Taylor Sappington for State Representative,41,207
Sudan Relief Fund,40,200
Save the Last KC Forest,40,199
San Francisco Housing Action Coalition,39,194
Jennifer Konfrst for Iowa House,39,194
Poythress for Senate 2018,39,193
Floridians for a Fair Shake,39,193
Sue Hatfield for CT Attorney General,37,187
USA for UNHCR,37,185
Alexandria Ocasio-Cortez,37,185
Paolo Weston,36,181
SEIU Healthcare Illinois & Indiana,36,180
Arizona Democratic Legislative Campaign Committee,36,180
The Real Robyn Vining,36,178
Dissent Pins,36,178
"Elect Jennifer Dusing for Family Court Judge, Boone and Gallatin Counties",35,176
2A Training,35,176
Greg Gianforte,35,173
Irene Fernando for Hennepin County Commissioner - District 2,34,171
Senator Brian Zehnder,33,167
The Law Offices of Shane McClelland,33,165
Flip Wyoming,33,165
Ken Simpler for Delaware,33,163
Steve Dettelbach,32,162
Kris Rixon for NC House 9,32,162
Trenton Don't Touch My Insurance Rates,32,160
Anton Andrew for State Representative,31,157
Angus King,31,155
Stand For Salmon,31,154
Alabama Today,31,152
Matthew Sutherland,31,63
Re-Elect Clayton Koo to JESD School Board 2018,30,152
Jewelyn Cosgrove for School Board,27,133
Miami Freedom Park PC,26,128
Garnet Lewis for State Senate,23,115
Native Americans for Tester,22,111
Ald. Edward M. Burke,22,110
Coloradans for Fairness,22,109
FEE,22,108
Cullen Tiernan for Fremont City Council,20,102
Barbara Dröher Kline for 20A,20,98
Buffy Wicks,19,97
Citizens for Secure Borders,19,96
Mary Ann Shallcross Smith,19,95
Jackie Walorski,19,95
Science for Humans and Freedom Institute,19,93
NOmeasureX,18,91
Southern Oregon Priorities,18,90
Working America,16,79
Yes on A: Strengthen the Seawall for Earthquakes and Disasters,16,78
Krista Griffith For Delaware,16,78
Indiana Environmental Reporter,16,78
Brad Peacock for U.S. Senate,15,77
Nine Line Apparel,14,72
D'Alessio Law Group,13,67
Lynsey Robinson 4 House LD12,13,64
Flip 4 Clackamas,13,64
Reform Austin,13,63
Michigan League of Conservation Voters,13,63
Perry Miller for ND Senate,12,58
Diane Mitsch Bush for Colorado CD3,12,58
Louder with Crowder,11,55
WORLDZ,11,54
Georijuana,10,49
Harley Rouda,9,47
American AF,8,41
Working For Us,7,36
Energy Citizens,7,34
Sand Cloud,6,28
Smart Cities Prevail,5,27
Elianor Vessali Campaign,5,24
PathWater,1,5
Tim Barnsback for NC House,0,999
The Collective PAC,0,999
Sigala for Assembly 2018,0,999
Rodney Davis,0,999
Priorities USA Action,0,999
Pi Yoga Pants,0,999
North Carolina Citizens,0,999
MedicareSupplement.com,0,999
Maurahealey.exposed,0,999
Lupe Valdez,0,999
Democratic Party,0,999
Congressional Leadership Fund,0,999
CREDO Mobile,0,999
Brian Watson for CO Treasurer,0,999
Andrew Gillum,0,999
Power In Cooperation,0,799
Democratic Senatorial Campaign Committee (DSCC),0,677
New Way California,0,666
EMILY's List,0,637
Vote Jack Bower Atchison County Commissioner,0,599
National Network of Abortion Funds,0,551
Claire McCaskill,0,545
Xavier Becerra,0,532
ChooseChildren,0,518
Save Our Schools Arizona,0,500
Pfizer,0,500
Peter Janko State Central Committeeman 14th Congressional District,0,500
One Nation,0,500
North Dakotans for Citizen Voting,0,500
Jane Roger for Register,0,500
Ivory Ella,0,500
Giffords,0,500
Geoff Diehl,0,500
Californians for Cost Containment,0,500
Clearing out the Clutter,0,486
America Fighting Back PAC,0,473
Judge Elizabeth Burns for Supreme Court,0,461
Fred Upton,0,440
Mitch McConnell,0,430
"Cynthia Flores for Texas State Rep, District 52",0,416
Be Conscious. Be Kind.,0,416
Shireen for Congress,0,411
Say Yes to the Penny,0,400
Kyrsten Sinema,0,400
Chad Lovejoy for WV,0,400
Stand Up America,0,375
Jeff Pravato for Senate,0,369
Human Coalition,0,356
Cooperative Action Network,0,352
Andy Kim for Congress,0,351
Healthy Montana Campaign,0,350
Kathy Jennings for Attorney General,0,348
MoveOn,0,340
Eric Bolling,0,339
WhyHunger,0,333
Unison Health,0,333
Swing Left,0,333
Kentucky Family Values,0,333
Bill Nelson,0,330
Airlift,0,330
ThoughtFull,0,326
Janet Garrett for Congress,0,326
A Vote for Women,0,321
Rep. Peter Breen,0,318
Peace Gospel,0,309
Mercy Corps,0,308
Robert Edgin Insurance and Financial Services,0,307
"Re-Elect Justice Patricia O. Alvarez, Fourth Court of Appeals",0,307
Brill for Congress,0,303
We Can Solve This,0,302
Leah Vukmir,0,301
Front and Centered,0,301
Oxfam,0,298
Kern Cast,0,297
Divided We Stand,0,296
Oregon Wildlands,0,294
Resist Trump's agenda,0,292
Jim Schooler for YV Town Council,0,291
