Instagram,700000
Facebook,605000
News For Democracy,222800
,210400
Heidi for North Dakota,98800
No on Prop 10: Californians for Responsible Housing,81600
Beto for Texas,78700
JB for Governor,50600
Need to Impeach,49100
the NRCC and not authorized by any candidate or candidate's committee.,45300
"Citizens for Truth About Amendment 3, Inc., 610 S. Boulevard, Tampa, FL 33606",36600
Alliance for a Better Minnesota Action Fund,36300
No on Prop 6: Stop the Attack on Bridge & Road Safety,35900
the Republican Party of Florida.  Not authorized by any candidate or candidate's committee.,35000
"Voters Not Politicians | PO Box 8362 Grand Rapids, MI 49518",33000
Penzeys,31900
Bill Nelson for U.S. Senate,28600
"Donald J. Trump for President, Inc.",28400
the Coalition to Defeat Question 3,27500
Kemp for Governor,25500
ReBuild USA,23900
IVN News,23600
Restoration PAC,22800
Everytown for Gun Safety Action Fund. Not authorized by any candidate or candidate’s committee.,22000
Concealed Online,20800
the Trump Make America Great Again Committee,19700
Congressional Leadership Fund,18600
Noble Energy,16700
"Arizona Democratic Legislative Campaign Committee, a project of the Arizona Democratic Party. Not authorized by any candidate or candidates campaign committee.",16200
Amendment 2 is For Everybody,15200
No A La Propuesta 8,15000
Hulu,15000
Priorities USA Action and SMP. (302) 469-3772. (202) 871-9255. Not authorized by any candidate or candidate's committee.,14800
Senate Leadership Fund,14700
"4Ocean, LLC",14200
Nevadans for a Clean Energy Future,13800
Up for Growth Action,13600
"Marsy’s Law for Kentucky, LLC",12800
Better Colorado Now IEC. Not paid for or authorized by any candidate or candidate committee,12500
"Everytown for Gun Safety Victory Fund, and not authorized by any candidate or candidate’s committee.",12400
Pol. Ad Texans for Greg Abbott,12200
with regulated funds by Healthy and Productive Michigan,12100
Citizens for Fair Tax Policy and not authorized by any candidate or candidate's committee.,11600
End Citizens United,11500
"AFSCME PEOPLE. Not authorized by any candidate, candidate’s agent, or committee.",11200
"AAF Nation, LLC",11200
"MoveOn.org Political Action, pol.moveon.org, not authorized by any candidate or candidate's committee.",11100
"Larry Hogan for Governor, R. Christopher Rosenthal, Treasurer",10800
Building a Stronger Nevada,10500
Progress News Network,10200
Levi Strauss & Co.,10000
"America First Action, Inc. Not authorized by any candidate or candidate's committee.",9500
the NRCC and not authorized by any candidate or candidate’s committee.,9200
Affordable Housing Now Yes on Props 1 & 2 Coalition,9100
"Senate Republican Campaign Committee, P.O. Box 12023, Lansing, MI 48901. Not authorized by any candidate or candidate’s committee.",9000
Brindisi for Congress,9000
Indivisible Action,8900
Gillibrand for Senate,8900
DCCC. (202) 863-1500 . Not authorized by any candidate or candidate’s committee.,8700
"Tony for Wisconsin. Connie Hutchison, Treasurer.",8600
"No on Prop 5, Sponsored by Educators, Public Safety, Health Care and Local Government Organizations. Committee major funding from SEIU California State Council, California Teachers Association, and American Federation of State, County and Municipal Employees.",8500
