Walt Maddox for Governor,50000
"Ten Commandments Amendment PAC, PO Box 1762, Orange Beach AL  36561",50000
Johnny Mack Morrow For State Senate,50000
"Tim Melson for State Senate P.O. Box 550 Florence, AL",10000
The Committee to Re-elect Judge David Kimberley,10000
Randy Steven Dixon Campaign Fund ,10000
"Pd. Pol. by Greer Campaign, P.O. Box 40 Rogersville, AL 35652",10000
Mike Rogers for Congress,10000
Hoover Democrats for Alabama,10000
"Friends to Elect Rex Reynolds P.O. Box 18743, Huntsville, AL 35804",10000
"Friends of Howard Sanderford, 908 Tannahill Drive, Huntsville, AL 35802",10000
"Friends of Frank Barger, P.O. Box 2053, Huntsville, AL 35804",10000
DoSomething,10000
"Andrew Sorrell Campaign Committee, PO BOX 2876, Muscle Shoals, AL 35662",10000
"The Jim Carns Campaign, P.O. Box 43797, Birmingham, AL 35243 ",9271
Take Back Our Republic a C(3) non-profit educational organization ,5000
"Madison Co GOP P.O. Box 2301 Huntsville, AL 35804",5000
Jefferson Country Sheriff's Office,5000
"Friends of Sarah Brown for Our Home Town, Auburn, Alabama",5000
Friends of Jennifer Gray,5000
Friend of Arnold Mooney,5000
"FRIENDS OF MIKE BALL 105 CANTERBURY CIRCLE MADISON, ALABAMA 35758",5000
"Caroline Self for Senate, PO Box 714, Florence, AL 35631",5000
Campaign to Elect Proncey Robertson,5000
The Committee to Elect Amy Wasyluka for Senate,4957
ReBuild USA,2147
News For Democracy,1072
"the Rodney Sullivan Campaign, 5901 6th Avenue Northport, AL 35473",1000
"the Campaign to Elect Jeff Austin, P.O. Box 3193 Muscle Shoals, AL 35662",1000
"the Alliance for Alabama’s Infrastructure, 2 North Jackson Street, Montgomery, AL 36104",1000
freinds to elect jones 27,1000
"The Committee to Elect Will Benton, P.o.Box 185 Cottondale, Al 35453",1000
"Sherman Guyton Campaign PO Box 1662 Gadsden, AL 35902",1000
"Robinson For Judge PO Box 1026 Gadsden, AL 35902",1000
National Solar Rebate,1000
Johnny Mack Morrow for State Senate,1000
Joanne Whetstone for House District 90 ,1000
Friends of Ron Anders,1000
Friends of Felicia Stewart,1000
"Friends To Elect Miranda Joseph, PO Box 380454, Birmingham, AL 35238",1000
Committee to Elect Marcus Vandiver,1000
Campaign To Vote Mike Cole For Sheriff Of Walker County 2018,1000
Alabama Today.,1000
No AZ Energy Tax,752
Conservative Gear,464
John Catsimatidis,350
Giving Brush LLC,334
People United for Privacy,200
#VoteTogether,183
the ACLU,167
Circa,143
NuSouth,118
Texans for Natural Gas,117
Medals of America,115
Chicago Council on Global Affairs,103
Change the Rules,91
Penzeys,83
Jose Aristimuno,69
Environmental Voter Project,57
the Committee to Elect Jerry Asher,37
Gillibrand for Senate,35
Citizens for Donnie Harrison,29
Capital Research Center,28
"Vicki Anderson-Ferrin for Winter Springs City Commissioner, Seat 2",26
The Ruderman Family Foundation,26
Grassroots For You,26
Truth in Annapolis,25
by Jim & Madelyn Meyer,24
Rustic Edge Marketing,24
Heidi for North Dakota,22
Proud Right Winger,20
Patriot Depot,19
Jena Griswold for Colorado,19
Finance Watch Dogs,19
Scamazon,18
Hayes For Maine,17
North Carolina Republican Party,16
Indivisible Action,16
UPROXX,15
Build With Strength,15
"Public Land, Public Benefit, No on E, Yes on G, a coalition of San Diego taxpayers, community planners, local business, and education, park and environmental advocates. Committee major funding from H.G. Fenton Company and Sudberry Properties.",13
Sand Cloud,12
Truthout,11
Joe Kennedy for Congress.,11
Chesapeake Bay Foundation,11
End Citizens United,10
the DSCC,9
David Chiu for Assembly 2018,9
Alliance San Diego Mobilization Fund - For Educational Purposes.,9
Fipple,8
MJ for Texas,6
Greenpeace USA,6
Varghese & Associates P.C.,5
Beto for Texas,5
Muratsuchi for Assembly 2018.,4
Brindisi for Congress,4
Friends of Nicholas Mattiello ,3
Kanew for Congress,2
Dave Yost for Ohio,2
Colorado Liberty PAC,1
CITIZENS FOR ENERGIZING MICHIGAN'S ECONOMY,1
the Trump Make America Great Again Committee,0
the North Carolina Democratic Party and Tim Barnsback for NC House.,0
the North Carolina Democratic Party and Gail Young for North Carolina.,0
the North Carolina Democratic Party and Campbell for NC Senate.,0
the National Network of Abortion Funds,0
the NRCC and not authorized by any candidate or candidate's committee.,0
the Foundation for Constitutional Government,0
the Democratic National Committee,0
Working Families Party,0
USA for UNHCR,0
"Todd Greeson for Circuit Clerk, PO Box 159 Ider, AL 35981.",0
The Western Journal,0
The Epoch Times,0
The Dude's Designs,0
The Campaign to Elect Adline Clarke,0
TZ Insurance Solutions,0
Swing Left. Not authorized by any candidate or candidate's committee.,0
Sudan Relief Fund Inc.,0
Stand Up America,0
Sinema for Arizona,0
Shireen for Congress,0
Science for Humans and Freedom Institute,0
Priorities USA Action. (302) 469-3772. Not authorized by any candidate or candidate's committee.,0
PrintedKicks,0
PragerU ,0
Portside,0
Population Connection,0
Planned Parenthood Action Fund.,0
Pfizer,0
Parks Project,0
"Paid for by Public Safety for a Safer Santa Clara Supporting Hirokawa for Sheriff 2018, sponsored by the Deputy Sheriffs’ Association of Santa Clara County. Not authorized by a candidate or a committee controlled by a candidate. Committee major funding from Deputy Sheriffs’ Association of Santa Clara County.",0
PI Yoga Pants,0
"PAID FOR WITH REGULATED FUNDS BY MICHIGAN PLANNED PARENTHOOD VOTES SUPER PAC, P.O. BOX 15041, LANSING, MI 48901. NOT AUTHORIZED BY ANY CANDIDATE OR CANDIDATE’S COMMITTEE.",0
OuterGoods LLC,0
Ocean Conservancy,0
"OAF Nation, Inc",0
No Kid Hungry,0
"No Donald Trump, Just No",0
Newsom for California Governor 2018,0
Need to Impeach,0
NeSmith Immigration Attorneys,0
National Domestic Workers Alliance,0
"MoveOn.org Political Action, pol.moveon.org, not authorized by any candidate or candidate's committee.",0
MoveOn.org Civic Action.,0
