Stand for Alaska,110000,399993
Stand For Salmon,96000,302610
Alyse Galvin for Congress,22000,79995
Cook Inletkeeper,4989,9977
John Lincoln for State House,4000,20995
William Weatherby,2000,11996
Chuck Kopp for State House,2000,9998
Alaska Republican Party,2000,9998
Matt Claman for State House,1000,5998
The Alaska Landmine,1000,4999
Marilyn Stewart for Alaska State House,1000,4999
Jim Crawford for Alaska State Senate,1000,4999
Bryce Edgmon for State House,1000,4999
Anchorage Republican Women (ARWC),1000,4999
Alaska Right to Life,1000,4999
Northwest Abortion Access Fund,953,3917
Democratic Senatorial Campaign Committee (DSCC),448,900
National Republican Congressional Committee,440,2135
Heidi Heitkamp,300,841
Tom Steyer,290,583
Progress News Network,267,666
Swing Left,263,534
Donald J. Trump,189,2647
Giving Brush,100,475
Kyrsten Sinema,99,403
Concealed Online,87,1572
Independent Voter,67,134
Nine Line Apparel,66,328
Dr. Bronner's,57,285
Human Coalition,52,258
Penzeys Spices,50,249
Conservative Gear,45,227
Alexandria Ocasio-Cortez,42,212
Kirsten Gillibrand,41,206
The Devil We Know,38,189
POW Action Fund,37,185
Hidden Tribes,30,148
American AF,28,57
I Love My Freedom,25,124
Parks Project,23,45
Our Flag Our Country,13,63
Tony Evers,13,26
Ocean Conservancy,12,109
PrintedKicks,12,56
FTC PAC,12,24
America with Eric Bolling,11,55
Jay Inslee,10,20
W.K. Kellogg Foundation,8,42
Corrections Tough,8,15
Changetherules.org,7,22
National Domestic Workers Alliance,6,363
Gerry  Serrano,6,31
SDSU WEST,6,26
Newseum,6,12
CARE,5,29
RDTdaily.com,5,26
Mike Kelly for Congress,5,25
Proud Right Winger,5,23
Anna Caballero for Senate,5,9
EMILY's List,4,39
Greenpeace USA,4,38
Planned Parenthood,4,27
Working Families Party,4,24
Science for Humans and Freedom Institute,4,19
Tammy Baldwin,4,18
Alexander Street,4,18
Hillel International,4,8
"Arizona State Representative Regina E. Cobb, DDS",4,7
Democratic Party,3,5425
The Collective PAC,3,1013
dittymoji,3,19
Jena Griswold for Colorado,3,17
Claire McCaskill,3,16
Center for Western Priorities,3,16
Mike Coffman,3,15
We The People Holsters,3,14
Angie Craig,3,14
World Vision USA,3,13
Chris Murphy,2,15
Veterans and Affordable Housing Act,2,11
Conservative Tribune,2,11
Definition.org,1,12
Democrats,1,5
Bill Troutman for PA Senate 2018,1,5
Finance Watchdogs,1,4
Anand Gonsalves,1,2
Sackett 4 House,0,3996
MedicareSupplement.com,0,3996
Power In Cooperation,0,1863
Vote Paul Seaton,0,999
Two Broads Talking Politics Podcast,0,999
Southeast Alaska Conservation Council,0,999
Kathryn Dodge for Alaska State House,0,999
Janice Park for Alaska Senate M,0,999
Co-ops Vote,0,999
Chris Dimond for House,0,999
Alaska Survey Research,0,999
Alaska Governor Bill Walker,0,999
Alaska Commons,0,999
Native American Rights Fund,0,749
Askov Finlayson,0,47
Jon Tester,0,42
Resist Trump's agenda,0,40
Mike Herrera Johnson,0,28
MoveOn,0,18
2atees1,0,18
Energy Citizens,0,15
Energy Nation,0,14
Military Officers Association of America (MOAA),0,13
ThoughtFull,0,12
Framed Tweets,0,11
Dana Balter for Congress,0,11
Justice Democrats,0,10
Exclusive Apparel,0,9
Dean Phillips for Congress,0,9
Chris Pappas for Congress,0,9
Patriot Depot,0,8
Whatcom Wave,0,7
NRA - National Rifle Association of America,0,7
Diane Mitsch Bush for Colorado CD3,0,7
Phil Bredesen,0,6
No Kid Hungry,0,6
Disrupt Aging,0,6
Simon for House,0,5
PETA (People for the Ethical Treatment of Animals),0,5
Janet Garrett for Congress,0,5
Bill Nelson,0,5
Yale Environment 360,0,4
VoteTogether,0,4
National Conference on Public Employee Retirement Systems (NCPERS),0,4
WhyHunger,0,3
Roaming Millennial Uncensored,0,3
Nancy Soderberg for FL Congress District 6,0,3
CRTV Tonight with Gavin McInnes,0,3
Mary Auker-Endres for PA,0,2
Karen Smythe for NYS Senate,0,2
Environmental Defense Fund,0,2
DiversityInc,0,2
Instagram,0,0
