the Republican Party of Florida.  Not authorized by any candidate or candidate's committee.,500000
"Citizens for Truth About Amendment 3, Inc., 610 S. Boulevard, Tampa, FL 33606",100000
BILL NELSON FOR U.S. SENATE,100000
Transportation Is the Future,99944
Sponsored By The Florida Republican Senatorial Campaign Committee,50000
Florida Strong Action PAC independently of any candidate.,50000
Alianza for Progress,50000
U.S. Sugar,49763
"Jay Inslee for Washington (D) PO BOX 21067 Seattle, WA 98111",11480
"Tara M. O'Connor for Pasco County School Board, District 5",10000
Stephanie Murphy for Congress,10000
"Service Employees International Union, Local 32BJ",10000
"Sarah Willis for 15th Judicial Circuit Court Judge, Group 25.",10000
SAGE,10000
Rene Garcia,10000
"Political advertisement paid for and approved by Michael “Mike” Sobel for Mayor of Pompano Beach, non-partisan election.",10000
"Paid for and approved by Christian Ziegler, Republican for Sarasota County Commission, District 2",10000
Our Lives Our Vote,10000
Matt Carlucci for City Council,10000
"Liv Coleman, Democrat, for State Representative, District 73",10000
"Lee Mangold, Democrat, for Florida House 28",10000
LCV Victory Fund,10000
For Truth in Florida LLC,10000
Florida Stronger INC,10000
"Fiorella Insurance Agency, Inc.",10000
Deborah M. Hooker for County Court Judge ,10000
Citizens Against Foreign Interference,10000
"Chad Chronister, Republican, for Sheriff.",10000
Chad Chronister for Hillsborough County Sheriff,10000
Carlos Curbelo Congress,10000
Bilirakis for Congress,10000
"Ben Albritton, Republican, for State Senate District 26",10000
Ardila Law Firm LLC,10000
"Andrew Gillum, Democrat, for Governor",10000
Americans for Prosperity,10000
Amendment 2 is For Everybody,10000
"Allison Gilman for Broward County Court Judge, Group 19, Non Partisan",10000
"& APPROVED BY ELVIN VILLALOBOS FOR TAMARAC MAYOR, NONPARTISAN",10000
" and approved by Cia Gomez-Sherman for Lehigh Fire Board of Commissioners, Seat 5",10000
"Color of Change PAC, not authorized by any candidate or candidate’s committee. ",9981
Collier County Democratic Party,9978
Facebook,6335
Show Up 2018,5961
Need to Impeach,5080
"the Committee to Elect Dave Ellis, Non-Partisan, 6th Circuit Court Judge, Group 4",5000
and approved by Craig DeThomasis for Alachua County Judge,5000
Southern Alliance for Clean Energy.,5000
Smart Health Choice,5000
"Shari McCartney, Republican, for Broward County Commission, District 4",5000
Seguros Medicos al Instante,5000
SIVA Marketing,5000
"Robert ""Bobby"" Olszewski, Republican for State House, District 44",5000
"Renee Gordon, nonpartisan, for Miami-Dade County Circuit Court Judge",5000
Purpose Built Families Foundation,5000
Protect The Harvest,5000
"Olivia Babis, Democrat, for Florida Senate District 23. ",5000
"Matt Theobald, Democrat, for State Representative, District 83",5000
League of Women Voters of Florida,5000
Lauren Baer for Congress,5000
"Jennifer Webb, Democrat, for State Representative, District 69.",5000
"Jason Haeseler, Democrat for Florida House District 21",5000
Grover Robinson for Pensacola Mayor,5000
Greg Green For Hillsborough County Court Judge Group 2,5000
Florida Democratic Party,5000
"Everglades Trust, established in 1994",5000
Committee to Support Greyhounds ,5000
Color Of Change,5000
"Chip LaMarca, Republican, for State Representative.",5000
"Bryan Avila, Republican, for State Representative, District 111",5000
"Anthony Bonna, Republican, for St. Lucie County Commission - District 2",5000
 Debbie Jordan Candidate for Lee County School Board District 4,5000
Ben & Jerry's,4999
"With Honor Fund, Inc.",4986
"Miami Freedom Park Political Committee, Inc., 2600 South Douglas Road, Suite #900, Coral Gables, Florida 33134.",4919
